global,year,variant,age5yearinterval,population
900,1950,estimates,0_4,338387.265
900,1950,estimates,5_9,269870.197
900,1950,estimates,10_14,260587.343
900,1950,estimates,15_19,239320.661
900,1950,estimates,20_24,222813.664
900,1950,estimates,25_29,196361.516
900,1950,estimates,30_34,169079.523
900,1950,estimates,35_39,164612.801
900,1950,estimates,40_44,147691.765
900,1950,estimates,45_49,128598.179
900,1950,estimates,50_54,107844.3
900,1950,estimates,55_59,88772.798
900,1950,estimates,60_64,73520.086
900,1950,estimates,65_69,55195.268
900,1950,estimates,70_74,37431.362
900,1950,estimates,75_79,21923.24
900,1950,estimates,80plus,14264.753
900,1955,estimates,0_4,405612.155
900,1955,estimates,5_9,315829.192
900,1955,estimates,10_14,263322.761
900,1955,estimates,15_19,255139.141
900,1955,estimates,20_24,232598.746
900,1955,estimates,25_29,215933.977
900,1955,estimates,30_34,189813.987
900,1955,estimates,35_39,162508.525
900,1955,estimates,40_44,157247.504
900,1955,estimates,45_49,139052.956
900,1955,estimates,50_54,120330.173
900,1955,estimates,55_59,97764.455
900,1955,estimates,60_64,77165.656
900,1955,estimates,65_69,59587.306
900,1955,estimates,70_74,40480.24
900,1955,estimates,75_79,23763.081
900,1955,estimates,80plus,16092.68
900,1960,estimates,0_4,432642.795
900,1960,estimates,5_9,382144.568
900,1960,estimates,10_14,309899.807
900,1960,estimates,15_19,258099.923
900,1960,estimates,20_24,248821.446
900,1960,estimates,25_29,226671.391
900,1960,estimates,30_34,209725.076
900,1960,estimates,35_39,183445.03
900,1960,estimates,40_44,155439.101
900,1960,estimates,45_49,149383.061
900,1960,estimates,50_54,130574.358
900,1960,estimates,55_59,109679.482
900,1960,estimates,60_64,85442.16
900,1960,estimates,65_69,63083.62
900,1960,estimates,70_74,44225.916
900,1960,estimates,75_79,25977.02
900,1960,estimates,80plus,17957.773
900,1965,estimates,0_4,480601.05
900,1965,estimates,5_9,409585.332
900,1965,estimates,10_14,374595.573
900,1965,estimates,15_19,304687.665
900,1965,estimates,20_24,252299.729
900,1965,estimates,25_29,243168.578
900,1965,estimates,30_34,220658.646
900,1965,estimates,35_39,203474.679
900,1965,estimates,40_44,176749.529
900,1965,estimates,45_49,147822.981
900,1965,estimates,50_54,140367.06
900,1965,estimates,55_59,120062.235
900,1965,estimates,60_64,96469.0139999999
900,1965,estimates,65_69,70765.076
900,1965,estimates,70_74,47761.883
900,1965,estimates,75_79,29549.871
900,1965,estimates,80plus,20973.787
900,1970,estimates,0_4,523700.776
900,1970,estimates,5_9,460552.249
900,1970,estimates,10_14,404504.79
900,1970,estimates,15_19,369790.429
900,1970,estimates,20_24,298535.489
900,1970,estimates,25_29,247288.409
900,1970,estimates,30_34,238097.846
900,1970,estimates,35_39,215020.975
900,1970,estimates,40_44,197631.137
900,1970,estimates,45_49,170256.654
900,1970,estimates,50_54,139957.525
900,1970,estimates,55_59,130792.555
900,1970,estimates,60_64,107959.785
900,1970,estimates,65_69,82403.218
900,1970,estimates,70_74,55628.158
900,1970,estimates,75_79,33116.843
900,1970,estimates,80plus,25340.812
900,1975,estimates,0_4,543301.991
900,1975,estimates,5_9,504504.74
900,1975,estimates,10_14,454876.148
900,1975,estimates,15_19,399157.753
900,1975,estimates,20_24,363876.09
900,1975,estimates,25_29,294476.242
900,1975,estimates,30_34,243697.473
900,1975,estimates,35_39,233648.898
900,1975,estimates,40_44,209961.254
900,1975,estimates,45_49,191369.546
900,1975,estimates,50_54,162923.756
900,1975,estimates,55_59,130930.699
900,1975,estimates,60_64,118514.202
