variant,continent,year,oldagedependencyratio1564
estimates,908,1950,12.134
estimates,908,1951,12.293
estimates,908,1952,12.416
estimates,908,1953,12.517
estimates,908,1954,12.613
estimates,908,1955,12.715
estimates,908,1956,12.903
estimates,908,1957,13.093
estimates,908,1958,13.284
estimates,908,1959,13.471
estimates,908,1960,13.651
estimates,908,1961,13.897
estimates,908,1962,14.121
estimates,908,1963,14.333
estimates,908,1964,14.552
estimates,908,1965,14.79
estimates,908,1966,15.094
estimates,908,1967,15.398
estimates,908,1968,15.702
estimates,908,1969,16.002
estimates,908,1970,16.299
estimates,908,1971,16.634
estimates,908,1972,16.937
estimates,908,1973,17.218
estimates,908,1974,17.494
estimates,908,1975,17.769
estimates,908,1976,18.127
estimates,908,1977,18.482
estimates,908,1978,18.78
estimates,908,1979,18.935
estimates,908,1980,18.91
estimates,908,1981,18.789
estimates,908,1982,18.504
estimates,908,1983,18.157
estimates,908,1984,17.883
estimates,908,1985,17.76
estimates,908,1986,17.863
estimates,908,1987,18.073
estimates,908,1988,18.363
estimates,908,1989,18.687
estimates,908,1990,19.019
estimates,908,1991,19.439
estimates,908,1992,19.865
estimates,908,1993,20.267
estimates,908,1994,20.601
estimates,908,1995,20.849
estimates,908,1996,21.109
estimates,908,1997,21.271
estimates,908,1998,21.385
estimates,908,1999,21.523
estimates,908,2000,21.721
estimates,908,2001,22.057
estimates,908,2002,22.448
estimates,908,2003,22.841
estimates,908,2004,23.147
estimates,908,2005,23.318
estimates,908,2006,23.504
estimates,908,2007,23.599
estimates,908,2008,23.661
estimates,908,2009,23.775
estimates,908,2010,23.989
estimates,908,2011,24.348
estimates,908,2012,24.77
estimates,908,2013,25.254
estimates,908,2014,25.789
estimates,908,2015,26.361
medium_variant,908,2015,26.361
medium_variant,908,2016,26.993
medium_variant,908,2017,27.672
medium_variant,908,2018,28.381
medium_variant,908,2019,29.089
medium_variant,908,2020,29.788
medium_variant,908,2021,30.523
medium_variant,908,2022,31.249
medium_variant,908,2023,31.973
medium_variant,908,2024,32.71
medium_variant,908,2025,33.467
medium_variant,908,2026,34.258
medium_variant,908,2027,35.067
medium_variant,908,2028,35.879
medium_variant,908,2029,36.664
medium_variant,908,2030,37.394
medium_variant,908,2031,38.054
medium_variant,908,2032,38.68
medium_variant,908,2033,39.275
medium_variant,908,2034,39.852
medium_variant,908,2035,40.43
medium_variant,908,2036,40.972
medium_variant,908,2037,41.507
medium_variant,908,2038,42.047
medium_variant,908,2039,42.591
medium_variant,908,2040,43.13
medium_variant,908,2041,43.602
medium_variant,908,2042,44.083
medium_variant,908,2043,44.571
medium_variant,908,2044,45.066
medium_variant,908,2045,45.575
medium_variant,908,2046,46.05
medium_variant,908,2047,46.544
medium_variant,908,2048,47.058
medium_variant,908,2049,47.593
medium_variant,908,2050,48.14
medium_variant,908,2051,48.624
medium_variant,908,2052,49.132
medium_variant,908,2053,49.63
medium_variant,908,2054,50.065
medium_variant,908,2055,50.402
medium_variant,908,2056,50.555
medium_variant,908,2057,50.648
medium_variant,908,2058,50.674
medium_variant,908,2059,50.63
medium_variant,908,2060,50.521
medium_variant,908,2061,50.255
medium_variant,908,2062,49.958
medium_variant,908,2063,49.649
medium_variant,908,2064,49.353
medium_variant,908,2065,49.089
medium_variant,908,2066,48.749
medium_variant,908,2067,48.464
medium_variant,908,2068,48.245
medium_variant,908,2069,48.102
medium_variant,908,2070,48.043
medium_variant,908,2071,47.949
medium_variant,908,2072,47.958
medium_variant,908,2073,48.057
medium_variant,908,2074,48.221
medium_variant,908,2075,48.428
medium_variant,908,2076,48.557
medium_variant,908,2077,48.75
medium_variant,908,2078,48.997
medium_variant,908,2079,49.279
medium_variant,908,2080,49.585
medium_variant,908,2081,49.781
medium_variant,908,2082,50.024
medium_variant,908,2083,50.303
medium_variant,908,2084,50.601
medium_variant,908,2085,50.912
medium_variant,908,2086,51.07
medium_variant,908,2087,51.259
medium_variant,908,2088,51.473
medium_variant,908,2089,51.704
medium_variant,908,2090,51.952
medium_variant,908,2091,52.002
medium_variant,908,2092,52.08
medium_variant,908,2093,52.187
medium_variant,908,2094,52.33
medium_variant,908,2095,52.508
medium_variant,908,2096,52.475
medium_variant,908,2097,52.492
medium_variant,908,2098,52.565
medium_variant,908,2099,52.695
medium_variant,908,2100,52.878
high_variant,908,2015,26.361167681798
low_variant,908,2015,26.361167681798
constant_fertility,908,2015,26.361167681798
instant_replacement,908,2015,26.361167681798
zero_migration,908,2015,26.361167681798
constant_mortality,908,2015,26.361167681798
no_change,908,2015,26.361167681798
high_variant,908,2020,29.7879377073111
low_variant,908,2020,29.7879377073111
constant_fertility,908,2020,29.7879377073111
instant_replacement,908,2020,29.7879374983595
zero_migration,908,2020,30.0081390291375
constant_mortality,908,2020,29.4703616064294
no_change,908,2020,29.4703616064294
high_variant,908,2025,33.4674740578304
low_variant,908,2025,33.4674740578304
constant_fertility,908,2025,33.4674740578304
instant_replacement,908,2025,33.4674737002787
zero_migration,908,2025,33.9652188768983
constant_mortality,908,2025,32.5664557622645
no_change,908,2025,32.5664557622645
high_variant,908,2030,37.3943648941674
low_variant,908,2030,37.3943648941674
constant_fertility,908,2030,37.3943648941674
instant_replacement,908,2030,37.3943647002468
zero_migration,908,2030,38.2602412490349
constant_mortality,908,2030,35.6659943188489
no_change,908,2030,35.6659943188489
high_variant,908,2035,39.8938360270013
low_variant,908,2035,40.9800712470761
constant_fertility,908,2035,40.5736637551506
instant_replacement,908,2035,39.4636965298599
zero_migration,908,2035,41.751273919979
constant_mortality,908,2035,37.6691866687897
no_change,908,2035,37.8041531150472
high_variant,908,2040,41.6969145527307
low_variant,908,2040,44.6651695587209
constant_fertility,908,2040,43.5421285978406
instant_replacement,908,2040,41.2076389106462
zero_migration,908,2040,44.9908835881625
constant_mortality,908,2040,39.1532480333837
no_change,908,2040,39.5301852977199
high_variant,908,2045,42.9948374543276
low_variant,908,2045,48.4839242014773
constant_fertility,908,2045,46.3004718801621
instant_replacement,908,2045,42.7162052790739
zero_migration,908,2045,48.0387366389347
constant_mortality,908,2045,40.242583939828
no_change,908,2045,40.8891711381403
high_variant,908,2050,44.3067804525665
low_variant,908,2050,52.6948114841298
constant_fertility,908,2050,49.1992616278265
instant_replacement,908,2050,44.3005275130614
zero_migration,908,2050,51.2510081657454
constant_mortality,908,2050,41.3460631630256
no_change,908,2050,42.2639867423955
high_variant,908,2055,45.1817987029537
low_variant,908,2055,56.9397208194849
constant_fertility,908,2055,51.8943484975151
instant_replacement,908,2055,45.5017495628806
zero_migration,908,2055,54.0412499965605
constant_mortality,908,2055,42.1022398404034
no_change,908,2055,43.3598615840969
high_variant,908,2060,44.0140378762095
low_variant,908,2060,59.0794056224473
constant_fertility,908,2060,52.5604621539999
instant_replacement,908,2060,44.6492273934205
zero_migration,908,2060,54.2228022574694
constant_mortality,908,2060,40.9730152512561
no_change,908,2060,42.6402361461216
high_variant,908,2065,41.3977187787511
low_variant,908,2065,59.6767481637703
constant_fertility,908,2065,51.7432857434928
instant_replacement,908,2065,42.296412229128
zero_migration,908,2065,52.416145515512
constant_mortality,908,2065,38.6338441991625
no_change,908,2065,40.7392651485269
high_variant,908,2070,39.0079574550465
low_variant,908,2070,61.1436879046632
constant_fertility,908,2070,51.3988061739882
instant_replacement,908,2070,40.2108776682603
zero_migration,908,2070,50.9456948960671
constant_mortality,908,2070,36.7986711694659
no_change,908,2070,39.3879219420494
high_variant,908,2075,37.6837101801166
low_variant,908,2075,65.0841424509551
constant_fertility,908,2075,52.6466784363853
instant_replacement,908,2075,39.3343936688095
zero_migration,908,2075,51.1603361425148
constant_mortality,908,2075,36.3349737310269
no_change,908,2075,39.5164954812596
high_variant,908,2080,36.9084118886099
low_variant,908,2080,70.8798049394352
constant_fertility,908,2080,54.8225280338531
instant_replacement,908,2080,39.1266862761126
zero_migration,908,2080,52.327386700826
constant_mortality,908,2080,36.5815539505719
no_change,908,2080,40.4497444312059
high_variant,908,2085,37.6574036175757
low_variant,908,2085,74.0110602042187
constant_fertility,908,2085,56.697622401424
instant_replacement,908,2085,41.9525293691675
zero_migration,908,2085,53.6459252229462
constant_mortality,908,2085,36.941041964662
no_change,908,2085,41.0714846436986
high_variant,908,2090,38.7586504132667
low_variant,908,2090,75.073807303876
constant_fertility,908,2090,58.0260546740393
instant_replacement,908,2090,44.0204145877345
zero_migration,908,2090,54.5651087958683
constant_mortality,908,2090,36.9592253579733
no_change,908,2090,41.1192977419426
high_variant,908,2095,39.6317987521176
low_variant,908,2095,74.6073745137218
constant_fertility,908,2095,58.9775190652273
instant_replacement,908,2095,45.1140878809665
zero_migration,908,2095,54.8378979129233
constant_mortality,908,2095,36.4838114301411
no_change,908,2095,40.7422447567914
high_variant,908,2100,39.9788342597239
low_variant,908,2100,74.5330854535572
constant_fertility,908,2100,60.0045507083188
instant_replacement,908,2100,45.5699741754098
zero_migration,908,2100,54.8572285358337
constant_mortality,908,2100,35.8513434185315
no_change,908,2100,40.4046161761297
