variant,continent,year,gender,potentialsupport2569_70
estimates,935,1950,male,21.672
estimates,935,1951,male,21.395
estimates,935,1952,male,21.373
estimates,935,1953,male,21.607
estimates,935,1954,male,22.095
estimates,935,1955,male,22.851
estimates,935,1956,male,22.5
estimates,935,1957,male,22.409
estimates,935,1958,male,22.589
estimates,935,1959,male,23.069
estimates,935,1960,male,23.885
estimates,935,1961,male,23.357
estimates,935,1962,male,23.111
estimates,935,1963,male,23.12
estimates,935,1964,male,23.358
estimates,935,1965,male,23.814
estimates,935,1966,male,23.002
estimates,935,1967,male,22.368
estimates,935,1968,male,21.894
estimates,935,1969,male,21.567
estimates,935,1970,male,21.375
estimates,935,1971,male,20.681
estimates,935,1972,male,20.152
estimates,935,1973,male,19.774
estimates,935,1974,male,19.54
estimates,935,1975,male,19.439
estimates,935,1976,male,18.985
estimates,935,1977,male,18.688
estimates,935,1978,male,18.503
estimates,935,1979,male,18.38
estimates,935,1980,male,18.288
estimates,935,1981,male,17.857
estimates,935,1982,male,17.513
estimates,935,1983,male,17.254
estimates,935,1984,male,17.086
estimates,935,1985,male,17.005
estimates,935,1986,male,16.676
estimates,935,1987,male,16.446
estimates,935,1988,male,16.302
estimates,935,1989,male,16.236
estimates,935,1990,male,16.237
estimates,935,1991,male,16.02
estimates,935,1992,male,15.895
estimates,935,1993,male,15.829
estimates,935,1994,male,15.791
estimates,935,1995,male,15.758
estimates,935,1996,male,15.481
estimates,935,1997,male,15.257
estimates,935,1998,male,15.075
estimates,935,1999,male,14.923
estimates,935,2000,male,14.791
estimates,935,2001,male,14.444
estimates,935,2002,male,14.146
estimates,935,2003,male,13.894
estimates,935,2004,male,13.688
estimates,935,2005,male,13.526
estimates,935,2006,male,13.245
estimates,935,2007,male,13.021
estimates,935,2008,male,12.852
estimates,935,2009,male,12.743
estimates,935,2010,male,12.688
estimates,935,2011,male,12.537
estimates,935,2012,male,12.442
estimates,935,2013,male,12.376
estimates,935,2014,male,12.309
estimates,935,2015,male,12.222
medium_variant,935,2015,male,12.222
medium_variant,935,2016,male,11.995
medium_variant,935,2017,male,11.78
medium_variant,935,2018,male,11.557
medium_variant,935,2019,male,11.3
medium_variant,935,2020,male,11.003
medium_variant,935,2021,male,10.582
medium_variant,935,2022,male,10.168
medium_variant,935,2023,male,9.781
medium_variant,935,2024,male,9.444
medium_variant,935,2025,male,9.158
medium_variant,935,2026,male,8.851
medium_variant,935,2027,male,8.593
medium_variant,935,2028,male,8.365
medium_variant,935,2029,male,8.143
medium_variant,935,2030,male,7.917
medium_variant,935,2031,male,7.647
medium_variant,935,2032,male,7.396
medium_variant,935,2033,male,7.158
medium_variant,935,2034,male,6.932
medium_variant,935,2035,male,6.713
medium_variant,935,2036,male,6.471
medium_variant,935,2037,male,6.25
medium_variant,935,2038,male,6.049
medium_variant,935,2039,male,5.869
medium_variant,935,2040,male,5.709
medium_variant,935,2041,male,5.541
medium_variant,935,2042,male,5.395
medium_variant,935,2043,male,5.27
medium_variant,935,2044,male,5.164
medium_variant,935,2045,male,5.075
medium_variant,935,2046,male,4.978
medium_variant,935,2047,male,4.901
medium_variant,935,2048,male,4.835
medium_variant,935,2049,male,4.77
medium_variant,935,2050,male,4.701
medium_variant,935,2051,male,4.607
medium_variant,935,2052,male,4.518
medium_variant,935,2053,male,4.429
medium_variant,935,2054,male,4.338
medium_variant,935,2055,male,4.244
medium_variant,935,2056,male,4.128
medium_variant,935,2057,male,4.017
medium_variant,935,2058,male,3.913
medium_variant,935,2059,male,3.823
medium_variant,935,2060,male,3.746
medium_variant,935,2061,male,3.666
medium_variant,935,2062,male,3.602
medium_variant,935,2063,male,3.55
medium_variant,935,2064,male,3.506
medium_variant,935,2065,male,3.467
medium_variant,935,2066,male,3.423
medium_variant,935,2067,male,3.387
medium_variant,935,2068,male,3.357
medium_variant,935,2069,male,3.33
medium_variant,935,2070,male,3.304
medium_variant,935,2071,male,3.269
medium_variant,935,2072,male,3.238
medium_variant,935,2073,male,3.209
medium_variant,935,2074,male,3.18
medium_variant,935,2075,male,3.15
medium_variant,935,2076,male,3.112
medium_variant,935,2077,male,3.076
medium_variant,935,2078,male,3.043
medium_variant,935,2079,male,3.01
medium_variant,935,2080,male,2.978
medium_variant,935,2081,male,2.937
medium_variant,935,2082,male,2.901
medium_variant,935,2083,male,2.867
medium_variant,935,2084,male,2.836
medium_variant,935,2085,male,2.806
medium_variant,935,2086,male,2.77
medium_variant,935,2087,male,2.74
medium_variant,935,2088,male,2.712
medium_variant,935,2089,male,2.685
medium_variant,935,2090,male,2.659
medium_variant,935,2091,male,2.631
medium_variant,935,2092,male,2.608
medium_variant,935,2093,male,2.586
medium_variant,935,2094,male,2.566
medium_variant,935,2095,male,2.546
medium_variant,935,2096,male,2.525
medium_variant,935,2097,male,2.507
medium_variant,935,2098,male,2.49
medium_variant,935,2099,male,2.474
medium_variant,935,2100,male,2.457
estimates,935,1950,female,16.131
estimates,935,1951,female,15.914
estimates,935,1952,female,15.836
estimates,935,1953,female,15.891
estimates,935,1954,female,16.075
estimates,935,1955,female,16.391
estimates,935,1956,female,16.222
estimates,935,1957,female,16.189
estimates,935,1958,female,16.295
estimates,935,1959,female,16.548
estimates,935,1960,female,16.957
estimates,935,1961,female,16.716
