variant,global,year,dependencyratio1564
estimates,900,1950,65.127
estimates,900,1951,66.065
estimates,900,1952,66.873
estimates,900,1953,67.513
estimates,900,1954,68.011
estimates,900,1955,68.44
estimates,900,1956,69.604
estimates,900,1957,70.522
estimates,900,1958,71.319
estimates,900,1959,72.057
estimates,900,1960,72.728
estimates,900,1961,73.443
estimates,900,1962,74.205
estimates,900,1963,74.875
estimates,900,1964,75.276
estimates,900,1965,75.354
estimates,900,1966,75.808
estimates,900,1967,75.861
estimates,900,1968,75.649
estimates,900,1969,75.363
estimates,900,1970,75.087
estimates,900,1971,75.066
estimates,900,1972,74.952
estimates,900,1973,74.742
estimates,900,1974,74.382
estimates,900,1975,73.838
estimates,900,1976,73.421
estimates,900,1977,72.807
estimates,900,1978,72.032
estimates,900,1979,71.146
estimates,900,1980,70.198
estimates,900,1981,69.313
estimates,900,1982,68.433
estimates,900,1983,67.563
estimates,900,1984,66.713
estimates,900,1985,65.908
estimates,900,1986,65.52
estimates,900,1987,65.105
estimates,900,1988,64.689
estimates,900,1989,64.278
estimates,900,1990,63.856
estimates,900,1991,63.756
estimates,900,1992,63.485
estimates,900,1993,63.096
estimates,900,1994,62.644
estimates,900,1995,62.142
estimates,900,1996,61.522
estimates,900,1997,60.932
estimates,900,1998,60.308
estimates,900,1999,59.572
estimates,900,2000,58.715
estimates,900,2001,57.981
estimates,900,2002,57.159
estimates,900,2003,56.285
estimates,900,2004,55.422
estimates,900,2005,54.61
estimates,900,2006,54.038
estimates,900,2007,53.477
estimates,900,2008,52.972
estimates,900,2009,52.563
estimates,900,2010,52.268
estimates,900,2011,52.127
estimates,900,2012,52.073
estimates,900,2013,52.1
estimates,900,2014,52.184
estimates,900,2015,52.305
medium_variant,900,2015,52.305
medium_variant,900,2016,52.546
medium_variant,900,2017,52.793
medium_variant,900,2018,53.033
medium_variant,900,2019,53.247
medium_variant,900,2020,53.423
medium_variant,900,2021,53.602
medium_variant,900,2022,53.74
medium_variant,900,2023,53.847
medium_variant,900,2024,53.939
medium_variant,900,2025,54.028
medium_variant,900,2026,54.158
medium_variant,900,2027,54.281
medium_variant,900,2028,54.401
medium_variant,900,2029,54.528
medium_variant,900,2030,54.668
medium_variant,900,2031,54.869
medium_variant,900,2032,55.073
medium_variant,900,2033,55.284
medium_variant,900,2034,55.504
medium_variant,900,2035,55.737
medium_variant,900,2036,56.012
medium_variant,900,2037,56.289
medium_variant,900,2038,56.563
medium_variant,900,2039,56.822
medium_variant,900,2040,57.056
medium_variant,900,2041,57.285
medium_variant,900,2042,57.483
medium_variant,900,2043,57.67
medium_variant,900,2044,57.869
medium_variant,900,2045,58.096
medium_variant,900,2046,58.358
medium_variant,900,2047,58.631
medium_variant,900,2048,58.924
medium_variant,900,2049,59.247
medium_variant,900,2050,59.606
medium_variant,900,2051,60.004
medium_variant,900,2052,60.429
medium_variant,900,2053,60.861
medium_variant,900,2054,61.267
medium_variant,900,2055,61.623
medium_variant,900,2056,61.927
medium_variant,900,2057,62.182
medium_variant,900,2058,62.391
medium_variant,900,2059,62.557
medium_variant,900,2060,62.685
medium_variant,900,2061,62.762
medium_variant,900,2062,62.803
medium_variant,900,2063,62.822
medium_variant,900,2064,62.836
medium_variant,900,2065,62.859
medium_variant,900,2066,62.878
medium_variant,900,2067,62.909
medium_variant,900,2068,62.956
medium_variant,900,2069,63.022
medium_variant,900,2070,63.113
medium_variant,900,2071,63.202
medium_variant,900,2072,63.312
medium_variant,900,2073,63.449
medium_variant,900,2074,63.616
medium_variant,900,2075,63.812
medium_variant,900,2076,63.992
medium_variant,900,2077,64.196
medium_variant,900,2078,64.423
medium_variant,900,2079,64.662
medium_variant,900,2080,64.902
medium_variant,900,2081,65.099
medium_variant,900,2082,65.307
medium_variant,900,2083,65.517
medium_variant,900,2084,65.718
medium_variant,900,2085,65.911
medium_variant,900,2086,66.053
medium_variant,900,2087,66.192
medium_variant,900,2088,66.33
medium_variant,900,2089,66.472
medium_variant,900,2090,66.622
medium_variant,900,2091,66.713
medium_variant,900,2092,66.81
medium_variant,900,2093,66.92
medium_variant,900,2094,67.05
medium_variant,900,2095,67.201
medium_variant,900,2096,67.28
medium_variant,900,2097,67.388
medium_variant,900,2098,67.524
medium_variant,900,2099,67.686
medium_variant,900,2100,67.867
high_variant,900,2015,52.3053854513602
low_variant,900,2015,52.3053854513602
constant_fertility,900,2015,52.3053854513602
instant_replacement,900,2015,52.3053854513602
zero_migration,900,2015,52.3053854513602
constant_mortality,900,2015,52.3053854513602
no_change,900,2015,52.3053854513602
high_variant,900,2020,54.7968781165486
low_variant,900,2020,52.0478186273781
constant_fertility,900,2020,54.0255524551022
instant_replacement,900,2020,52.115295924672
zero_migration,900,2020,53.4112732001768
constant_mortality,900,2020,53.2061170280206
no_change,900,2020,53.8033188115918
high_variant,900,2025,57.4464166851344
low_variant,900,2025,50.6063348980796
constant_fertility,900,2025,55.828309506051
instant_replacement,900,2025,51.6239661526488
zero_migration,900,2025,54.0123268869764
constant_mortality,900,2025,53.4056729814782
no_change,900,2025,55.1809268532548
high_variant,900,2030,60.5098671830202
low_variant,900,2030,48.8230789796962
constant_fertility,900,2030,58.25151225457
instant_replacement,900,2030,51.3316771186668
zero_migration,900,2030,54.6654587979332
constant_mortality,900,2030,53.4719957606336
no_change,900,2030,56.9855960405184
high_variant,900,2035,62.0067914128109
low_variant,900,2035,49.328031166634
constant_fertility,900,2035,60.9004979197584
instant_replacement,900,2035,53.2133786388814
zero_migration,900,2035,55.766755323729
constant_mortality,900,2035,53.8904444534892
no_change,900,2035,58.9255907029767
high_variant,900,2040,62.897300809097
low_variant,900,2040,50.9740204063479
constant_fertility,900,2040,63.6593839829868
instant_replacement,900,2040,55.1294528187054
zero_migration,900,2040,57.1041492564505
constant_mortality,900,2040,54.463410455797
no_change,900,2040,60.8749743981399
high_variant,900,2045,63.3286382498578
low_variant,900,2045,52.7357208415023
constant_fertility,900,2045,66.1228689602323
instant_replacement,900,2045,56.4739946575042
zero_migration,900,2045,58.1542514875287
constant_mortality,900,2045,54.6832769006658
no_change,900,2045,62.4526806571984
high_variant,900,2050,64.7561599770988
low_variant,900,2050,54.6722615485963
constant_fertility,900,2050,69.1364252152116
instant_replacement,900,2050,58.2190499032536
zero_migration,900,2050,59.6687371094854
constant_mortality,900,2050,55.2886112489424
no_change,900,2050,64.4947535240831
