variant,continent,year,dependencyratio2069
estimates,903,1950,113.845
estimates,903,1951,114.707
estimates,903,1952,115.203
estimates,903,1953,115.463
estimates,903,1954,115.571
estimates,903,1955,115.569
estimates,903,1956,116.675
estimates,903,1957,117.523
estimates,903,1958,118.165
estimates,903,1959,118.648
estimates,903,1960,119.008
estimates,903,1961,120.402
estimates,903,1962,121.533
estimates,903,1963,122.437
estimates,903,1964,123.128
estimates,903,1965,123.621
estimates,903,1966,124.952
estimates,903,1967,125.928
estimates,903,1968,126.611
estimates,903,1969,127.055
estimates,903,1970,127.296
estimates,903,1971,128.264
estimates,903,1972,128.955
estimates,903,1973,129.415
estimates,903,1974,129.684
estimates,903,1975,129.794
estimates,903,1976,130.434
estimates,903,1977,130.82
estimates,903,1978,131.006
estimates,903,1979,131.027
estimates,903,1980,130.909
estimates,903,1981,131.588
estimates,903,1982,131.972
estimates,903,1983,132.129
estimates,903,1984,132.114
estimates,903,1985,131.958
estimates,903,1986,132.345
estimates,903,1987,132.494
estimates,903,1988,132.432
estimates,903,1989,132.151
estimates,903,1990,131.642
estimates,903,1991,131.565
estimates,903,1992,131.148
estimates,903,1993,130.454
estimates,903,1994,129.557
estimates,903,1995,128.511
estimates,903,1996,128.111
estimates,903,1997,127.56
estimates,903,1998,126.87
estimates,903,1999,126.029
estimates,903,2000,125.044
estimates,903,2001,124.517
estimates,903,2002,123.787
estimates,903,2003,122.908
estimates,903,2004,121.942
estimates,903,2005,120.932
estimates,903,2006,120.262
estimates,903,2007,119.496
estimates,903,2008,118.691
estimates,903,2009,117.897
estimates,903,2010,117.137
estimates,903,2011,116.626
estimates,903,2012,116.102
estimates,903,2013,115.557
estimates,903,2014,114.957
estimates,903,2015,114.277
medium_variant,903,2015,114.277
medium_variant,903,2016,113.866
medium_variant,903,2017,113.279
medium_variant,903,2018,112.569
medium_variant,903,2019,111.791
medium_variant,903,2020,110.967
medium_variant,903,2021,110.227
medium_variant,903,2022,109.452
medium_variant,903,2023,108.615
medium_variant,903,2024,107.674
medium_variant,903,2025,106.622
medium_variant,903,2026,105.744
medium_variant,903,2027,104.75
medium_variant,903,2028,103.656
medium_variant,903,2029,102.484
medium_variant,903,2030,101.247
medium_variant,903,2031,100.155
medium_variant,903,2032,98.981
medium_variant,903,2033,97.764
medium_variant,903,2034,96.542
medium_variant,903,2035,95.339
medium_variant,903,2036,94.335
medium_variant,903,2037,93.324
medium_variant,903,2038,92.317
medium_variant,903,2039,91.318
medium_variant,903,2040,90.328
medium_variant,903,2041,89.507
medium_variant,903,2042,88.672
medium_variant,903,2043,87.833
medium_variant,903,2044,86.997
medium_variant,903,2045,86.167
medium_variant,903,2046,85.479
medium_variant,903,2047,84.775
medium_variant,903,2048,84.06
medium_variant,903,2049,83.339
medium_variant,903,2050,82.613
medium_variant,903,2051,82.013
medium_variant,903,2052,81.389
medium_variant,903,2053,80.746
medium_variant,903,2054,80.086
medium_variant,903,2055,79.412
medium_variant,903,2056,78.846
medium_variant,903,2057,78.25
medium_variant,903,2058,77.631
medium_variant,903,2059,76.993
medium_variant,903,2060,76.34
medium_variant,903,2061,75.788
medium_variant,903,2062,75.208
medium_variant,903,2063,74.611
medium_variant,903,2064,74.006
medium_variant,903,2065,73.4
medium_variant,903,2066,72.898
medium_variant,903,2067,72.378
medium_variant,903,2068,71.852
medium_variant,903,2069,71.328
medium_variant,903,2070,70.812
medium_variant,903,2071,70.403
medium_variant,903,2072,69.986
medium_variant,903,2073,69.569
medium_variant,903,2074,69.158
medium_variant,903,2075,68.757
medium_variant,903,2076,68.459
medium_variant,903,2077,68.153
medium_variant,903,2078,67.847
medium_variant,903,2079,67.55
medium_variant,903,2080,67.265
medium_variant,903,2081,67.077
medium_variant,903,2082,66.885
medium_variant,903,2083,66.689
medium_variant,903,2084,66.484
medium_variant,903,2085,66.268
medium_variant,903,2086,66.122
medium_variant,903,2087,65.953
medium_variant,903,2088,65.767
medium_variant,903,2089,65.572
medium_variant,903,2090,65.37
medium_variant,903,2091,65.233
medium_variant,903,2092,65.076
medium_variant,903,2093,64.907
medium_variant,903,2094,64.733
medium_variant,903,2095,64.559
medium_variant,903,2096,64.447
medium_variant,903,2097,64.323
medium_variant,903,2098,64.195
medium_variant,903,2099,64.068
medium_variant,903,2100,63.945
high_variant,903,2015,114.276549391655
low_variant,903,2015,114.276549391655
constant_fertility,903,2015,114.276549391655
instant_replacement,903,2015,114.276549391655
zero_migration,903,2015,114.276549391655
constant_mortality,903,2015,114.276549391655
no_change,903,2015,114.276549391655
high_variant,903,2020,112.74950124027
low_variant,903,2020,109.184311680214
constant_fertility,903,2020,113.308651100877
instant_replacement,903,2020,96.4248587161629
zero_migration,903,2020,110.824506799823
constant_mortality,903,2020,110.723324195738
no_change,903,2020,113.046189280982
high_variant,903,2025,110.968841220113
low_variant,903,2025,102.27517576901
constant_fertility,903,2025,113.227620616385
instant_replacement,903,2025,81.4139213572887
zero_migration,903,2025,106.391363700602
constant_mortality,903,2025,105.916076443902
no_change,903,2025,112.432125771154
high_variant,903,2030,108.473789031075
low_variant,903,2030,94.0195451974913
constant_fertility,903,2030,113.569471317078
instant_replacement,903,2030,68.3615592854781
zero_migration,903,2030,101.012164756595
constant_mortality,903,2030,99.9853692712443
no_change,903,2030,112.085266261597
high_variant,903,2035,105.131694205445
low_variant,903,2035,85.5688109487864
constant_fertility,903,2035,114.612924103893
instant_replacement,903,2035,56.7299514943716
zero_migration,903,2035,95.1356750102885
constant_mortality,903,2035,93.5326785889009
no_change,903,2035,112.384596155845
high_variant,903,2040,100.726348955158
low_variant,903,2040,79.8508657185509
constant_fertility,903,2040,115.268611191228
instant_replacement,903,2040,59.3216557262413
zero_migration,903,2040,90.1266250244538
constant_mortality,903,2040,88.2185410579157
no_change,903,2040,112.517864186219
high_variant,903,2045,96.5872422113536
low_variant,903,2045,75.6125592183161
constant_fertility,903,2045,116.195976665633
instant_replacement,903,2045,59.7814892153409
zero_migration,903,2045,85.9344173634151
constant_mortality,903,2045,83.820418823598
no_change,903,2045,112.966691063227
high_variant,903,2050,92.9746112359937
low_variant,903,2050,72.1845585495512
constant_fertility,903,2050,117.714904778638
instant_replacement,903,2050,58.4770112566731
zero_migration,903,2050,82.3520778327093
constant_mortality,903,2050,79.9921702767313
no_change,903,2050,113.926052361495
high_variant,903,2055,90.1651355625107
low_variant,903,2055,68.7559700650262
constant_fertility,903,2055,119.689854410813
