variant,region,year,dependencyratio2569
estimates,5501,1950,146.548
estimates,5501,1951,147.251
estimates,5501,1952,147.976
estimates,5501,1953,148.395
estimates,5501,1954,148.507
estimates,5501,1955,148.462
estimates,5501,1956,149.892
estimates,5501,1957,150.755
estimates,5501,1958,151.314
estimates,5501,1959,151.747
estimates,5501,1960,152.122
estimates,5501,1961,152.935
estimates,5501,1962,153.708
estimates,5501,1963,154.438
estimates,5501,1964,155.078
estimates,5501,1965,155.635
estimates,5501,1966,157.145
estimates,5501,1967,158.402
estimates,5501,1968,159.421
estimates,5501,1969,160.243
estimates,5501,1970,160.877
estimates,5501,1971,161.958
estimates,5501,1972,162.735
estimates,5501,1973,163.167
estimates,5501,1974,163.185
estimates,5501,1975,162.797
estimates,5501,1976,163.223
estimates,5501,1977,163.139
estimates,5501,1978,162.667
estimates,5501,1979,161.964
estimates,5501,1980,161.137
estimates,5501,1981,161.024
estimates,5501,1982,160.714
estimates,5501,1983,160.197
estimates,5501,1984,159.42
estimates,5501,1985,158.368
estimates,5501,1986,157.945
estimates,5501,1987,157.114
estimates,5501,1988,155.985
estimates,5501,1989,154.674
estimates,5501,1990,153.239
estimates,5501,1991,152.168
estimates,5501,1992,150.909
estimates,5501,1993,149.485
estimates,5501,1994,147.919
estimates,5501,1995,146.242
estimates,5501,1996,144.89
estimates,5501,1997,143.426
estimates,5501,1998,141.829
estimates,5501,1999,140.068
estimates,5501,2000,138.141
estimates,5501,2001,136.547
estimates,5501,2002,134.743
estimates,5501,2003,132.751
estimates,5501,2004,130.593
estimates,5501,2005,128.294
estimates,5501,2006,126.269
estimates,5501,2007,124.096
estimates,5501,2008,121.817
estimates,5501,2009,119.464
estimates,5501,2010,117.069
estimates,5501,2011,114.908
estimates,5501,2012,112.655
estimates,5501,2013,110.373
estimates,5501,2014,108.137
estimates,5501,2015,105.992
medium_variant,5501,2015,105.992
medium_variant,5501,2016,104.09
medium_variant,5501,2017,102.294
medium_variant,5501,2018,100.577
medium_variant,5501,2019,98.897
medium_variant,5501,2020,97.238
medium_variant,5501,2021,95.911
medium_variant,5501,2022,94.542
medium_variant,5501,2023,93.155
medium_variant,5501,2024,91.788
medium_variant,5501,2025,90.46
medium_variant,5501,2026,89.311
medium_variant,5501,2027,88.18
medium_variant,5501,2028,87.064
medium_variant,5501,2029,85.947
medium_variant,5501,2030,84.831
medium_variant,5501,2031,83.909
medium_variant,5501,2032,82.966
medium_variant,5501,2033,82.018
medium_variant,5501,2034,81.09
medium_variant,5501,2035,80.198
medium_variant,5501,2036,79.51
medium_variant,5501,2037,78.837
medium_variant,5501,2038,78.172
medium_variant,5501,2039,77.503
medium_variant,5501,2040,76.826
medium_variant,5501,2041,76.303
medium_variant,5501,2042,75.759
medium_variant,5501,2043,75.211
medium_variant,5501,2044,74.68
medium_variant,5501,2045,74.18
medium_variant,5501,2046,73.867
medium_variant,5501,2047,73.557
medium_variant,5501,2048,73.266
medium_variant,5501,2049,73.012
medium_variant,5501,2050,72.807
medium_variant,5501,2051,72.784
medium_variant,5501,2052,72.785
medium_variant,5501,2053,72.808
medium_variant,5501,2054,72.844
medium_variant,5501,2055,72.892
medium_variant,5501,2056,73.075
medium_variant,5501,2057,73.253
medium_variant,5501,2058,73.421
medium_variant,5501,2059,73.575
medium_variant,5501,2060,73.713
medium_variant,5501,2061,73.948
medium_variant,5501,2062,74.152
medium_variant,5501,2063,74.333
medium_variant,5501,2064,74.498
medium_variant,5501,2065,74.656
medium_variant,5501,2066,74.917
medium_variant,5501,2067,75.152
medium_variant,5501,2068,75.371
medium_variant,5501,2069,75.579
medium_variant,5501,2070,75.782
medium_variant,5501,2071,76.077
medium_variant,5501,2072,76.351
medium_variant,5501,2073,76.616
medium_variant,5501,2074,76.879
medium_variant,5501,2075,77.148
medium_variant,5501,2076,77.51
medium_variant,5501,2077,77.868
medium_variant,5501,2078,78.22
medium_variant,5501,2079,78.554
medium_variant,5501,2080,78.865
medium_variant,5501,2081,79.233
medium_variant,5501,2082,79.574
medium_variant,5501,2083,79.901
medium_variant,5501,2084,80.228
medium_variant,5501,2085,80.568
medium_variant,5501,2086,80.977
medium_variant,5501,2087,81.393
medium_variant,5501,2088,81.813
medium_variant,5501,2089,82.228
medium_variant,5501,2090,82.634
medium_variant,5501,2091,83.06
medium_variant,5501,2092,83.476
medium_variant,5501,2093,83.885
medium_variant,5501,2094,84.286
medium_variant,5501,2095,84.679
medium_variant,5501,2096,85.063
medium_variant,5501,2097,85.439
medium_variant,5501,2098,85.812
medium_variant,5501,2099,86.181
medium_variant,5501,2100,86.547
high_variant,5501,2015,105.992139372806
low_variant,5501,2015,105.992139372806
constant_fertility,5501,2015,105.992139372806
instant_replacement,5501,2015,105.992139372806
zero_migration,5501,2015,105.992139372806
constant_mortality,5501,2015,105.992139372806
no_change,5501,2015,105.992139372806
high_variant,5501,2020,99.142266051353
low_variant,5501,2020,95.3339955133785
constant_fertility,5501,2020,98.429769197041
instant_replacement,5501,2020,95.962385903824
zero_migration,5501,2020,97.2113917923789
constant_mortality,5501,2020,97.1137512741447
no_change,5501,2020,98.2977208215514
high_variant,5501,2025,95.0787204857848
low_variant,5501,2025,85.8417540716595
constant_fertility,5501,2025,93.7191280799738
instant_replacement,5501,2025,88.8184136371984
zero_migration,5501,2025,90.3796421442019
constant_mortality,5501,2025,90.1055792442811
no_change,5501,2025,93.3334855121239
high_variant,5501,2030,92.5075645486261
low_variant,5501,2030,77.155234778959
constant_fertility,5501,2030,90.7425289383967
instant_replacement,5501,2030,83.4141383433657
zero_migration,5501,2030,84.7121113318301
constant_mortality,5501,2030,84.1264635296076
no_change,5501,2030,89.9697760098329
high_variant,5501,2035,90.645377021637
low_variant,5501,2035,69.7676080928118
constant_fertility,5501,2035,89.1812104317676
instant_replacement,5501,2035,79.3563841854515
zero_migration,5501,2035,80.0746478472144
constant_mortality,5501,2035,79.005909657829
no_change,5501,2035,87.8729957848533
high_variant,5501,2040,90.2124342923347
low_variant,5501,2040,63.6186624764706
constant_fertility,5501,2040,89.4490170575656
instant_replacement,5501,2040,76.6635079697992
zero_migration,5501,2040,76.7197676565605
constant_mortality,5501,2040,74.9992116378729
no_change,5501,2040,87.4446555821848
high_variant,5501,2045,88.5797878406741
low_variant,5501,2045,60.0461678004358
constant_fertility,5501,2045,89.6342171645464
instant_replacement,5501,2045,76.2712620437818
zero_migration,5501,2045,74.0798043072486
constant_mortality,5501,2045,71.7249655908895
no_change,5501,2045,86.948789662409
high_variant,5501,2050,87.5709345669894
low_variant,5501,2050,58.4972412126106
constant_fertility,5501,2050,90.6357512012295
instant_replacement,5501,2050,76.3694459680723
zero_migration,5501,2050,72.6683843822781
constant_mortality,5501,2050,69.6484541950904
no_change,5501,2050,87.2241313653103
high_variant,5501,2055,87.6736555257476
low_variant,5501,2055,58.8924808015374
constant_fertility,5501,2055,92.8915538497715
instant_replacement,5501,2055,77.538751982857
zero_migration,5501,2055,72.6879154086204
constant_mortality,5501,2055,68.8562421148873
no_change,5501,2055,88.6288471597597
high_variant,5501,2060,88.7952596611091
low_variant,5501,2060,59.8898137765104
constant_fertility,5501,2060,95.7565829371715
instant_replacement,5501,2060,79.2627002290953
zero_migration,5501,2060,73.4602320870737
constant_mortality,5501,2060,68.6187947779897
no_change,5501,2060,90.532474941147
high_variant,5501,2065,89.7742225272027
low_variant,5501,2065,61.2719101039002
constant_fertility,5501,2065,98.3964173281343
instant_replacement,5501,2065,81.111395700179
zero_migration,5501,2065,74.3992673884613
constant_mortality,5501,2065,68.3783760345128
no_change,5501,2065,92.1850035061145
high_variant,5501,2070,90.1440244266854
low_variant,5501,2070,63.5712411776051
constant_fertility,5501,2070,100.595033426604
instant_replacement,5501,2070,83.2415086964187
zero_migration,5501,2070,75.5551927535956
constant_mortality,5501,2070,68.2228717983906
no_change,5501,2070,93.4260341297024
high_variant,5501,2075,89.9499043501119
low_variant,5501,2075,67.0728466822443
constant_fertility,5501,2075,102.287220122399
instant_replacement,5501,2075,85.3741009859285
zero_migration,5501,2075,76.9403362625247
