region,variant,year,sexratio_maleper100female
954,estimates,1950,133.870651567471
954,estimates,1955,123.655801415841
954,estimates,1960,114.837528501309
954,estimates,1965,112.460486514351
954,estimates,1970,110.322367249319
954,estimates,1975,107.919102568027
954,estimates,1980,104.850320813402
954,estimates,1985,106.307372721048
954,estimates,1990,107.302184435583
954,estimates,1995,104.284748560191
954,estimates,2000,100.40554472671
954,estimates,2005,100.954931547916
954,estimates,2010,101.660038805061
954,constant_fertility,2015,101.611800445974
954,constant_mortality,2015,101.611800445974
954,estimates,2015,101.611800445974
954,high_variant,2015,101.611800445974
954,instant_replacement,2015,101.611800445974
954,low_variant,2015,101.611800445974
954,medium_variant,2015,101.611800445974
954,momentum,2015,101.611800445974
954,no_change,2015,101.611800445974
954,zero_migration,2015,101.611800445974
954,constant_fertility,2020,101.518694181977
954,constant_mortality,2020,101.401834315114
954,high_variant,2020,101.466907829168
954,instant_replacement,2020,101.372292329472
954,low_variant,2020,101.405648869288
954,medium_variant,2020,101.439312167343
954,momentum,2020,101.329199524045
954,no_change,2020,101.484910023421
954,zero_migration,2020,101.434850704795
954,constant_fertility,2025,101.361404344445
954,constant_mortality,2025,101.026538913236
954,high_variant,2025,101.202046303368
954,instant_replacement,2025,101.027352852914
954,low_variant,2025,101.050239617777
954,medium_variant,2025,101.128327175691
954,momentum,2025,100.947685911819
954,no_change,2025,101.26365735526
954,zero_migration,2025,101.152315387511
954,constant_fertility,2030,101.192383809483
954,constant_mortality,2030,100.585929426678
954,high_variant,2030,100.92613894056
954,instant_replacement,2030,100.64925265881
954,low_variant,2030,100.648233846459
954,medium_variant,2030,100.788011311885
954,momentum,2030,100.538385445212
954,no_change,2030,100.993795036029
954,zero_migration,2030,100.876621639905
954,constant_fertility,2035,101.054827938416
954,constant_mortality,2035,100.16754779451
954,high_variant,2035,100.675420852333
954,instant_replacement,2035,100.306833153357
954,low_variant,2035,100.249926237048
954,medium_variant,2035,100.47165473297
954,momentum,2035,100.154384125604
954,no_change,2035,100.757780097801
954,zero_migration,2035,100.610880795213
954,constant_fertility,2040,101.013097072419
954,constant_mortality,2040,99.8480941685763
954,high_variant,2040,100.5139835061
954,instant_replacement,2040,100.050235285675
954,low_variant,2040,99.9452596573939
954,medium_variant,2040,100.24387526067
954,momentum,2040,99.8629643430141
954,no_change,2040,100.633997550119
954,zero_migration,2040,100.41836406971
954,constant_fertility,2045,101.086843195325
954,constant_mortality,2045,99.7044742786734
954,high_variant,2045,100.458985490689
954,instant_replacement,2045,99.9080235163317
954,low_variant,2045,99.7348949606251
954,medium_variant,2045,100.122387994794
954,momentum,2045,99.7248610084039
954,no_change,2045,100.695369051426
954,zero_migration,2045,100.318146768114
954,constant_fertility,2050,101.279620725994
954,constant_mortality,2050,99.7249296424085
954,high_variant,2050,100.525858609182
954,instant_replacement,2050,99.8791780077125
954,low_variant,2050,99.6350439582907
954,medium_variant,2050,100.118639157021
954,momentum,2050,99.7355095995321
954,no_change,2050,100.915345214315
954,zero_migration,2050,100.305404914502
954,constant_fertility,2055,101.561891278719
954,constant_mortality,2055,99.8645509611185
954,high_variant,2055,100.677876410589
954,instant_replacement,2055,99.9418211656617
954,low_variant,2055,99.6236899728699
954,medium_variant,2055,100.197184114655
954,momentum,2055,99.8399183351507
954,no_change,2055,101.245375255446
954,zero_migration,2055,100.347453760573
954,constant_fertility,2060,101.849156626506
954,constant_mortality,2060,99.9624363943989
954,high_variant,2060,100.839471720981
954,instant_replacement,2060,100.029321164488
954,low_variant,2060,99.6093627051545
954,medium_variant,2060,100.288034682939
954,momentum,2060,99.9192620205109
954,no_change,2060,101.532204840982
954,zero_migration,2060,100.394030749946
954,constant_fertility,2065,102.103028870628
954,constant_mortality,2065,99.8618414204468
954,high_variant,2065,100.960736810099
954,instant_replacement,2065,100.081271751153
954,low_variant,2065,99.5265563390826
954,medium_variant,2065,100.327618376012
954,momentum,2065,99.8341311240089
954,no_change,2065,101.65223604064
954,zero_migration,2065,100.385414698659
954,constant_fertility,2070,102.262071146786
954,constant_mortality,2070,99.5190104635766
954,high_variant,2070,100.981168841918
954,instant_replacement,2070,100.026985636895
954,low_variant,2070,99.303717637452
954,medium_variant,2070,100.248145462171
954,momentum,2070,99.5635188983463
954,no_change,2070,101.605795836826
954,zero_migration,2070,100.271638957496
954,constant_fertility,2075,102.338711132586
954,constant_mortality,2075,99.0401770806499
954,high_variant,2075,100.894861739522
954,instant_replacement,2075,99.8349745698518
954,low_variant,2075,98.8985242545483
954,medium_variant,2075,100.041959053751
954,momentum,2075,99.2084755032747
954,no_change,2075,101.471182991159
954,zero_migration,2075,100.06092428916
954,constant_fertility,2080,102.369066074103
954,constant_mortality,2080,98.562759810041
954,high_variant,2080,100.739919670911
954,instant_replacement,2080,99.5692355889724
954,low_variant,2080,98.349605374025
954,medium_variant,2080,99.74130397792
954,momentum,2080,98.8945172494146
954,no_change,2080,101.362304235606
954,zero_migration,2080,99.7939031722051
954,constant_fertility,2085,102.415563105469
954,constant_mortality,2085,98.2094668633615
954,high_variant,2085,100.602203663655
954,instant_replacement,2085,99.3464975437678
954,low_variant,2085,97.7732728384336
954,medium_variant,2085,99.4393968683549
954,momentum,2085,98.7066218844697
954,no_change,2085,101.342478625178
954,zero_migration,2085,99.5367177459435
954,constant_fertility,2090,102.464177390719
954,constant_mortality,2090,97.9307814193979
954,high_variant,2090,100.442225953446
954,instant_replacement,2090,99.1613919078858
954,low_variant,2090,97.1432186234818
954,medium_variant,2090,99.1250097752135
954,momentum,2090,98.6655313446586
