variant,continent,year,populationnaturalchange
estimates,909,1950,189.302
estimates,909,1951,195.079
estimates,909,1952,206.12
estimates,909,1953,216.109
estimates,909,1954,225.056
estimates,909,1955,232.954
estimates,909,1956,239.812
estimates,909,1957,245.658
estimates,909,1958,250.527
estimates,909,1959,254.496
estimates,909,1960,257.638
estimates,909,1961,260.095
estimates,909,1962,262.037
estimates,909,1963,263.678
estimates,909,1964,265.269
estimates,909,1965,267.228
estimates,909,1966,269.984
estimates,909,1967,273.616
estimates,909,1968,278.015
estimates,909,1969,282.911
estimates,909,1970,287.636
estimates,909,1971,291.285
estimates,909,1972,293.271
estimates,909,1973,293.369
estimates,909,1974,291.733
estimates,909,1975,289.019
estimates,909,1976,286.18
estimates,909,1977,284.234
estimates,909,1978,283.884
estimates,909,1979,285.355
estimates,909,1980,288.49
estimates,909,1981,292.777
estimates,909,1982,297.414
estimates,909,1983,301.79
estimates,909,1984,305.717
estimates,909,1985,309.284
estimates,909,1986,312.818
estimates,909,1987,316.697
estimates,909,1988,321.119
estimates,909,1989,325.985
estimates,909,1990,330.949
estimates,909,1991,335.557
estimates,909,1992,339.405
estimates,909,1993,342.254
estimates,909,1994,344.073
estimates,909,1995,344.898
estimates,909,1996,344.875
estimates,909,1997,344.457
estimates,909,1998,344.154
estimates,909,1999,344.348
estimates,909,2000,345.689
estimates,909,2001,348.84
estimates,909,2002,353.903
estimates,909,2003,360.708
estimates,909,2004,368.903
estimates,909,2005,377.749
estimates,909,2006,386.273
estimates,909,2007,393.582
estimates,909,2008,399.041
estimates,909,2009,402.402
estimates,909,2010,403.73
estimates,909,2011,403.432
estimates,909,2012,402.286
estimates,909,2013,400.953
estimates,909,2014,399.695
estimates,909,2015,398.698
medium_variant,909,2015,398.698
medium_variant,909,2016,397.978
medium_variant,909,2017,397.307
medium_variant,909,2018,396.498
medium_variant,909,2019,395.486
medium_variant,909,2020,394.192
medium_variant,909,2021,392.526
medium_variant,909,2022,390.443
medium_variant,909,2023,387.909
medium_variant,909,2024,384.932
medium_variant,909,2025,381.505
medium_variant,909,2026,377.658
medium_variant,909,2027,373.462
medium_variant,909,2028,369.037
medium_variant,909,2029,364.454
medium_variant,909,2030,359.795
medium_variant,909,2031,355.123
medium_variant,909,2032,350.487
medium_variant,909,2033,345.923
medium_variant,909,2034,341.5
medium_variant,909,2035,337.273
medium_variant,909,2036,333.284
medium_variant,909,2037,329.521
medium_variant,909,2038,325.947
medium_variant,909,2039,322.554
medium_variant,909,2040,319.315
medium_variant,909,2041,316.198
medium_variant,909,2042,313.148
medium_variant,909,2043,310.106
medium_variant,909,2044,307.047
medium_variant,909,2045,303.922
medium_variant,909,2046,300.72
medium_variant,909,2047,297.435
medium_variant,909,2048,294.073
medium_variant,909,2049,290.625
medium_variant,909,2050,287.079
medium_variant,909,2051,283.433
medium_variant,909,2052,279.701
medium_variant,909,2053,275.894
medium_variant,909,2054,272.031
medium_variant,909,2055,268.118
medium_variant,909,2056,264.173
medium_variant,909,2057,260.211
medium_variant,909,2058,256.24
medium_variant,909,2059,252.271
medium_variant,909,2060,248.332
medium_variant,909,2061,244.438
medium_variant,909,2062,240.593
medium_variant,909,2063,236.777
medium_variant,909,2064,232.976
medium_variant,909,2065,229.179
medium_variant,909,2066,225.36
medium_variant,909,2067,221.485
medium_variant,909,2068,217.531
medium_variant,909,2069,213.466
medium_variant,909,2070,209.252
medium_variant,909,2071,204.863
medium_variant,909,2072,200.298
medium_variant,909,2073,195.58
medium_variant,909,2074,190.719
medium_variant,909,2075,185.748
medium_variant,909,2076,180.689
medium_variant,909,2077,175.593
medium_variant,909,2078,170.507
medium_variant,909,2079,165.482
medium_variant,909,2080,160.577
medium_variant,909,2081,155.804
medium_variant,909,2082,151.186
medium_variant,909,2083,146.725
medium_variant,909,2084,142.432
medium_variant,909,2085,138.312
medium_variant,909,2086,134.368
medium_variant,909,2087,130.575
medium_variant,909,2088,126.887
medium_variant,909,2089,123.279
medium_variant,909,2090,119.696
medium_variant,909,2091,116.116
medium_variant,909,2092,112.49
medium_variant,909,2093,108.807
medium_variant,909,2094,105.037
medium_variant,909,2095,101.163
medium_variant,909,2096,97.192
medium_variant,909,2097,93.111
medium_variant,909,2098,88.923
medium_variant,909,2099,84.631
