variant,continent,year,populationnaturalchange
estimates,904,1950,4592.962
estimates,904,1951,4665.423
estimates,904,1952,4815.101
estimates,904,1953,4974.241
estimates,904,1954,5142.838
estimates,904,1955,5320.661
estimates,904,1956,5506.928
estimates,904,1957,5700.424
estimates,904,1958,5898.87
estimates,904,1959,6098.385
estimates,904,1960,6294.385
estimates,904,1961,6482.105
estimates,904,1962,6656.845
estimates,904,1963,6815.446
estimates,904,1964,6957.181
estimates,904,1965,7083.336
estimates,904,1966,7197.28
estimates,904,1967,7304.68
estimates,904,1968,7410.434
estimates,904,1969,7517
estimates,904,1970,7626.331
estimates,904,1971,7739.212
estimates,904,1972,7853.964
estimates,904,1973,7968.818
estimates,904,1974,8082.88
estimates,904,1975,8195.509
estimates,904,1976,8306.127
estimates,904,1977,8413.356
estimates,904,1978,8515.324
estimates,904,1979,8610.053
estimates,904,1980,8694.997
estimates,904,1981,8767.774
estimates,904,1982,8827.522
estimates,904,1983,8873.993
estimates,904,1984,8907.299
estimates,904,1985,8927.905
estimates,904,1986,8936.945
estimates,904,1987,8936.837
estimates,904,1988,8930.124
estimates,904,1989,8918.708
estimates,904,1990,8905.449
estimates,904,1991,8892.982
estimates,904,1992,8881.51
estimates,904,1993,8870.117
estimates,904,1994,8857.321
estimates,904,1995,8839.915
estimates,904,1996,8813.744
estimates,904,1997,8775.153
estimates,904,1998,8721.707
estimates,904,1999,8652.625
estimates,904,2000,8567.158
estimates,904,2001,8465.557
estimates,904,2002,8351.52
estimates,904,2003,8229.643
estimates,904,2004,8103.914
estimates,904,2005,7980.192
estimates,904,2006,7864.304
estimates,904,2007,7758.84
estimates,904,2008,7664.545
estimates,904,2009,7580.892
estimates,904,2010,7504.97
estimates,904,2011,7431.975
estimates,904,2012,7355.733
estimates,904,2013,7271.25
estimates,904,2014,7176.112
estimates,904,2015,7069.188
medium_variant,904,2015,7069.188
medium_variant,904,2016,6951.094
medium_variant,904,2017,6824.924
medium_variant,904,2018,6693.412
medium_variant,904,2019,6557.588
medium_variant,904,2020,6418.158
medium_variant,904,2021,6275.502
medium_variant,904,2022,6129.638
medium_variant,904,2023,5980.847
medium_variant,904,2024,5829.745
medium_variant,904,2025,5676.869
medium_variant,904,2026,5522.544
medium_variant,904,2027,5366.953
medium_variant,904,2028,5210.31
medium_variant,904,2029,5052.945
medium_variant,904,2030,4895.061
medium_variant,904,2031,4736.701
medium_variant,904,2032,4577.773
medium_variant,904,2033,4418.329
medium_variant,904,2034,4258.549
medium_variant,904,2035,4098.648
medium_variant,904,2036,3938.773
medium_variant,904,2037,3779.051
medium_variant,904,2038,3619.627
medium_variant,904,2039,3460.651
medium_variant,904,2040,3302.242
medium_variant,904,2041,3144.48
medium_variant,904,2042,2987.314
medium_variant,904,2043,2830.69
medium_variant,904,2044,2674.599
medium_variant,904,2045,2519.006
medium_variant,904,2046,2363.872
medium_variant,904,2047,2209.112
medium_variant,904,2048,2054.675
medium_variant,904,2049,1900.512
medium_variant,904,2050,1746.511
medium_variant,904,2051,1592.54
medium_variant,904,2052,1438.62
medium_variant,904,2053,1284.889
medium_variant,904,2054,1131.558
medium_variant,904,2055,978.783
medium_variant,904,2056,826.73
medium_variant,904,2057,675.691
medium_variant,904,2058,526.04
medium_variant,904,2059,378.13
medium_variant,904,2060,232.231
medium_variant,904,2061,88.511
medium_variant,904,2062,-52.925
medium_variant,904,2063,-191.868
medium_variant,904,2064,-328.014
medium_variant,904,2065,-461.146
medium_variant,904,2066,-591.195
medium_variant,904,2067,-718.038
medium_variant,904,2068,-841.523
medium_variant,904,2069,-961.326
medium_variant,904,2070,-1077.137
medium_variant,904,2071,-1188.647
medium_variant,904,2072,-1295.736
medium_variant,904,2073,-1398.336
medium_variant,904,2074,-1496.382
medium_variant,904,2075,-1589.959
medium_variant,904,2076,-1679.258
medium_variant,904,2077,-1764.528
medium_variant,904,2078,-1845.936
medium_variant,904,2079,-1923.506
medium_variant,904,2080,-1997.201
medium_variant,904,2081,-2066.901
medium_variant,904,2082,-2132.44
medium_variant,904,2083,-2193.674
medium_variant,904,2084,-2250.525
medium_variant,904,2085,-2302.863
medium_variant,904,2086,-2350.554
medium_variant,904,2087,-2393.664
medium_variant,904,2088,-2432.385
medium_variant,904,2089,-2466.937
medium_variant,904,2090,-2497.613
medium_variant,904,2091,-2524.742
medium_variant,904,2092,-2548.605
medium_variant,904,2093,-2569.446
medium_variant,904,2094,-2587.462
medium_variant,904,2095,-2602.777
medium_variant,904,2096,-2615.438
medium_variant,904,2097,-2625.5
medium_variant,904,2098,-2632.964
medium_variant,904,2099,-2637.832
