variant,continent,year,populationnaturalchange
estimates,903,1950,4753.082
estimates,903,1951,4855.837
estimates,903,1952,5065.003
estimates,903,1953,5281.486
estimates,903,1954,5505.281
estimates,903,1955,5736.303
estimates,903,1956,5974.225
estimates,903,1957,6218.72
estimates,903,1958,6469.097
estimates,903,1959,6724.079
estimates,903,1960,6982.341
estimates,903,1961,7242.686
estimates,903,1962,7504.3
estimates,903,1963,7767.325
estimates,903,1964,8033.103
estimates,903,1965,8303.96
estimates,903,1966,8582.796
estimates,903,1967,8872.712
estimates,903,1968,9176.335
estimates,903,1969,9495.267
estimates,903,1970,9831.045
estimates,903,1971,10184.296
estimates,903,1972,10553.277
estimates,903,1973,10935.726
estimates,903,1974,11329.899
estimates,903,1975,11734.938
estimates,903,1976,12150.416
estimates,903,1977,12574.301
estimates,903,1978,13003.341
estimates,903,1979,13433.594
estimates,903,1980,13862.377
estimates,903,1981,14287.996
estimates,903,1982,14707.787
estimates,903,1983,15117.596
estimates,903,1984,15512.154
estimates,903,1985,15881.744
estimates,903,1986,16216.262
estimates,903,1987,16513.713
estimates,903,1988,16776.958
estimates,903,1989,17011.97
estimates,903,1990,17228.292
estimates,903,1991,17437.944
estimates,903,1992,17655.496
estimates,903,1993,17894.436
estimates,903,1994,18164.273
estimates,903,1995,18469.466
estimates,903,1996,18809.066
estimates,903,1997,19178.321
estimates,903,1998,19575.703
estimates,903,1999,20005.407
estimates,903,2000,20475.783
estimates,903,2001,20996.21
estimates,903,2002,21570.898
estimates,903,2003,22200.157
estimates,903,2004,22880.989
estimates,903,2005,23612.957
estimates,903,2006,24394.744
estimates,903,2007,25214.263
estimates,903,2008,26054.315
estimates,903,2009,26896.95
estimates,903,2010,27718.744
estimates,903,2011,28497.132
estimates,903,2012,29220.267
estimates,903,2013,29881.347
estimates,903,2014,30477.296
estimates,903,2015,31011.291
medium_variant,903,2015,31011.291
medium_variant,903,2016,31493.689
medium_variant,903,2017,31944.484
medium_variant,903,2018,32381.952
medium_variant,903,2019,32816.451
medium_variant,903,2020,33255.841
medium_variant,903,2021,33703.571
medium_variant,903,2022,34156.692
medium_variant,903,2023,34613.133
medium_variant,903,2024,35074.403
medium_variant,903,2025,35542.122
medium_variant,903,2026,36017.098
medium_variant,903,2027,36497.283
medium_variant,903,2028,36979.845
medium_variant,903,2029,37462.331
medium_variant,903,2030,37942.615
medium_variant,903,2031,38418.862
medium_variant,903,2032,38888.399
medium_variant,903,2033,39347.831
medium_variant,903,2034,39793.528
medium_variant,903,2035,40222.278
medium_variant,903,2036,40631.837
medium_variant,903,2037,41021.27
medium_variant,903,2038,41389.396
medium_variant,903,2039,41734.418
medium_variant,903,2040,42054.823
medium_variant,903,2041,42349.892
medium_variant,903,2042,42620.447
medium_variant,903,2043,42867.37
medium_variant,903,2044,43091.016
medium_variant,903,2045,43291.89
medium_variant,903,2046,43470.626
medium_variant,903,2047,43628.143
medium_variant,903,2048,43765.417
medium_variant,903,2049,43883.198
medium_variant,903,2050,43981.679
medium_variant,903,2051,44060.653
medium_variant,903,2052,44120.068
medium_variant,903,2053,44160.402
medium_variant,903,2054,44182.675
medium_variant,903,2055,44188.383
medium_variant,903,2056,44179.146
medium_variant,903,2057,44155.911
medium_variant,903,2058,44119.276
medium_variant,903,2059,44069.406
medium_variant,903,2060,44006.209
medium_variant,903,2061,43929.18
medium_variant,903,2062,43836.819
medium_variant,903,2063,43727.596
medium_variant,903,2064,43600.378
medium_variant,903,2065,43453.949
medium_variant,903,2066,43287.359
medium_variant,903,2067,43100.331
medium_variant,903,2068,42892.682
medium_variant,903,2069,42664.179
medium_variant,903,2070,42414.623
medium_variant,903,2071,42144.042
medium_variant,903,2072,41853.213
medium_variant,903,2073,41543.091
medium_variant,903,2074,41214.49
medium_variant,903,2075,40868.109
medium_variant,903,2076,40504.544
medium_variant,903,2077,40124.356
medium_variant,903,2078,39728.266
medium_variant,903,2079,39317.122
medium_variant,903,2080,38891.512
medium_variant,903,2081,38451.717
medium_variant,903,2082,37997.839
medium_variant,903,2083,37530.133
medium_variant,903,2084,37049.117
medium_variant,903,2085,36555.028
medium_variant,903,2086,36047.874
medium_variant,903,2087,35527.795
medium_variant,903,2088,34995.244
medium_variant,903,2089,34450.921
medium_variant,903,2090,33895.612
medium_variant,903,2091,33330.047
medium_variant,903,2092,32754.81
medium_variant,903,2093,32170.388
medium_variant,903,2094,31577.135
medium_variant,903,2095,30975.288
medium_variant,903,2096,30364.982
medium_variant,903,2097,29746.264
medium_variant,903,2098,29119.157
medium_variant,903,2099,28483.641
