variant,country,year,gender,oldagedependencyratio1564
estimates,275,1950,male,10.046
estimates,275,1951,male,9.974
estimates,275,1952,male,9.823
estimates,275,1953,male,9.604
estimates,275,1954,male,9.331
estimates,275,1955,male,9.01
estimates,275,1956,male,8.951
estimates,275,1957,male,8.846
estimates,275,1958,male,8.681
estimates,275,1959,male,8.436
estimates,275,1960,male,8.108
estimates,275,1961,male,7.976
estimates,275,1962,male,7.772
estimates,275,1963,male,7.511
estimates,275,1964,male,7.211
estimates,275,1965,male,6.881
estimates,275,1966,male,6.804
estimates,275,1967,male,6.672
estimates,275,1968,male,6.48
estimates,275,1969,male,6.225
estimates,275,1970,male,5.9
estimates,275,1971,male,5.798
estimates,275,1972,male,5.68
estimates,275,1973,male,5.541
estimates,275,1974,male,5.373
estimates,275,1975,male,5.175
estimates,275,1976,male,5.072
estimates,275,1977,male,4.938
estimates,275,1978,male,4.781
estimates,275,1979,male,4.611
estimates,275,1980,male,4.434
estimates,275,1981,male,4.348
estimates,275,1982,male,4.254
estimates,275,1983,male,4.155
estimates,275,1984,male,4.054
estimates,275,1985,male,3.951
estimates,275,1986,male,3.909
estimates,275,1987,male,3.867
estimates,275,1988,male,3.824
estimates,275,1989,male,3.782
estimates,275,1990,male,3.74
estimates,275,1991,male,3.731
estimates,275,1992,male,3.723
estimates,275,1993,male,3.721
estimates,275,1994,male,3.732
estimates,275,1995,male,3.76
estimates,275,1996,male,3.809
estimates,275,1997,male,3.866
estimates,275,1998,male,3.928
estimates,275,1999,male,3.997
estimates,275,2000,male,4.072
estimates,275,2001,male,4.16
estimates,275,2002,male,4.243
estimates,275,2003,male,4.316
estimates,275,2004,male,4.372
estimates,275,2005,male,4.41
estimates,275,2006,male,4.45
estimates,275,2007,male,4.471
estimates,275,2008,male,4.486
estimates,275,2009,male,4.513
estimates,275,2010,male,4.559
estimates,275,2011,male,4.631
estimates,275,2012,male,4.715
estimates,275,2013,male,4.797
estimates,275,2014,male,4.86
estimates,275,2015,male,4.898
medium_variant,275,2015,male,4.898
medium_variant,275,2016,male,4.921
medium_variant,275,2017,male,4.927
medium_variant,275,2018,male,4.924
medium_variant,275,2019,male,4.924
medium_variant,275,2020,male,4.933
medium_variant,275,2021,male,4.954
medium_variant,275,2022,male,4.978
medium_variant,275,2023,male,5.013
medium_variant,275,2024,male,5.068
medium_variant,275,2025,male,5.148
medium_variant,275,2026,male,5.258
medium_variant,275,2027,male,5.384
medium_variant,275,2028,male,5.521
medium_variant,275,2029,male,5.665
medium_variant,275,2030,male,5.813
medium_variant,275,2031,male,5.972
medium_variant,275,2032,male,6.132
medium_variant,275,2033,male,6.292
medium_variant,275,2034,male,6.453
medium_variant,275,2035,male,6.615
medium_variant,275,2036,male,6.777
medium_variant,275,2037,male,6.936
medium_variant,275,2038,male,7.098
medium_variant,275,2039,male,7.269
medium_variant,275,2040,male,7.454
medium_variant,275,2041,male,7.646
medium_variant,275,2042,male,7.848
medium_variant,275,2043,male,8.058
medium_variant,275,2044,male,8.272
medium_variant,275,2045,male,8.489
medium_variant,275,2046,male,8.702
medium_variant,275,2047,male,8.916
medium_variant,275,2048,male,9.14
medium_variant,275,2049,male,9.38
medium_variant,275,2050,male,9.644
medium_variant,275,2051,male,9.917
medium_variant,275,2052,male,10.201
medium_variant,275,2053,male,10.508
medium_variant,275,2054,male,10.851
medium_variant,275,2055,male,11.235
medium_variant,275,2056,male,11.641
medium_variant,275,2057,male,12.077
medium_variant,275,2058,male,12.533
medium_variant,275,2059,male,12.993
medium_variant,275,2060,male,13.448
medium_variant,275,2061,male,13.88
medium_variant,275,2062,male,14.304
medium_variant,275,2063,male,14.72
medium_variant,275,2064,male,15.123
medium_variant,275,2065,male,15.512
medium_variant,275,2066,male,15.856
medium_variant,275,2067,male,16.183
medium_variant,275,2068,male,16.505
medium_variant,275,2069,male,16.836
medium_variant,275,2070,male,17.185
medium_variant,275,2071,male,17.51
medium_variant,275,2072,male,17.85
medium_variant,275,2073,male,18.207
medium_variant,275,2074,male,18.589
medium_variant,275,2075,male,19
medium_variant,275,2076,male,19.4
medium_variant,275,2077,male,19.825
medium_variant,275,2078,male,20.274
medium_variant,275,2079,male,20.748
medium_variant,275,2080,male,21.244
medium_variant,275,2081,male,21.716
medium_variant,275,2082,male,22.207
medium_variant,275,2083,male,22.719
medium_variant,275,2084,male,23.249
medium_variant,275,2085,male,23.794
medium_variant,275,2086,male,24.29
medium_variant,275,2087,male,24.804
medium_variant,275,2088,male,25.332
medium_variant,275,2089,male,25.873
medium_variant,275,2090,male,26.423
medium_variant,275,2091,male,26.903
medium_variant,275,2092,male,27.398
medium_variant,275,2093,male,27.909
medium_variant,275,2094,male,28.434
medium_variant,275,2095,male,28.974
medium_variant,275,2096,male,29.437
medium_variant,275,2097,male,29.917
medium_variant,275,2098,male,30.418
medium_variant,275,2099,male,30.941
medium_variant,275,2100,male,31.487
estimates,275,1950,female,9.245
estimates,275,1951,female,9.211
estimates,275,1952,female,9.119
estimates,275,1953,female,8.98
estimates,275,1954,female,8.81
estimates,275,1955,female,8.619
estimates,275,1956,female,8.589
estimates,275,1957,female,8.533
estimates,275,1958,female,8.434
estimates,275,1959,female,8.271
estimates,275,1960,female,8.037
estimates,275,1961,female,7.914
estimates,275,1962,female,7.729
estimates,275,1963,female,7.498
estimates,275,1964,female,7.239
estimates,275,1965,female,6.96
estimates,275,1966,female,6.876
estimates,275,1967,female,6.745
estimates,275,1968,female,6.566
estimates,275,1969,female,6.344
estimates,275,1970,female,6.075
estimates,275,1971,female,5.991
estimates,275,1972,female,5.906
estimates,275,1973,female,5.812
estimates,275,1974,female,5.694
estimates,275,1975,female,5.553
estimates,275,1976,female,5.476
estimates,275,1977,female,5.373
estimates,275,1978,female,5.255
estimates,275,1979,female,5.131
estimates,275,1980,female,5.008
estimates,275,1981,female,4.952
estimates,275,1982,female,4.892
estimates,275,1983,female,4.835
estimates,275,1984,female,4.794
estimates,275,1985,female,4.77
estimates,275,1986,female,4.798
estimates,275,1987,female,4.839
estimates,275,1988,female,4.881
estimates,275,1989,female,4.91
estimates,275,1990,female,4.921
estimates,275,1991,female,4.926
estimates,275,1992,female,4.919
estimates,275,1993,female,4.908
estimates,275,1994,female,4.905
estimates,275,1995,female,4.914
estimates,275,1996,female,4.924
estimates,275,1997,female,4.94
estimates,275,1998,female,4.965
estimates,275,1999,female,5
estimates,275,2000,female,5.048
estimates,275,2001,female,5.103
estimates,275,2002,female,5.158
estimates,275,2003,female,5.209
estimates,275,2004,female,5.249
estimates,275,2005,female,5.276
estimates,275,2006,female,5.306
estimates,275,2007,female,5.326
estimates,275,2008,female,5.341
estimates,275,2009,female,5.357
estimates,275,2010,female,5.375
estimates,275,2011,female,5.396
estimates,275,2012,female,5.418
estimates,275,2013,female,5.445
estimates,275,2014,female,5.481
estimates,275,2015,female,5.528
medium_variant,275,2015,female,5.528
medium_variant,275,2016,female,5.58
medium_variant,275,2017,female,5.643
medium_variant,275,2018,female,5.713
medium_variant,275,2019,female,5.786
medium_variant,275,2020,female,5.86
medium_variant,275,2021,female,5.926
medium_variant,275,2022,female,5.992
medium_variant,275,2023,female,6.069
medium_variant,275,2024,female,6.171
medium_variant,275,2025,female,6.305
medium_variant,275,2026,female,6.453
medium_variant,275,2027,female,6.625
medium_variant,275,2028,female,6.815
medium_variant,275,2029,female,7.016
medium_variant,275,2030,female,7.224
medium_variant,275,2031,female,7.42
medium_variant,275,2032,female,7.623
medium_variant,275,2033,female,7.83
medium_variant,275,2034,female,8.043
medium_variant,275,2035,female,8.26
medium_variant,275,2036,female,8.456
medium_variant,275,2037,female,8.654
medium_variant,275,2038,female,8.86
medium_variant,275,2039,female,9.081
medium_variant,275,2040,female,9.32
medium_variant,275,2041,female,9.543
medium_variant,275,2042,female,9.782
medium_variant,275,2043,female,10.037
medium_variant,275,2044,female,10.301
medium_variant,275,2045,female,10.572
medium_variant,275,2046,female,10.81
medium_variant,275,2047,female,11.057
medium_variant,275,2048,female,11.32
medium_variant,275,2049,female,11.607
medium_variant,275,2050,female,11.923
medium_variant,275,2051,female,12.217
medium_variant,275,2052,female,12.532
medium_variant,275,2053,female,12.88
