region,variant,freq,year,mortality15to50per1000aliveat15
957,estimates,5yearly,1950,284.771695642017
957,estimates,5yearly,1955,238.70871080722
957,estimates,5yearly,1960,212.772464321562
957,estimates,5yearly,1965,185.416948596563
957,estimates,5yearly,1970,162.531537407918
957,estimates,5yearly,1975,142.871225829006
957,estimates,5yearly,1980,121.023834197848
957,estimates,5yearly,1985,107.372536022026
957,estimates,5yearly,1990,90.5184300367144
957,estimates,5yearly,1995,77.7073328427025
957,estimates,5yearly,2000,65.9007870094601
957,estimates,5yearly,2005,53.7970608746877
957,estimates,5yearly,2010,47.8061124645811
957,medium_variant,5yearly,2015,43.5738075219152
957,medium_variant,5yearly,2020,39.2203819820176
957,medium_variant,5yearly,2025,35.3138596703695
957,medium_variant,5yearly,2030,31.9485972403115
957,medium_variant,5yearly,2035,28.9704945613263
957,medium_variant,5yearly,2040,26.4461350423386
957,medium_variant,5yearly,2045,24.0804072899913
957,medium_variant,5yearly,2050,21.942580982047
957,medium_variant,5yearly,2055,20.0058145021771
957,medium_variant,5yearly,2060,18.3141869452021
957,medium_variant,5yearly,2065,16.9037917788759
957,medium_variant,5yearly,2070,15.6179550833755
957,medium_variant,5yearly,2075,14.3968980541054
957,medium_variant,5yearly,2080,13.2618598922062
957,medium_variant,5yearly,2085,12.1984026393812
957,medium_variant,5yearly,2090,11.2294780881932
957,medium_variant,5yearly,2095,10.3637783670107
957,estimates,5yearly,Regi,Polynesia
957,medium_variant,5yearly,Regi,Polynesia
