region,variant,freq,year,mortality15to50per1000aliveat15
928,estimates,5yearly,1950,391.938158714638
928,estimates,5yearly,1955,357.371282231951
928,estimates,5yearly,1960,335.408723344101
928,estimates,5yearly,1965,289.2921888354
928,estimates,5yearly,1970,251.753549200941
928,estimates,5yearly,1975,211.829973746303
928,estimates,5yearly,1980,176.551255896828
928,estimates,5yearly,1985,169.447995655111
928,estimates,5yearly,1990,154.112220269599
928,estimates,5yearly,1995,141.162008166531
928,estimates,5yearly,2000,127.338518697015
928,estimates,5yearly,2005,112.133522028174
928,estimates,5yearly,2010,104.912255086499
928,medium_variant,5yearly,2015,98.6589875976559
928,medium_variant,5yearly,2020,92.8702596767476
928,medium_variant,5yearly,2025,87.6856469330228
928,medium_variant,5yearly,2030,83.5430824348413
928,medium_variant,5yearly,2035,79.8046791204775
928,medium_variant,5yearly,2040,76.165617338494
928,medium_variant,5yearly,2045,72.7013128412707
928,medium_variant,5yearly,2050,69.3646343238143
928,medium_variant,5yearly,2055,66.0903796934703
928,medium_variant,5yearly,2060,62.809875550946
928,medium_variant,5yearly,2065,60.0498031605984
928,medium_variant,5yearly,2070,57.228958978816
928,medium_variant,5yearly,2075,54.3147362461608
928,medium_variant,5yearly,2080,51.6499314854679
928,medium_variant,5yearly,2085,48.9234193317129
928,medium_variant,5yearly,2090,46.1382262531156
928,medium_variant,5yearly,2095,43.2824839414051
