variant,global,year,gender,dependencyratio2564
estimates,900,1950,male,134.005
estimates,900,1951,male,135.164
estimates,900,1952,male,136.112
estimates,900,1953,male,136.721
estimates,900,1954,male,136.981
estimates,900,1955,male,137.004
estimates,900,1956,male,138.226
estimates,900,1957,male,138.959
estimates,900,1958,male,139.446
estimates,900,1959,male,139.871
estimates,900,1960,male,140.31
estimates,900,1961,male,141.019
estimates,900,1962,male,141.907
estimates,900,1963,male,142.864
estimates,900,1964,male,143.764
estimates,900,1965,male,144.606
estimates,900,1966,male,146.499
estimates,900,1967,male,148.142
estimates,900,1968,male,149.536
estimates,900,1969,male,150.681
estimates,900,1970,male,151.543
estimates,900,1971,male,152.648
estimates,900,1972,male,153.331
estimates,900,1973,male,153.557
estimates,900,1974,male,153.239
estimates,900,1975,male,152.368
estimates,900,1976,male,151.738
estimates,900,1977,male,150.517
estimates,900,1978,male,148.902
estimates,900,1979,male,147.179
estimates,900,1980,male,145.53
estimates,900,1981,male,144.238
estimates,900,1982,male,143.07
estimates,900,1983,male,141.911
estimates,900,1984,male,140.593
estimates,900,1985,male,139.061
estimates,900,1986,male,138.07
estimates,900,1987,male,136.834
estimates,900,1988,male,135.409
estimates,900,1989,male,133.829
estimates,900,1990,male,132.096
estimates,900,1991,male,130.81
estimates,900,1992,male,129.142
estimates,900,1993,male,127.257
estimates,900,1994,male,125.353
estimates,900,1995,male,123.531
estimates,900,1996,male,121.756
estimates,900,1997,male,120.151
estimates,900,1998,male,118.64
estimates,900,1999,male,117.134
estimates,900,2000,male,115.622
estimates,900,2001,male,114.582
estimates,900,2002,male,113.529
estimates,900,2003,male,112.426
estimates,900,2004,male,111.244
estimates,900,2005,male,109.966
estimates,900,2006,male,108.923
estimates,900,2007,male,107.744
estimates,900,2008,male,106.462
estimates,900,2009,male,105.09
estimates,900,2010,male,103.65
estimates,900,2011,male,102.384
estimates,900,2012,male,101.007
estimates,900,2013,male,99.617
estimates,900,2014,male,98.333
estimates,900,2015,male,97.225
medium_variant,900,2015,male,97.225
medium_variant,900,2016,male,96.476
medium_variant,900,2017,male,95.837
medium_variant,900,2018,male,95.294
medium_variant,900,2019,male,94.822
medium_variant,900,2020,male,94.407
medium_variant,900,2021,male,94.247
medium_variant,900,2022,male,94.131
medium_variant,900,2023,male,94.034
medium_variant,900,2024,male,93.921
medium_variant,900,2025,male,93.78
medium_variant,900,2026,male,93.815
medium_variant,900,2027,male,93.795
medium_variant,900,2028,male,93.729
medium_variant,900,2029,male,93.63
medium_variant,900,2030,male,93.512
medium_variant,900,2031,male,93.56
medium_variant,900,2032,male,93.55
medium_variant,900,2033,male,93.49
medium_variant,900,2034,male,93.387
medium_variant,900,2035,male,93.251
medium_variant,900,2036,male,93.257
medium_variant,900,2037,male,93.203
medium_variant,900,2038,male,93.099
medium_variant,900,2039,male,92.95
medium_variant,900,2040,male,92.763
medium_variant,900,2041,male,92.711
medium_variant,900,2042,male,92.602
medium_variant,900,2043,male,92.452
medium_variant,900,2044,male,92.28
medium_variant,900,2045,male,92.103
medium_variant,900,2046,male,92.086
medium_variant,900,2047,male,92.03
medium_variant,900,2048,male,91.964
medium_variant,900,2049,male,91.923
medium_variant,900,2050,male,91.931
medium_variant,900,2051,male,92.14
medium_variant,900,2052,male,92.354
medium_variant,900,2053,male,92.572
medium_variant,900,2054,male,92.782
medium_variant,900,2055,male,92.981
medium_variant,900,2056,male,93.322
medium_variant,900,2057,male,93.615
medium_variant,900,2058,male,93.852
medium_variant,900,2059,male,94.02
medium_variant,900,2060,male,94.117
medium_variant,900,2061,male,94.291
medium_variant,900,2062,male,94.362
medium_variant,900,2063,male,94.352
medium_variant,900,2064,male,94.287
medium_variant,900,2065,male,94.189
medium_variant,900,2066,male,94.194
medium_variant,900,2067,male,94.128
medium_variant,900,2068,male,94.016
medium_variant,900,2069,male,93.887
medium_variant,900,2070,male,93.767
medium_variant,900,2071,male,93.768
medium_variant,900,2072,male,93.738
medium_variant,900,2073,male,93.697
medium_variant,900,2074,male,93.661
medium_variant,900,2075,male,93.644
medium_variant,900,2076,male,93.751
medium_variant,900,2077,male,93.838
medium_variant,900,2078,male,93.913
medium_variant,900,2079,male,93.985
medium_variant,900,2080,male,94.065
medium_variant,900,2081,male,94.261
medium_variant,900,2082,male,94.418
medium_variant,900,2083,male,94.545
medium_variant,900,2084,male,94.653
medium_variant,900,2085,male,94.755
medium_variant,900,2086,male,94.939
medium_variant,900,2087,male,95.068
medium_variant,900,2088,male,95.161
medium_variant,900,2089,male,95.237
medium_variant,900,2090,male,95.31
medium_variant,900,2091,male,95.434
medium_variant,900,2092,male,95.508
medium_variant,900,2093,male,95.551
medium_variant,900,2094,male,95.58
medium_variant,900,2095,male,95.611
medium_variant,900,2096,male,95.685
medium_variant,900,2097,male,95.719
medium_variant,900,2098,male,95.732
medium_variant,900,2099,male,95.741
medium_variant,900,2100,male,95.761
estimates,900,1950,female,127.059
estimates,900,1951,female,128.219
estimates,900,1952,female,129.226
estimates,900,1953,female,130.009
estimates,900,1954,female,130.528
estimates,900,1955,female,130.842
estimates,900,1956,female,132.052
estimates,900,1957,female,132.881
estimates,900,1958,female,133.535
estimates,900,1959,female,134.165
estimates,900,1960,female,134.824
estimates,900,1961,female,135.724
estimates,900,1962,female,136.774
estimates,900,1963,female,137.896
estimates,900,1964,female,139.01
estimates,900,1965,female,140.13
estimates,900,1966,female,142.197
estimates,900,1967,female,144.105
estimates,900,1968,female,145.838
estimates,900,1969,female,147.346
estimates,900,1970,female,148.552
estimates,900,1971,female,149.814
estimates,900,1972,female,150.636
estimates,900,1973,female,151.025
estimates,900,1974,female,150.949
estimates,900,1975,female,150.413
estimates,900,1976,female,149.895
estimates,900,1977,female,148.88
estimates,900,1978,female,147.527
estimates,900,1979,female,146.067
estimates,900,1980,female,144.646
estimates,900,1981,female,143.509
estimates,900,1982,female,142.452
estimates,900,1983,female,141.39
estimates,900,1984,female,140.193
estimates,900,1985,female,138.819
estimates,900,1986,female,137.87
estimates,900,1987,female,136.696
estimates,900,1988,female,135.343
estimates,900,1989,female,133.828
estimates,900,1990,female,132.146
estimates,900,1991,female,130.792
estimates,900,1992,female,129.048
estimates,900,1993,female,127.086
estimates,900,1994,female,125.119
estimates,900,1995,female,123.253
estimates,900,1996,female,121.343
estimates,900,1997,female,119.633
estimates,900,1998,female,118.043
estimates,900,1999,female,116.468
estimates,900,2000,female,114.889
estimates,900,2001,female,113.783
estimates,900,2002,female,112.647
estimates,900,2003,female,111.461
estimates,900,2004,female,110.216
estimates,900,2005,female,108.906
estimates,900,2006,female,107.757
estimates,900,2007,female,106.505
estimates,900,2008,female,105.176
estimates,900,2009,female,103.778
estimates,900,2010,female,102.328
estimates,900,2011,female,100.991
estimates,900,2012,female,99.569
estimates,900,2013,female,98.166
estimates,900,2014,female,96.91
estimates,900,2015,female,95.874
medium_variant,900,2015,female,95.874
medium_variant,900,2016,female,95.143
medium_variant,900,2017,female,94.574
medium_variant,900,2018,female,94.144
medium_variant,900,2019,female,93.819
medium_variant,900,2020,female,93.577
medium_variant,900,2021,female,93.516
medium_variant,900,2022,female,93.523
medium_variant,900,2023,female,93.575
medium_variant,900,2024,female,93.644
medium_variant,900,2025,female,93.718
medium_variant,900,2026,female,93.898
medium_variant,900,2027,female,94.049
medium_variant,900,2028,female,94.18
medium_variant,900,2029,female,94.306
medium_variant,900,2030,female,94.44
medium_variant,900,2031,female,94.66
medium_variant,900,2032,female,94.842
medium_variant,900,2033,female,94.997
medium_variant,900,2034,female,95.132
medium_variant,900,2035,female,95.257
medium_variant,900,2036,female,95.431
medium_variant,900,2037,female,95.564
medium_variant,900,2038,female,95.665
medium_variant,900,2039,female,95.739
medium_variant,900,2040,female,95.794
medium_variant,900,2041,female,95.888
medium_variant,900,2042,female,95.936
medium_variant,900,2043,female,95.959
medium_variant,900,2044,female,95.979
medium_variant,900,2045,female,96.018
medium_variant,900,2046,female,96.126
medium_variant,900,2047,female,96.211
medium_variant,900,2048,female,96.303
medium_variant,900,2049,female,96.44
medium_variant,900,2050,female,96.651
medium_variant,900,2051,female,96.962
medium_variant,900,2052,female,97.296
medium_variant,900,2053,female,97.65
medium_variant,900,2054,female,98.012
medium_variant,900,2055,female,98.372
medium_variant,900,2056,female,98.759
medium_variant,900,2057,female,99.101
medium_variant,900,2058,female,99.394
medium_variant,900,2059,female,99.626
medium_variant,900,2060,female,99.799
medium_variant,900,2061,female,99.935
medium_variant,900,2062,female,99.969
medium_variant,900,2063,female,99.932
medium_variant,900,2064,female,99.856
medium_variant,900,2065,female,99.772
medium_variant,900,2066,female,99.682
medium_variant,900,2067,female,99.537
medium_variant,900,2068,female,99.367
medium_variant,900,2069,female,99.206
medium_variant,900,2070,female,99.082
medium_variant,900,2071,female,98.979
medium_variant,900,2072,female,98.867
medium_variant,900,2073,female,98.771
medium_variant,900,2074,female,98.71
medium_variant,900,2075,female,98.7
medium_variant,900,2076,female,98.718
medium_variant,900,2077,female,98.741
medium_variant,900,2078,female,98.78
medium_variant,900,2079,female,98.844
medium_variant,900,2080,female,98.949
medium_variant,900,2081,female,99.076
medium_variant,900,2082,female,99.188
medium_variant,900,2083,female,99.298
medium_variant,900,2084,female,99.419
medium_variant,900,2085,female,99.572
medium_variant,900,2086,female,99.707
medium_variant,900,2087,female,99.814
medium_variant,900,2088,female,99.917
medium_variant,900,2089,female,100.036
medium_variant,900,2090,female,100.186
medium_variant,900,2091,female,100.284
medium_variant,900,2092,female,100.361
medium_variant,900,2093,female,100.435
medium_variant,900,2094,female,100.526
medium_variant,900,2095,female,100.65
medium_variant,900,2096,female,100.711
medium_variant,900,2097,female,100.761
medium_variant,900,2098,female,100.817
medium_variant,900,2099,female,100.898
medium_variant,900,2100,female,101.019
