variant,country,year,rateofnaturalincreaseper1000population
estimates,254,1950,21.856
estimates,254,1951,21.522
estimates,254,1952,20.886
estimates,254,1953,20.312
estimates,254,1954,19.801
estimates,254,1955,19.355
estimates,254,1956,18.98
estimates,254,1957,18.684
estimates,254,1958,18.482
estimates,254,1959,18.4
estimates,254,1960,18.466
estimates,254,1961,18.702
estimates,254,1962,19.12
estimates,254,1963,19.703
estimates,254,1964,20.409
estimates,254,1965,21.166
estimates,254,1966,21.892
estimates,254,1967,22.507
estimates,254,1968,22.946
estimates,254,1969,23.169
estimates,254,1970,23.125
estimates,254,1971,22.785
estimates,254,1972,22.202
estimates,254,1973,21.46
estimates,254,1974,20.641
estimates,254,1975,19.874
estimates,254,1976,19.301
estimates,254,1977,19.01
estimates,254,1978,19.046
estimates,254,1979,19.414
estimates,254,1980,20.066
estimates,254,1981,20.904
estimates,254,1982,21.793
estimates,254,1983,22.62
estimates,254,1984,23.336
estimates,254,1985,23.932
estimates,254,1986,24.438
estimates,254,1987,24.916
estimates,254,1988,25.401
estimates,254,1989,25.881
estimates,254,1990,26.316
estimates,254,1991,26.651
estimates,254,1992,26.845
estimates,254,1993,26.879
estimates,254,1994,26.76
estimates,254,1995,26.517
estimates,254,1996,26.198
estimates,254,1997,25.863
estimates,254,1998,25.563
estimates,254,1999,25.324
estimates,254,2000,25.168
estimates,254,2001,25.1
estimates,254,2002,25.093
estimates,254,2003,25.112
estimates,254,2004,25.138
estimates,254,2005,25.138
estimates,254,2006,25.079
estimates,254,2007,24.941
estimates,254,2008,24.714
estimates,254,2009,24.394
estimates,254,2010,23.989
estimates,254,2011,23.516
estimates,254,2012,23.005
estimates,254,2013,22.488
estimates,254,2014,21.984
estimates,254,2015,21.508
medium_variant,254,2015,21.508
medium_variant,254,2016,21.071
medium_variant,254,2017,20.668
medium_variant,254,2018,20.299
medium_variant,254,2019,19.964
medium_variant,254,2020,19.667
medium_variant,254,2021,19.406
medium_variant,254,2022,19.176
medium_variant,254,2023,18.967
medium_variant,254,2024,18.775
medium_variant,254,2025,18.594
medium_variant,254,2026,18.419
medium_variant,254,2027,18.248
medium_variant,254,2028,18.075
medium_variant,254,2029,17.897
medium_variant,254,2030,17.71
medium_variant,254,2031,17.511
medium_variant,254,2032,17.303
medium_variant,254,2033,17.084
medium_variant,254,2034,16.856
medium_variant,254,2035,16.615
medium_variant,254,2036,16.363
medium_variant,254,2037,16.099
medium_variant,254,2038,15.826
medium_variant,254,2039,15.546
medium_variant,254,2040,15.259
medium_variant,254,2041,14.968
medium_variant,254,2042,14.674
medium_variant,254,2043,14.379
medium_variant,254,2044,14.087
medium_variant,254,2045,13.799
medium_variant,254,2046,13.518
medium_variant,254,2047,13.244
medium_variant,254,2048,12.977
medium_variant,254,2049,12.719
medium_variant,254,2050,12.473
medium_variant,254,2051,12.238
medium_variant,254,2052,12.015
medium_variant,254,2053,11.802
medium_variant,254,2054,11.601
medium_variant,254,2055,11.41
medium_variant,254,2056,11.23
medium_variant,254,2057,11.059
medium_variant,254,2058,10.896
medium_variant,254,2059,10.739
medium_variant,254,2060,10.587
medium_variant,254,2061,10.439
medium_variant,254,2062,10.294
medium_variant,254,2063,10.15
medium_variant,254,2064,10.007
medium_variant,254,2065,9.862
medium_variant,254,2066,9.717
medium_variant,254,2067,9.57
medium_variant,254,2068,9.422
medium_variant,254,2069,9.272
medium_variant,254,2070,9.121
medium_variant,254,2071,8.967
medium_variant,254,2072,8.812
medium_variant,254,2073,8.654
medium_variant,254,2074,8.495
medium_variant,254,2075,8.334
medium_variant,254,2076,8.172
medium_variant,254,2077,8.009
medium_variant,254,2078,7.845
medium_variant,254,2079,7.681
medium_variant,254,2080,7.515
medium_variant,254,2081,7.349
medium_variant,254,2082,7.181
medium_variant,254,2083,7.012
medium_variant,254,2084,6.841
medium_variant,254,2085,6.671
medium_variant,254,2086,6.5
medium_variant,254,2087,6.331
medium_variant,254,2088,6.163
medium_variant,254,2089,5.998
medium_variant,254,2090,5.835
medium_variant,254,2091,5.676
medium_variant,254,2092,5.521
medium_variant,254,2093,5.369
medium_variant,254,2094,5.221
medium_variant,254,2095,5.076
medium_variant,254,2096,4.936
medium_variant,254,2097,4.799
medium_variant,254,2098,4.666
medium_variant,254,2099,4.536
