variant,country,year,rateofnaturalincreaseper1000population
estimates,830,1950,2.43
estimates,830,1951,2.353
estimates,830,1952,2.24
estimates,830,1953,2.208
estimates,830,1954,2.258
estimates,830,1955,2.388
estimates,830,1956,2.594
estimates,830,1957,2.868
estimates,830,1958,3.196
estimates,830,1959,3.553
estimates,830,1960,3.911
estimates,830,1961,4.236
estimates,830,1962,4.495
estimates,830,1963,4.658
estimates,830,1964,4.709
estimates,830,1965,4.632
estimates,830,1966,4.424
estimates,830,1967,4.112
estimates,830,1968,3.724
estimates,830,1969,3.282
estimates,830,1970,2.808
estimates,830,1971,2.322
estimates,830,1972,1.842
estimates,830,1973,1.388
estimates,830,1974,0.982
estimates,830,1975,0.643
estimates,830,1976,0.382
estimates,830,1977,0.196
estimates,830,1978,0.078
estimates,830,1979,0.028
estimates,830,1980,0.041
estimates,830,1981,0.111
estimates,830,1982,0.224
estimates,830,1983,0.367
estimates,830,1984,0.528
estimates,830,1985,0.699
estimates,830,1986,0.878
estimates,830,1987,1.062
estimates,830,1988,1.245
estimates,830,1989,1.415
estimates,830,1990,1.555
estimates,830,1991,1.649
estimates,830,1992,1.692
estimates,830,1993,1.684
estimates,830,1994,1.63
estimates,830,1995,1.544
estimates,830,1996,1.447
estimates,830,1997,1.358
estimates,830,1998,1.292
estimates,830,1999,1.254
estimates,830,2000,1.242
estimates,830,2001,1.248
estimates,830,2002,1.255
estimates,830,2003,1.251
estimates,830,2004,1.231
estimates,830,2005,1.193
estimates,830,2006,1.138
estimates,830,2007,1.073
estimates,830,2008,1.003
estimates,830,2009,0.928
estimates,830,2010,0.851
estimates,830,2011,0.771
estimates,830,2012,0.687
estimates,830,2013,0.6
estimates,830,2014,0.511
estimates,830,2015,0.422
medium_variant,830,2015,0.422
medium_variant,830,2016,0.334
medium_variant,830,2017,0.25
medium_variant,830,2018,0.168
medium_variant,830,2019,0.09
medium_variant,830,2020,0.014
medium_variant,830,2021,-0.061
medium_variant,830,2022,-0.137
medium_variant,830,2023,-0.216
medium_variant,830,2024,-0.3
medium_variant,830,2025,-0.389
medium_variant,830,2026,-0.485
medium_variant,830,2027,-0.586
medium_variant,830,2028,-0.694
medium_variant,830,2029,-0.806
medium_variant,830,2030,-0.925
medium_variant,830,2031,-1.05
medium_variant,830,2032,-1.181
medium_variant,830,2033,-1.316
medium_variant,830,2034,-1.455
medium_variant,830,2035,-1.598
medium_variant,830,2036,-1.744
medium_variant,830,2037,-1.891
medium_variant,830,2038,-2.039
medium_variant,830,2039,-2.187
medium_variant,830,2040,-2.332
medium_variant,830,2041,-2.474
medium_variant,830,2042,-2.612
medium_variant,830,2043,-2.745
medium_variant,830,2044,-2.871
medium_variant,830,2045,-2.99
medium_variant,830,2046,-3.101
medium_variant,830,2047,-3.205
medium_variant,830,2048,-3.301
medium_variant,830,2049,-3.388
medium_variant,830,2050,-3.464
medium_variant,830,2051,-3.529
medium_variant,830,2052,-3.581
medium_variant,830,2053,-3.621
medium_variant,830,2054,-3.65
medium_variant,830,2055,-3.666
medium_variant,830,2056,-3.671
medium_variant,830,2057,-3.667
medium_variant,830,2058,-3.654
medium_variant,830,2059,-3.635
medium_variant,830,2060,-3.61
medium_variant,830,2061,-3.579
medium_variant,830,2062,-3.543
medium_variant,830,2063,-3.504
medium_variant,830,2064,-3.461
medium_variant,830,2065,-3.416
medium_variant,830,2066,-3.371
medium_variant,830,2067,-3.325
medium_variant,830,2068,-3.279
medium_variant,830,2069,-3.234
medium_variant,830,2070,-3.191
medium_variant,830,2071,-3.149
medium_variant,830,2072,-3.11
medium_variant,830,2073,-3.072
medium_variant,830,2074,-3.035
medium_variant,830,2075,-3.001
medium_variant,830,2076,-2.967
medium_variant,830,2077,-2.935
medium_variant,830,2078,-2.904
medium_variant,830,2079,-2.874
medium_variant,830,2080,-2.845
medium_variant,830,2081,-2.816
medium_variant,830,2082,-2.787
medium_variant,830,2083,-2.759
medium_variant,830,2084,-2.732
medium_variant,830,2085,-2.706
medium_variant,830,2086,-2.681
medium_variant,830,2087,-2.658
medium_variant,830,2088,-2.636
medium_variant,830,2089,-2.616
medium_variant,830,2090,-2.598
medium_variant,830,2091,-2.581
medium_variant,830,2092,-2.566
medium_variant,830,2093,-2.551
medium_variant,830,2094,-2.537
medium_variant,830,2095,-2.524
medium_variant,830,2096,-2.512
medium_variant,830,2097,-2.5
medium_variant,830,2098,-2.489
medium_variant,830,2099,-2.478
