variant,country,year,rateofnaturalincreaseper1000population
estimates,646,1950,27.686
estimates,646,1951,28.033
estimates,646,1952,28.66
estimates,646,1953,29.156
estimates,646,1954,29.519
estimates,646,1955,29.752
estimates,646,1956,29.858
estimates,646,1957,29.844
estimates,646,1958,29.726
estimates,646,1959,29.524
estimates,646,1960,29.268
estimates,646,1961,28.99
estimates,646,1962,28.729
estimates,646,1963,28.518
estimates,646,1964,28.386
estimates,646,1965,28.353
estimates,646,1966,28.426
estimates,646,1967,28.591
estimates,646,1968,28.834
estimates,646,1969,29.15
estimates,646,1970,29.536
estimates,646,1971,29.986
estimates,646,1972,30.492
estimates,646,1973,31.039
estimates,646,1974,31.616
estimates,646,1975,32.231
estimates,646,1976,32.904
estimates,646,1977,33.628
estimates,646,1978,34.372
estimates,646,1979,35.088
estimates,646,1980,35.783
estimates,646,1981,36.483
estimates,646,1982,37.126
estimates,646,1983,37.585
estimates,646,1984,37.69
estimates,646,1985,36.978
estimates,646,1986,34.914
estimates,646,1987,31.362
estimates,646,1988,26.486
estimates,646,1989,20.677
estimates,646,1990,14.803
estimates,646,1991,9.947
estimates,646,1992,6.921
estimates,646,1993,6.17
estimates,646,1994,7.708
estimates,646,1995,11.082
estimates,646,1996,15.46
estimates,646,1997,19.771
estimates,646,1998,23.19
estimates,646,1999,25.398
estimates,646,2000,26.365
estimates,646,2001,26.373
estimates,646,2002,26.03
estimates,646,2003,25.811
estimates,646,2004,25.845
estimates,646,2005,26.162
estimates,646,2006,26.68
estimates,646,2007,27.195
estimates,646,2008,27.55
estimates,646,2009,27.71
estimates,646,2010,27.661
estimates,646,2011,27.423
estimates,646,2012,27.059
estimates,646,2013,26.627
estimates,646,2014,26.153
estimates,646,2015,25.654
medium_variant,646,2015,25.654
medium_variant,646,2016,25.139
medium_variant,646,2017,24.607
medium_variant,646,2018,24.061
medium_variant,646,2019,23.515
medium_variant,646,2020,22.983
medium_variant,646,2021,22.476
medium_variant,646,2022,21.996
medium_variant,646,2023,21.547
medium_variant,646,2024,21.133
medium_variant,646,2025,20.755
medium_variant,646,2026,20.414
medium_variant,646,2027,20.102
medium_variant,646,2028,19.812
medium_variant,646,2029,19.537
medium_variant,646,2030,19.272
medium_variant,646,2031,19.011
medium_variant,646,2032,18.751
medium_variant,646,2033,18.487
medium_variant,646,2034,18.212
medium_variant,646,2035,17.924
medium_variant,646,2036,17.617
medium_variant,646,2037,17.293
medium_variant,646,2038,16.953
medium_variant,646,2039,16.598
medium_variant,646,2040,16.227
medium_variant,646,2041,15.841
medium_variant,646,2042,15.444
medium_variant,646,2043,15.04
medium_variant,646,2044,14.633
medium_variant,646,2045,14.225
medium_variant,646,2046,13.82
medium_variant,646,2047,13.421
medium_variant,646,2048,13.029
medium_variant,646,2049,12.646
medium_variant,646,2050,12.276
medium_variant,646,2051,11.919
medium_variant,646,2052,11.574
medium_variant,646,2053,11.241
medium_variant,646,2054,10.918
medium_variant,646,2055,10.604
medium_variant,646,2056,10.298
medium_variant,646,2057,9.998
medium_variant,646,2058,9.702
medium_variant,646,2059,9.41
medium_variant,646,2060,9.12
medium_variant,646,2061,8.832
medium_variant,646,2062,8.548
medium_variant,646,2063,8.266
medium_variant,646,2064,7.986
medium_variant,646,2065,7.708
medium_variant,646,2066,7.43
medium_variant,646,2067,7.152
medium_variant,646,2068,6.873
medium_variant,646,2069,6.595
medium_variant,646,2070,6.317
medium_variant,646,2071,6.04
medium_variant,646,2072,5.765
medium_variant,646,2073,5.495
medium_variant,646,2074,5.228
medium_variant,646,2075,4.967
medium_variant,646,2076,4.711
medium_variant,646,2077,4.459
medium_variant,646,2078,4.212
medium_variant,646,2079,3.97
medium_variant,646,2080,3.732
medium_variant,646,2081,3.498
medium_variant,646,2082,3.268
medium_variant,646,2083,3.043
medium_variant,646,2084,2.821
medium_variant,646,2085,2.602
medium_variant,646,2086,2.387
medium_variant,646,2087,2.174
medium_variant,646,2088,1.965
medium_variant,646,2089,1.758
medium_variant,646,2090,1.555
medium_variant,646,2091,1.355
medium_variant,646,2092,1.159
medium_variant,646,2093,0.967
medium_variant,646,2094,0.78
medium_variant,646,2095,0.597
medium_variant,646,2096,0.418
medium_variant,646,2097,0.244
medium_variant,646,2098,0.075
medium_variant,646,2099,-0.09
