variant,country,year,rateofnaturalincreaseper1000population
estimates,204,1950,3.286
estimates,204,1951,4.063
estimates,204,1952,5.584
estimates,204,1953,7.039
estimates,204,1954,8.428
estimates,204,1955,9.752
estimates,204,1956,11.011
estimates,204,1957,12.207
estimates,204,1958,13.344
estimates,204,1959,14.425
estimates,204,1960,15.458
estimates,204,1961,16.447
estimates,204,1962,17.399
estimates,204,1963,18.317
estimates,204,1964,19.2
estimates,204,1965,20.038
estimates,204,1966,20.82
estimates,204,1967,21.536
estimates,204,1968,22.185
estimates,204,1969,22.772
estimates,204,1970,23.311
estimates,204,1971,23.819
estimates,204,1972,24.315
estimates,204,1973,24.81
estimates,204,1974,25.309
estimates,204,1975,25.804
estimates,204,1976,26.284
estimates,204,1977,26.732
estimates,204,1978,27.141
estimates,204,1979,27.513
estimates,204,1980,27.86
estimates,204,1981,28.2
estimates,204,1982,28.549
estimates,204,1983,28.913
estimates,204,1984,29.294
estimates,204,1985,29.688
estimates,204,1986,30.087
estimates,204,1987,30.473
estimates,204,1988,30.824
estimates,204,1989,31.125
estimates,204,1990,31.35
estimates,204,1991,31.473
estimates,204,1992,31.491
estimates,204,1993,31.41
estimates,204,1994,31.239
estimates,204,1995,30.997
estimates,204,1996,30.71
estimates,204,1997,30.409
estimates,204,1998,30.125
estimates,204,1999,29.876
estimates,204,2000,29.682
estimates,204,2001,29.551
estimates,204,2002,29.473
estimates,204,2003,29.435
estimates,204,2004,29.426
estimates,204,2005,29.433
estimates,204,2006,29.439
estimates,204,2007,29.428
estimates,204,2008,29.387
estimates,204,2009,29.308
estimates,204,2010,29.185
estimates,204,2011,29.019
estimates,204,2012,28.821
estimates,204,2013,28.6
estimates,204,2014,28.362
estimates,204,2015,28.111
medium_variant,204,2015,28.111
medium_variant,204,2016,27.854
medium_variant,204,2017,27.592
medium_variant,204,2018,27.329
medium_variant,204,2019,27.068
medium_variant,204,2020,26.809
medium_variant,204,2021,26.552
medium_variant,204,2022,26.296
medium_variant,204,2023,26.039
medium_variant,204,2024,25.779
medium_variant,204,2025,25.517
medium_variant,204,2026,25.253
medium_variant,204,2027,24.987
medium_variant,204,2028,24.719
medium_variant,204,2029,24.449
medium_variant,204,2030,24.178
medium_variant,204,2031,23.906
medium_variant,204,2032,23.634
medium_variant,204,2033,23.361
medium_variant,204,2034,23.086
medium_variant,204,2035,22.811
medium_variant,204,2036,22.533
medium_variant,204,2037,22.253
medium_variant,204,2038,21.971
medium_variant,204,2039,21.686
medium_variant,204,2040,21.399
medium_variant,204,2041,21.11
medium_variant,204,2042,20.821
medium_variant,204,2043,20.532
medium_variant,204,2044,20.244
medium_variant,204,2045,19.958
medium_variant,204,2046,19.675
medium_variant,204,2047,19.394
medium_variant,204,2048,19.115
medium_variant,204,2049,18.839
medium_variant,204,2050,18.566
medium_variant,204,2051,18.295
medium_variant,204,2052,18.025
medium_variant,204,2053,17.757
medium_variant,204,2054,17.489
medium_variant,204,2055,17.224
medium_variant,204,2056,16.961
medium_variant,204,2057,16.702
medium_variant,204,2058,16.446
medium_variant,204,2059,16.193
medium_variant,204,2060,15.942
medium_variant,204,2061,15.691
medium_variant,204,2062,15.44
medium_variant,204,2063,15.188
medium_variant,204,2064,14.934
medium_variant,204,2065,14.678
medium_variant,204,2066,14.423
medium_variant,204,2067,14.168
medium_variant,204,2068,13.916
medium_variant,204,2069,13.665
medium_variant,204,2070,13.417
medium_variant,204,2071,13.17
medium_variant,204,2072,12.924
medium_variant,204,2073,12.68
medium_variant,204,2074,12.436
medium_variant,204,2075,12.195
medium_variant,204,2076,11.955
medium_variant,204,2077,11.719
medium_variant,204,2078,11.485
medium_variant,204,2079,11.255
medium_variant,204,2080,11.028
medium_variant,204,2081,10.804
medium_variant,204,2082,10.581
medium_variant,204,2083,10.359
medium_variant,204,2084,10.138
medium_variant,204,2085,9.918
medium_variant,204,2086,9.698
medium_variant,204,2087,9.478
medium_variant,204,2088,9.26
medium_variant,204,2089,9.042
medium_variant,204,2090,8.826
medium_variant,204,2091,8.613
medium_variant,204,2092,8.402
medium_variant,204,2093,8.194
medium_variant,204,2094,7.99
medium_variant,204,2095,7.789
medium_variant,204,2096,7.592
medium_variant,204,2097,7.398
medium_variant,204,2098,7.208
medium_variant,204,2099,7.022
