variant,country,year,rateofnaturalincreaseper1000population
estimates,275,1950,25.698
estimates,275,1951,25.669
estimates,275,1952,25.71
estimates,275,1953,25.943
estimates,275,1954,26.369
estimates,275,1955,26.986
estimates,275,1956,27.786
estimates,275,1957,28.751
estimates,275,1958,29.856
estimates,275,1959,31.051
estimates,275,1960,32.281
estimates,275,1961,33.482
estimates,275,1962,34.587
estimates,275,1963,35.539
estimates,275,1964,36.306
estimates,275,1965,36.866
estimates,275,1966,37.224
estimates,275,1967,37.429
estimates,275,1968,37.531
estimates,275,1969,37.564
estimates,275,1970,37.567
estimates,275,1971,37.576
estimates,275,1972,37.611
estimates,275,1973,37.681
estimates,275,1974,37.794
estimates,275,1975,37.931
estimates,275,1976,38.062
estimates,275,1977,38.155
estimates,275,1978,38.193
estimates,275,1979,38.184
estimates,275,1980,38.15
estimates,275,1981,38.128
estimates,275,1982,38.154
estimates,275,1983,38.254
estimates,275,1984,38.433
estimates,275,1985,38.701
estimates,275,1986,39.064
estimates,275,1987,39.488
estimates,275,1988,39.926
estimates,275,1989,40.333
estimates,275,1990,40.64
estimates,275,1991,40.781
estimates,275,1992,40.717
estimates,275,1993,40.432
estimates,275,1994,39.924
estimates,275,1995,39.202
estimates,275,1996,38.294
estimates,275,1997,37.267
estimates,275,1998,36.194
estimates,275,1999,35.126
estimates,275,2000,34.123
estimates,275,2001,33.228
estimates,275,2002,32.455
estimates,275,2003,31.806
estimates,275,2004,31.288
estimates,275,2005,30.897
estimates,275,2006,30.613
estimates,275,2007,30.396
estimates,275,2008,30.211
estimates,275,2009,30.033
estimates,275,2010,29.845
estimates,275,2011,29.638
estimates,275,2012,29.414
estimates,275,2013,29.173
estimates,275,2014,28.909
estimates,275,2015,28.614
medium_variant,275,2015,28.614
medium_variant,275,2016,28.285
medium_variant,275,2017,27.926
medium_variant,275,2018,27.541
medium_variant,275,2019,27.132
medium_variant,275,2020,26.702
medium_variant,275,2021,26.254
medium_variant,275,2022,25.792
medium_variant,275,2023,25.324
medium_variant,275,2024,24.855
medium_variant,275,2025,24.389
medium_variant,275,2026,23.929
medium_variant,275,2027,23.477
medium_variant,275,2028,23.034
medium_variant,275,2029,22.603
medium_variant,275,2030,22.187
medium_variant,275,2031,21.787
medium_variant,275,2032,21.403
medium_variant,275,2033,21.032
medium_variant,275,2034,20.676
medium_variant,275,2035,20.332
medium_variant,275,2036,20.002
medium_variant,275,2037,19.682
medium_variant,275,2038,19.371
medium_variant,275,2039,19.067
medium_variant,275,2040,18.767
medium_variant,275,2041,18.471
medium_variant,275,2042,18.177
medium_variant,275,2043,17.884
medium_variant,275,2044,17.591
medium_variant,275,2045,17.296
medium_variant,275,2046,16.999
medium_variant,275,2047,16.699
medium_variant,275,2048,16.398
medium_variant,275,2049,16.094
medium_variant,275,2050,15.788
medium_variant,275,2051,15.48
medium_variant,275,2052,15.169
medium_variant,275,2053,14.858
medium_variant,275,2054,14.547
medium_variant,275,2055,14.236
medium_variant,275,2056,13.929
medium_variant,275,2057,13.624
medium_variant,275,2058,13.324
medium_variant,275,2059,13.028
medium_variant,275,2060,12.737
medium_variant,275,2061,12.451
medium_variant,275,2062,12.169
medium_variant,275,2063,11.89
medium_variant,275,2064,11.614
medium_variant,275,2065,11.342
medium_variant,275,2066,11.074
medium_variant,275,2067,10.811
medium_variant,275,2068,10.551
medium_variant,275,2069,10.297
medium_variant,275,2070,10.046
medium_variant,275,2071,9.798
medium_variant,275,2072,9.553
medium_variant,275,2073,9.311
medium_variant,275,2074,9.071
medium_variant,275,2075,8.833
medium_variant,275,2076,8.598
medium_variant,275,2077,8.365
medium_variant,275,2078,8.136
medium_variant,275,2079,7.91
medium_variant,275,2080,7.687
medium_variant,275,2081,7.469
medium_variant,275,2082,7.254
medium_variant,275,2083,7.042
medium_variant,275,2084,6.834
medium_variant,275,2085,6.629
medium_variant,275,2086,6.426
medium_variant,275,2087,6.226
medium_variant,275,2088,6.027
medium_variant,275,2089,5.83
medium_variant,275,2090,5.635
medium_variant,275,2091,5.441
medium_variant,275,2092,5.249
medium_variant,275,2093,5.058
medium_variant,275,2094,4.869
medium_variant,275,2095,4.681
medium_variant,275,2096,4.495
medium_variant,275,2097,4.311
medium_variant,275,2098,4.128
medium_variant,275,2099,3.947
