variant,global,year,childdependencyratio2564
estimates,900,1950,118.13
estimates,900,1951,119.17
estimates,900,1952,120.034
estimates,900,1953,120.66
estimates,900,1954,121.052
estimates,900,1955,121.294
estimates,900,1956,122.348
estimates,900,1957,123.067
estimates,900,1958,123.636
estimates,900,1959,124.183
estimates,900,1960,124.748
estimates,900,1961,125.391
estimates,900,1962,126.19
estimates,900,1963,127.066
estimates,900,1964,127.943
estimates,900,1965,128.827
estimates,900,1966,130.401
estimates,900,1967,131.84
estimates,900,1968,133.114
estimates,900,1969,134.179
estimates,900,1970,134.978
estimates,900,1971,135.876
estimates,900,1972,136.392
estimates,900,1973,136.516
estimates,900,1974,136.203
estimates,900,1975,135.454
estimates,900,1976,134.766
estimates,900,1977,133.603
estimates,900,1978,132.134
estimates,900,1979,130.609
estimates,900,1980,129.177
estimates,900,1981,128.011
estimates,900,1982,126.993
estimates,900,1983,126
estimates,900,1984,124.861
estimates,900,1985,123.517
estimates,900,1986,122.544
estimates,900,1987,121.357
estimates,900,1988,120.003
estimates,900,1989,118.506
estimates,900,1990,116.862
estimates,900,1991,115.524
estimates,900,1992,113.845
estimates,900,1993,111.978
estimates,900,1994,110.104
estimates,900,1995,108.31
estimates,900,1996,106.485
estimates,900,1997,104.815
estimates,900,1998,103.239
estimates,900,1999,101.685
estimates,900,2000,100.146
estimates,900,2001,98.948
estimates,900,2002,97.785
estimates,900,2003,96.617
estimates,900,2004,95.411
estimates,900,2005,94.147
estimates,900,2006,93.035
estimates,900,2007,91.811
estimates,900,2008,90.494
estimates,900,2009,89.095
estimates,900,2010,87.637
estimates,900,2011,86.271
estimates,900,2012,84.841
estimates,900,2013,83.414
estimates,900,2014,82.064
estimates,900,2015,80.827
medium_variant,900,2015,80.827
medium_variant,900,2016,79.827
medium_variant,900,2017,78.893
medium_variant,900,2018,78.036
medium_variant,900,2019,77.268
medium_variant,900,2020,76.591
medium_variant,900,2021,76.081
medium_variant,900,2022,75.654
medium_variant,900,2023,75.27
medium_variant,900,2024,74.88
medium_variant,900,2025,74.457
medium_variant,900,2026,74.109
medium_variant,900,2027,73.731
medium_variant,900,2028,73.324
medium_variant,900,2029,72.895
medium_variant,900,2030,72.451
medium_variant,900,2031,72.111
medium_variant,900,2032,71.738
medium_variant,900,2033,71.334
medium_variant,900,2034,70.905
medium_variant,900,2035,70.454
medium_variant,900,2036,70.089
medium_variant,900,2037,69.689
medium_variant,900,2038,69.266
medium_variant,900,2039,68.834
medium_variant,900,2040,68.403
medium_variant,900,2041,68.067
medium_variant,900,2042,67.722
medium_variant,900,2043,67.372
medium_variant,900,2044,67.017
medium_variant,900,2045,66.658
medium_variant,900,2046,66.386
medium_variant,900,2047,66.103
medium_variant,900,2048,65.819
medium_variant,900,2049,65.542
medium_variant,900,2050,65.278
medium_variant,900,2051,65.109
medium_variant,900,2052,64.939
medium_variant,900,2053,64.771
medium_variant,900,2054,64.608
medium_variant,900,2055,64.452
medium_variant,900,2056,64.38
medium_variant,900,2057,64.303
medium_variant,900,2058,64.212
medium_variant,900,2059,64.092
medium_variant,900,2060,63.937
medium_variant,900,2061,63.825
medium_variant,900,2062,63.674
medium_variant,900,2063,63.486
medium_variant,900,2064,63.263
medium_variant,900,2065,63.008
medium_variant,900,2066,62.802
medium_variant,900,2067,62.557
medium_variant,900,2068,62.284
medium_variant,900,2069,61.996
medium_variant,900,2070,61.703
medium_variant,900,2071,61.476
medium_variant,900,2072,61.237
medium_variant,900,2073,60.989
medium_variant,900,2074,60.739
medium_variant,900,2075,60.49
medium_variant,900,2076,60.31
medium_variant,900,2077,60.123
medium_variant,900,2078,59.933
medium_variant,900,2079,59.745
medium_variant,900,2080,59.559
medium_variant,900,2081,59.44
medium_variant,900,2082,59.316
medium_variant,900,2083,59.186
medium_variant,900,2084,59.047
medium_variant,900,2085,58.897
medium_variant,900,2086,58.799
medium_variant,900,2087,58.684
medium_variant,900,2088,58.553
medium_variant,900,2089,58.405
medium_variant,900,2090,58.24
medium_variant,900,2091,58.118
medium_variant,900,2092,57.972
