global,variant,freq,year,totaldeaths
900,medium variant,5Yearly,2085,575242.647
900,no change,5Yearly,2085,952219.224
900,zero-migration,5Yearly,2085,577231.959
900,constant-fertility,5Yearly,2090,669743.082
900,constant-mortality,5Yearly,2090,697139.612
900,high variant,5Yearly,2090,616901.162
900,instant-replacement,5Yearly,2090,541389.449
900,low variant,5Yearly,2090,548836.058
900,medium variant,5Yearly,2090,581069.846
900,no change,5Yearly,2090,1018991.816
900,zero-migration,5Yearly,2090,582773.212
900,constant-fertility,5Yearly,2095,702265.26
900,constant-mortality,5Yearly,2095,697110.65
900,high variant,5Yearly,2095,637996.356
900,instant-replacement,5Yearly,2095,538472.736
900,low variant,5Yearly,2095,544865.123
900,medium variant,5Yearly,2095,589246.796
900,no change,5Yearly,2095,1097108.618
900,zero-migration,5Yearly,2095,590784.368
