region,variant,gender,freq,year,lifeexpectancyat80
927,estimates,female,5yearly,1950,6.46788578896793
927,estimates,male,5yearly,1950,5.60611865013557
927,estimates,female,5yearly,1955,6.69969280673304
927,estimates,male,5yearly,1955,5.65139247978031
927,estimates,female,5yearly,1960,6.90291958456564
927,estimates,male,5yearly,1960,5.66554462687772
927,estimates,female,5yearly,1965,6.97073345661498
927,estimates,male,5yearly,1965,5.58913317121631
927,estimates,female,5yearly,1970,7.21951623791131
927,estimates,male,5yearly,1970,5.68830580128941
927,estimates,female,5yearly,1975,7.83694747478727
927,estimates,male,5yearly,1975,6.06236388381894
927,estimates,female,5yearly,1980,8.22757879017769
927,estimates,male,5yearly,1980,6.28410768303944
927,estimates,female,5yearly,1985,8.38251239316303
927,estimates,male,5yearly,1985,6.47319435764938
927,estimates,female,5yearly,1990,8.87845714238002
927,estimates,male,5yearly,1990,6.91108004994252
927,estimates,female,5yearly,1995,9.17725361572391
927,estimates,male,5yearly,1995,7.24312819173017
927,estimates,female,5yearly,2000,9.58708982989802
927,estimates,male,5yearly,2000,7.74279465921864
927,estimates,female,5yearly,2005,9.9495205887942
927,estimates,male,5yearly,2005,8.29615255279687
927,estimates,female,5yearly,2010,10.246578559778
927,estimates,male,5yearly,2010,8.72581525159651
927,medium_variant,female,5yearly,2015,10.3899351008069
927,medium_variant,male,5yearly,2015,9.06752670166911
927,medium_variant,female,5yearly,2020,10.6498356580251
927,medium_variant,male,5yearly,2020,9.39958538234206
927,medium_variant,female,5yearly,2025,10.9057090927353
927,medium_variant,male,5yearly,2025,9.69031411844644
927,medium_variant,female,5yearly,2030,11.1640125356338
927,medium_variant,male,5yearly,2030,9.93074119640453
927,medium_variant,female,5yearly,2035,11.4362384304502
927,medium_variant,male,5yearly,2035,10.1756023735128
927,medium_variant,female,5yearly,2040,11.7231004721835
927,medium_variant,male,5yearly,2040,10.4359171099757
927,medium_variant,female,5yearly,2045,12.0127286374916
927,medium_variant,male,5yearly,2045,10.6581966659862
927,medium_variant,female,5yearly,2050,12.3317112972803
927,medium_variant,male,5yearly,2050,10.904670355598
927,medium_variant,female,5yearly,2055,12.6241418525933
927,medium_variant,male,5yearly,2055,11.1910409073464
927,medium_variant,female,5yearly,2060,12.9323104183873
927,medium_variant,male,5yearly,2060,11.420563536912
927,medium_variant,female,5yearly,2065,13.3089889809598
927,medium_variant,male,5yearly,2065,11.6977791087138
927,medium_variant,female,5yearly,2070,13.6528411052148
927,medium_variant,male,5yearly,2070,11.9960010224901
927,medium_variant,female,5yearly,2075,13.9823895115671
927,medium_variant,male,5yearly,2075,12.2502472864
927,medium_variant,female,5yearly,2080,14.3615767975198
927,medium_variant,male,5yearly,2080,12.5475996389771
927,medium_variant,female,5yearly,2085,14.7220847158186
927,medium_variant,male,5yearly,2085,12.8427914168468
927,medium_variant,female,5yearly,2090,15.0694320109155
927,medium_variant,male,5yearly,2090,13.1796951468595
927,medium_variant,female,5yearly,2095,15.4822338161555
927,medium_variant,male,5yearly,2095,13.5272560745305
