region,variant,gender,freq,year,lifeexpectancyat80
1517,estimates,female,5yearly,1950,5.02792582290722
1517,estimates,male,5yearly,1950,4.39834685519119
1517,estimates,female,5yearly,1955,4.99351006049308
1517,estimates,male,5yearly,1955,4.3720915589669
1517,estimates,female,5yearly,1960,5.42802011415272
1517,estimates,male,5yearly,1960,4.74580423013469
1517,estimates,female,5yearly,1965,5.84390572608191
1517,estimates,male,5yearly,1965,5.14493212313762
1517,estimates,female,5yearly,1970,5.92032505605019
1517,estimates,male,5yearly,1970,5.2095244314887
1517,estimates,female,5yearly,1975,6.10483767318241
1517,estimates,male,5yearly,1975,5.25672236111477
1517,estimates,female,5yearly,1980,6.21350626753352
1517,estimates,male,5yearly,1980,5.34218460777412
1517,estimates,female,5yearly,1985,6.39385680703608
1517,estimates,male,5yearly,1985,5.45218608044138
1517,estimates,female,5yearly,1990,6.54295039027166
1517,estimates,male,5yearly,1990,5.65508231759779
1517,estimates,female,5yearly,1995,6.69252778542271
1517,estimates,male,5yearly,1995,5.84019368328168
1517,estimates,female,5yearly,2000,6.93353968172051
1517,estimates,male,5yearly,2000,6.09869894860208
1517,estimates,female,5yearly,2005,7.2514347034419
1517,estimates,male,5yearly,2005,6.34777172201405
1517,estimates,female,5yearly,2010,7.56949600950103
1517,estimates,male,5yearly,2010,6.654623008395
1517,medium_variant,female,5yearly,2015,7.81730514899776
1517,medium_variant,male,5yearly,2015,6.85928820251432
1517,medium_variant,female,5yearly,2020,8.0661729198259
1517,medium_variant,male,5yearly,2020,7.03672843971981
1517,medium_variant,female,5yearly,2025,8.31174187776845
1517,medium_variant,male,5yearly,2025,7.21692536635774
1517,medium_variant,female,5yearly,2030,8.57886642906243
1517,medium_variant,male,5yearly,2030,7.4027536075154
1517,medium_variant,female,5yearly,2035,8.82997457974672
1517,medium_variant,male,5yearly,2035,7.60097233588044
1517,medium_variant,female,5yearly,2040,9.09905441167027
1517,medium_variant,male,5yearly,2040,7.8374704744146
1517,medium_variant,female,5yearly,2045,9.36340222745677
1517,medium_variant,male,5yearly,2045,8.09759654488144
1517,medium_variant,female,5yearly,2050,9.60521576456548
1517,medium_variant,male,5yearly,2050,8.34763111611959
1517,medium_variant,female,5yearly,2055,9.83681783208064
1517,medium_variant,male,5yearly,2055,8.58878418873497
1517,medium_variant,female,5yearly,2060,10.0706482320711
1517,medium_variant,male,5yearly,2060,8.83242756592568
1517,medium_variant,female,5yearly,2065,10.2906103476428
1517,medium_variant,male,5yearly,2065,9.0526191835295
1517,medium_variant,female,5yearly,2070,10.5019033465392
1517,medium_variant,male,5yearly,2070,9.25282211832099
1517,medium_variant,female,5yearly,2075,10.6930880628287
1517,medium_variant,male,5yearly,2075,9.41762625720449
1517,medium_variant,female,5yearly,2080,10.8715744702808
1517,medium_variant,male,5yearly,2080,9.54726204851772
1517,medium_variant,female,5yearly,2085,11.0698835730526
1517,medium_variant,male,5yearly,2085,9.71208693133989
1517,medium_variant,female,5yearly,2090,11.2656766741099
1517,medium_variant,male,5yearly,2090,9.88601347917276
1517,medium_variant,female,5yearly,2095,11.4705725254355
1517,medium_variant,male,5yearly,2095,10.0842108749116
