region,variant,gender,year,population
926,highvariant,male,2017,94359.775
926,instantreplacement,female,2017,97959.262
926,instantreplacement,male,2017,94514.025
926,lowvariant,female,2017,97409.327
926,lowvariant,male,2017,93933.645
926,mediumvariant,female,2017,97611.423
926,mediumvariant,male,2017,94146.71
926,nochange,female,2017,97503.817
926,nochange,male,2017,94010.081
926,zeromigration,female,2017,97308.857
926,zeromigration,male,2017,93820.57
926,constantfertility,female,2018,97728.329
926,constantfertility,male,2018,94346.547
926,constantmortality,female,2018,97631.642
926,constantmortality,male,2018,94203.095
926,highvariant,female,2018,98125.878
926,highvariant,male,2018,94765.261
926,instantreplacement,female,2018,98365.14
926,instantreplacement,male,2018,95018.52
926,lowvariant,female,2018,97422.694
926,lowvariant,male,2018,94023.911
926,mediumvariant,female,2018,97774.286
926,mediumvariant,male,2018,94394.587
926,nochange,female,2018,97585.95
926,nochange,male,2018,94154.841
926,zeromigration,female,2018,97258.119
926,zeromigration,male,2018,93839.501
926,constantfertility,female,2019,97856.081
926,constantfertility,male,2019,94554.805
926,constantmortality,female,2019,97712.379
926,constantmortality,male,2019,94339.607
926,highvariant,female,2019,98447.902
926,highvariant,male,2019,95178.093
926,instantreplacement,female,2019,98769.056
926,instantreplacement,male,2019,95518.124
926,lowvariant,female,2019,97403.362
926,lowvariant,male,2019,94076.881
926,mediumvariant,female,2019,97925.633
926,mediumvariant,male,2019,94627.486
926,nochange,female,2019,97643.243
926,nochange,male,2019,94266.592
926,zeromigration,female,2019,97183.879
926,zeromigration,male,2019,93833.187
926,constantfertility,female,2020,97977.033
926,constantfertility,male,2020,94749.956
926,constantmortality,female,2020,97782.38
926,constantmortality,male,2020,94455.061
926,highvariant,female,2020,98780.436
926,highvariant,male,2020,95596.01
926,instantreplacement,female,2020,99156.832
926,instantreplacement,male,2020,95994.701
926,lowvariant,female,2020,97366.334
926,lowvariant,male,2020,94105.223
926,mediumvariant,female,2020,98073.385
926,mediumvariant,male,2020,94850.616
926,nochange,female,2020,97686.63
926,nochange,male,2020,94353.939
926,zeromigration,female,2020,97111.881
926,zeromigration,male,2020,93827.001
926,constantfertility,female,2021,98092.658
926,constantfertility,male,2021,94931.827
926,constantmortality,female,2021,97843.456
926,constantmortality,male,2021,94549.671
926,highvariant,female,2021,99122.975
926,highvariant,male,2021,96016.749
926,instantreplacement,female,2021,99523.264
926,instantreplacement,male,2021,96441.018
926,lowvariant,female,2021,97314.964
926,lowvariant,male,2021,94110.744
926,mediumvariant,female,2021,98218.966
926,mediumvariant,male,2021,95063.743
926,nochange,female,2021,97717.971
926,nochange,male,2021,94417.144
926,zeromigration,female,2021,97048.805
926,zeromigration,male,2021,93826.838
926,constantfertility,female,2022,98200.441
926,constantfertility,male,2022,95098.035
926,constantmortality,female,2022,97892.605
926,constantmortality,male,2022,94620.517
926,highvariant,female,2022,99474.234
926,highvariant,male,2022,96439.227
926,instantreplacement,female,2022,99870.59
926,instantreplacement,male,2022,96859.712
926,lowvariant,female,2022,97245.613
926,lowvariant,male,2022,94089.878
926,mediumvariant,female,2022,98359.912
926,mediumvariant,male,2022,95264.539
926,nochange,female,2022,97734.208
926,nochange,male,2022,94453.233
926,zeromigration,female,2022,96987.906
926,zeromigration,male,2022,93825.298
926,constantfertility,female,2023,98300.258
926,constantfertility,male,2023,95249.837
926,constantmortality,female,2023,97929.84
926,constantmortality,male,2023,94669.204
926,highvariant,female,2023,99833.195
926,highvariant,male,2023,96863.783
926,instantreplacement,female,2023,100201.167
926,instantreplacement,male,2023,97254.698
926,lowvariant,female,2023,97158.301
926,lowvariant,male,2023,94044.051
926,mediumvariant,female,2023,98495.729
926,mediumvariant,male,2023,95453.898
926,nochange,female,2023,97735.722
926,nochange,male,2023,94464.187
926,zeromigration,female,2023,96925.552
926,zeromigration,male,2023,93818.772
926,constantfertility,female,2024,98391.152
926,constantfertility,male,2024,95388.679
926,constantmortality,female,2024,97954.219
926,constantmortality,male,2024,94697.431
926,highvariant,female,2024,100198.55
926,highvariant,male,2024,97291.517
926,instantreplacement,female,2024,100520.198
926,instantreplacement,male,2024,97633.937
926,lowvariant,female,2024,97051.518
926,lowvariant,male,2024,93974.139
926,mediumvariant,female,2024,98625.018
926,mediumvariant,male,2024,95632.811
926,nochange,female,2024,97722.002
926,nochange,male,2024,94452.177
926,zeromigration,female,2024,96853.973
926,zeromigration,male,2024,93799.771
926,constantfertility,female,2025,98472.475
926,constantfertility,male,2025,95515.672
926,constantmortality,female,2025,97965.116
926,constantmortality,male,2025,94706.641
926,highvariant,female,2025,100568.781
926,highvariant,male,2025,97722.647
926,instantreplacement,female,2025,100831.381
926,instantreplacement,male,2025,98003.166
926,lowvariant,female,2025,96924.697
926,lowvariant,male,2025,93881.36
926,mediumvariant,female,2025,98746.74
926,mediumvariant,male,2025,95802.003
926,nochange,female,2025,97692.797
926,nochange,male,2025,94419.032
926,zeromigration,female,2025,96767.58
926,zeromigration,male,2025,93762.909
926,constantfertility,female,2026,98544.638
926,constantfertility,male,2026,95631.469
926,constantmortality,female,2026,97963.136
926,constantmortality,male,2026,94697.962
926,highvariant,female,2026,100943.431
926,highvariant,male,2026,98156.915
926,instantreplacement,female,2026,101134.273
926,instantreplacement,male,2026,98362.138
926,lowvariant,female,2026,96778.751
926,lowvariant,male,2026,93766.898
926,mediumvariant,female,2026,98861.098
926,mediumvariant,male,2026,95961.914
926,nochange,female,2026,97648.918
926,nochange,male,2026,94366.102
926,zeromigration,female,2026,96666.907
926,zeromigration,male,2026,93708.607
926,constantfertility,female,2027,98608.414
926,constantfertility,male,2027,95736.184
926,constantmortality,female,2027,97949.243
926,constantmortality,male,2027,94672.074
926,highvariant,female,2027,101320.902
926,highvariant,male,2027,98591.938
926,instantreplacement,female,2027,101426.506
926,instantreplacement,male,2027,98707.647
926,lowvariant,female,2027,96616.544
926,lowvariant,male,2027,93633.079
926,mediumvariant,female,2027,98968.719
926,mediumvariant,male,2027,96112.498
926,nochange,female,2027,97591.486
926,nochange,male,2027,94294.228
926,zeromigration,female,2027,96555.256
926,zeromigration,male,2027,93639.963
926,constantfertility,female,2028,98663.808
926,constantfertility,male,2028,95829.683
926,constantmortality,female,2028,97923.455
926,constantmortality,male,2028,94629.341
926,highvariant,female,2028,101697.127
926,highvariant,male,2028,99023.272
926,instantreplacement,female,2028,101707.83
926,instantreplacement,male,2028,99039.28
926,lowvariant,female,2028,96441.615
926,lowvariant,male,2028,93483.478
926,mediumvariant,female,2028,99069.348
926,mediumvariant,male,2028,96253.344
926,nochange,female,2028,97520.774
926,nochange,male,2028,94204.049
926,zeromigration,female,2028,96432.724
926,zeromigration,male,2028,93557.105
926,constantfertility,female,2029,98710.721
926,constantfertility,male,2029,95911.541
926,constantmortality,female,2029,97885.617
926,constantmortality,male,2029,94569.862
926,highvariant,female,2029,102067.036
926,highvariant,male,2029,99445.252
926,instantreplacement,female,2029,101977.906
926,instantreplacement,male,2029,99356.358
926,lowvariant,female,2029,96258.256
926,lowvariant,male,2029,93322.309
926,mediumvariant,female,2029,99162.626
926,mediumvariant,male,2029,96383.751
926,nochange,female,2029,97436.885
926,nochange,male,2029,94095.929
926,zeromigration,female,2029,96299.512
926,zeromigration,male,2029,93460.31
926,constantfertility,female,2030,98749.009
926,constantfertility,male,2030,95981.425
926,constantmortality,female,2030,97835.561
926,constantmortality,male,2030,94493.832
926,highvariant,female,2030,102426.805
926,highvariant,male,2030,99853.651
926,instantreplacement,female,2030,102236.514
926,instantreplacement,male,2030,99658.446
926,lowvariant,female,2030,96069.591
926,lowvariant,male,2030,93152.665
926,mediumvariant,female,2030,99248.205
926,mediumvariant,male,2030,96503.156
926,nochange,female,2030,97339.868
926,nochange,male,2030,93970.301
926,zeromigration,female,2030,96155.723
926,zeromigration,male,2030,93349.779
926,constantfertility,female,2031,98778.648
926,constantfertility,male,2031,96039.508
926,constantmortality,female,2031,97773.399
926,constantmortality,male,2031,94401.97
926,highvariant,female,2031,102774.753
926,highvariant,male,2031,100246.896
926,instantreplacement,female,2031,102483.855
926,instantreplacement,male,2031,99945.963
926,lowvariant,female,2031,95877.114
926,lowvariant,male,2031,92976.331
926,mediumvariant,female,2031,99325.926
926,mediumvariant,male,2031,96611.596
926,nochange,female,2031,97229.96
926,nochange,male,2031,93828.017
926,zeromigration,female,2031,96001.31
926,zeromigration,male,2031,93225.626
926,constantfertility,female,2032,98799.506
926,constantfertility,male,2032,96085.963
926,constantmortality,female,2032,97699.065
926,constantmortality,male,2032,94294.993
926,highvariant,female,2032,103111.023
926,highvariant,male,2032,100625.451
926,instantreplacement,female,2032,102720.115
926,instantreplacement,male,2032,100219.413
926,lowvariant,female,2032,95680.366
926,lowvariant,male,2032,92793.136
926,mediumvariant,female,2032,99395.563
926,mediumvariant,male,2032,96709.144
926,nochange,female,2032,97107.195
926,nochange,male,2032,93669.892
926,zeromigration,female,2032,95836.079
926,zeromigration,male,2032,93087.787
926,constantfertility,female,2033,98811.183
926,constantfertility,male,2033,96120.431
926,constantmortality,female,2033,97611.983
926,constantmortality,male,2033,94173.074
926,highvariant,female,2033,103435.976
926,highvariant,male,2033,100989.753
926,instantreplacement,female,2033,102945.071
926,instantreplacement,male,2033,100478.616
926,lowvariant,female,2033,95477.964
926,lowvariant,male,2033,92601.692
926,mediumvariant,female,2033,99456.592
926,mediumvariant,male,2033,96795.312
926,nochange,female,2033,96971.118
926,nochange,male,2033,93496.235
926,zeromigration,female,2033,95659.829
926,zeromigration,male,2033,92936.107
926,constantfertility,female,2034,98813.16
926,constantfertility,male,2034,96142.408
926,constantmortality,female,2034,97511.372
926,constantmortality,male,2034,94036.259
926,highvariant,female,2034,103750.784
926,highvariant,male,2034,101341.076
926,instantreplacement,female,2034,103158.415
926,instantreplacement,male,2034,100723.292
926,lowvariant,female,2034,95267.512
926,lowvariant,male,2034,92399.516
926,mediumvariant,female,2034,99508.393
926,mediumvariant,male,2034,96869.489
926,nochange,female,2034,96821.046
926,nochange,male,2034,93307.199
926,zeromigration,female,2034,95472.291
926,zeromigration,male,2034,92770.366
926,constantfertility,female,2035,98804.977
926,constantfertility,male,2035,96151.566
926,constantmortality,female,2035,97396.635
926,constantmortality,male,2035,93884.778
926,highvariant,female,2035,104056.458
926,highvariant,male,2035,101680.636
926,instantreplacement,female,2035,103360.126
926,instantreplacement,male,2035,100953.563
926,lowvariant,female,2035,95047.061
926,lowvariant,male,2035,92184.721
926,mediumvariant,female,2035,99550.442
926,mediumvariant,male,2035,96931.281
926,nochange,female,2035,96656.446
926,nochange,male,2035,93103.078
926,zeromigration,female,2035,95273.241
926,zeromigration,male,2035,92590.478
926,constantfertility,female,2036,98786.431
926,constantfertility,male,2036,96147.908
926,constantmortality,female,2036,97267.858
