region,variant,gender,year,population
923,estimates,female,1950,121281.95
923,estimates,male,1950,98888.558
923,estimates,female,1951,122749.528
923,estimates,male,1951,100576.055
923,estimates,female,1952,124310.651
923,estimates,male,1952,102358.736
923,estimates,female,1953,125926.352
923,estimates,male,1953,104198.689
923,estimates,female,1954,127564.243
923,estimates,male,1954,106063.752
923,estimates,female,1955,129198.39
923,estimates,male,1955,107927.512
923,estimates,female,1956,130809.719
923,estimates,male,1956,109769.571
923,estimates,female,1957,132385.619
923,estimates,male,1957,111575.279
923,estimates,female,1958,133919.421
923,estimates,male,1958,113335.208
923,estimates,female,1959,135409.136
923,estimates,male,1959,115044.268
923,estimates,female,1960,136854.048
923,estimates,male,1960,116698.963
923,estimates,female,1961,138251.118
923,estimates,male,1961,118294.371
923,estimates,female,1962,139591.75
923,estimates,male,1962,119821.827
923,estimates,female,1963,140860.44
923,estimates,male,1963,121267.47
923,estimates,female,1964,142038.661
923,estimates,male,1964,122615.754
923,estimates,female,1965,143116.188
923,estimates,male,1965,123858.25
923,estimates,female,1966,144084.273
923,estimates,male,1966,124988.453
923,estimates,female,1967,144954.493
923,estimates,male,1967,126016.5
923,estimates,female,1968,145762.726
923,estimates,male,1968,126972.113
923,estimates,female,1969,146558.209
923,estimates,male,1969,127896.125
923,estimates,female,1970,147377.412
923,estimates,male,1970,128819.873
923,estimates,female,1971,148233.444
923,estimates,male,1971,129753.003
923,estimates,female,1972,149119.214
923,estimates,male,1972,130693.073
923,estimates,female,1973,150025.78
923,estimates,male,1973,131644.24
923,estimates,female,1974,150936.093
923,estimates,male,1974,132607.429
923,estimates,female,1975,151837.264
923,estimates,male,1975,133582.536
923,estimates,female,1976,152726.941
923,estimates,male,1976,134573.704
923,estimates,female,1977,153609.265
923,estimates,male,1977,135581.109
923,estimates,female,1978,154484.279
923,estimates,male,1978,136594.435
923,estimates,female,1979,155353.027
923,estimates,male,1979,137598.956
923,estimates,female,1980,156214.665
923,estimates,male,1980,138583.214
923,estimates,female,1981,157063.628
923,estimates,male,1981,139535.225
923,estimates,female,1982,157893.128
923,estimates,male,1982,140453.479
923,estimates,female,1983,158699.146
923,estimates,male,1983,141348.451
923,estimates,female,1984,159477.35
923,estimates,male,1984,142236.544
923,estimates,female,1985,160221.194
923,estimates,male,1985,143124.414
923,estimates,female,1986,160929.939
923,estimates,male,1986,144017.251
923,estimates,female,1987,161593.004
923,estimates,male,1987,144894.804
923,estimates,female,1988,162182.357
923,estimates,male,1988,145707.544
923,estimates,female,1989,162662.456
923,estimates,male,1989,146389.845
923,estimates,female,1990,163007.701
923,estimates,male,1990,146894.239
923,estimates,female,1991,163210.84
923,estimates,male,1991,147205.626
923,estimates,female,1992,163278.095
923,estimates,male,1992,147335.476
923,estimates,female,1993,163215.174
923,estimates,male,1993,147297.102
923,estimates,female,1994,163033.621
923,estimates,male,1994,147115.046
923,estimates,female,1995,162745.568
923,estimates,male,1995,146811.048
923,estimates,female,1996,162355.599
923,estimates,male,1996,146392.56
923,estimates,female,1997,161872.516
923,estimates,male,1997,145865.249
923,estimates,female,1998,161319.275
923,estimates,male,1998,145249.255
923,estimates,female,1999,160724.351
923,estimates,male,1999,144568.329
923,estimates,female,2000,160112.49
923,estimates,male,2000,143845.059
923,estimates,female,2001,159491.604
923,estimates,male,2001,143088.517
923,estimates,female,2002,158870.755
923,estimates,male,2002,142313.169
923,estimates,female,2003,158276.808
923,estimates,male,2003,141552.892
923,estimates,female,2004,157740.692
923,estimates,male,2004,140847.664
923,estimates,female,2005,157283.804
923,estimates,male,2005,140226.885
923,estimates,female,2006,156918.44
923,estimates,male,2006,139703.286
923,estimates,female,2007,156639.259
923,estimates,male,2007,139274.208
923,estimates,female,2008,156426.611
923,estimates,male,2008,138932.739
923,estimates,female,2009,156250.266
923,estimates,male,2009,138664.149
923,estimates,female,2010,156086.248
923,estimates,male,2010,138454.467
923,estimates,female,2011,155928.707
923,estimates,male,2011,138304.339
923,estimates,female,2012,155778.723
923,estimates,male,2012,138209.214
923,estimates,female,2013,155626.842
923,estimates,male,2013,138142.14
923,estimates,female,2014,155463.582
923,estimates,male,2014,138068.644
923,constant_fertility,female,2015,155281.127
923,constant_fertility,male,2015,137962.578
923,constant_mortality,female,2015,155281.127
923,constant_mortality,male,2015,137962.578
923,estimates,female,2015,155281.127
923,estimates,male,2015,137962.578
923,high_variant,female,2015,155281.127
923,high_variant,male,2015,137962.578
923,instant_replacement,female,2015,155281.127
923,instant_replacement,male,2015,137962.578
923,low_variant,female,2015,155281.127
923,low_variant,male,2015,137962.578
923,medium_variant,female,2015,155281.127
923,medium_variant,male,2015,137962.578
923,momentum,female,2015,155281.127
923,momentum,male,2015,137962.578
923,no_change,female,2015,155281.127
923,no_change,male,2015,137962.578
923,zero_migration,female,2015,155281.127
923,zero_migration,male,2015,137962.578
923,constant_fertility,female,2016,155048.675
923,constant_fertility,male,2016,137773.172
923,constant_mortality,female,2016,154999.129
923,constant_mortality,male,2016,137733.374
923,high_variant,female,2016,155240.416
923,high_variant,male,2016,137970.959
923,instant_replacement,female,2016,155388.749
923,instant_replacement,male,2016,138144.479
923,low_variant,female,2016,154901.117
923,low_variant,male,2016,137613.062
923,medium_variant,female,2016,155073.445
923,medium_variant,male,2016,137811.786
923,momentum,female,2016,155293.576
923,momentum,male,2016,138050.103
923,no_change,female,2016,154976.533
923,no_change,male,2016,137713.993
923,zero_migration,female,2016,155007.341
923,zero_migration,male,2016,137716.992
923,constant_fertility,female,2017,154753.027
923,constant_fertility,male,2017,137516.666
923,constant_mortality,female,2017,154675.599
923,constant_mortality,male,2017,137459.008
923,high_variant,female,2017,155217.856
923,high_variant,male,2017,137998.13
923,instant_replacement,female,2017,155597.505
923,instant_replacement,male,2017,138419.127
923,low_variant,female,2017,154450.704
923,low_variant,male,2017,137189.03
923,medium_variant,female,2017,154837.326
923,medium_variant,male,2017,137617.071
923,momentum,female,2017,155366.347
923,momentum,male,2017,138189.705
923,no_change,female,2017,154593.808
923,no_change,male,2017,137381.503
923,zero_migration,female,2017,154711.592
923,zero_migration,male,2017,137449.019
923,constant_fertility,female,2018,154400.707
923,constant_fertility,male,2018,137199.837
923,constant_mortality,female,2018,154309.745
923,constant_mortality,male,2018,137138.865
923,high_variant,female,2018,155204.139
923,high_variant,male,2018,138034.195
923,instant_replacement,female,2018,155858.892
923,instant_replacement,male,2018,138739.206
923,low_variant,female,2018,153936.937
923,low_variant,male,2018,136697.751
923,medium_variant,female,2018,154571.976
923,medium_variant,male,2018,137381.357
923,momentum,female,2018,155460.493
923,momentum,male,2018,138343.45
923,no_change,female,2018,154139.642
923,no_change,male,2018,136972.448
923,zero_migration,female,2018,154392.395
923,zero_migration,male,2018,137156.968
923,constant_fertility,female,2019,153997.564
923,constant_fertility,male,2019,136828.73
923,constant_mortality,female,2019,153901.07
923,constant_mortality,male,2019,136772.592
923,high_variant,female,2019,155191.203
923,high_variant,male,2019,138070.591
923,instant_replacement,female,2019,156104.876
923,instant_replacement,male,2019,139040.308
923,low_variant,female,2019,153365.801
923,low_variant,male,2019,136145.51
923,medium_variant,female,2019,154278.467
923,medium_variant,male,2019,137113.242
923,momentum,female,2019,155522.659
923,momentum,male,2019,138461.442
923,no_change,female,2019,153620.254
923,no_change,male,2019,136493.506
923,zero_migration,female,2019,154048.357
923,zero_migration,male,2019,136839.162
923,constant_fertility,female,2020,153548.744
923,constant_fertility,male,2020,136408.814
923,constant_mortality,female,2020,153449.43
923,constant_mortality,male,2020,136360.013
923,high_variant,female,2020,155172.556
923,high_variant,male,2020,138100.346
923,instant_replacement,female,2020,156284.792
923,instant_replacement,male,2020,139274.463
923,low_variant,female,2020,152742.323
923,low_variant,male,2020,135537.491
923,medium_variant,female,2020,153957.45
923,medium_variant,male,2020,136818.914
923,momentum,female,2020,155513.05
923,momentum,male,2020,138506.302
923,no_change,female,2020,153041.336
923,no_change,male,2020,135950.694
923,zero_migration,female,2020,153678.196
923,zero_migration,male,2020,136494.093
923,constant_fertility,female,2021,153058.857
923,constant_fertility,male,2021,135944.819
923,constant_mortality,female,2021,152955.145
923,constant_mortality,male,2021,135901.145
923,high_variant,female,2021,155143.168
923,high_variant,male,2021,138118.121
923,instant_replacement,female,2021,156381.885
923,instant_replacement,male,2021,139424.278
923,low_variant,female,2021,152070.501
923,low_variant,male,2021,134877.834
923,medium_variant,female,2021,153607.65
923,medium_variant,male,2021,136497.303
923,momentum,female,2021,155417.763
923,momentum,male,2021,138463.508
923,no_change,female,2021,152408.269
923,no_change,male,2021,135349.364
923,zero_migration,female,2021,153280.626
923,zero_migration,male,2021,136120.224
923,constant_fertility,female,2022,152531.759
923,constant_fertility,male,2022,135440.829
923,constant_mortality,female,2022,152418.766
923,constant_mortality,male,2022,135396.303
923,high_variant,female,2022,155099.365
923,high_variant,male,2022,138120.073
923,instant_replacement,female,2022,156405.428
923,instant_replacement,male,2022,139497.141
923,low_variant,female,2022,151353.257
923,low_variant,male,2022,134169.621
923,medium_variant,female,2022,153227.251
