region,variant,gender,year,population
954,estimates,female,1950,66.317
954,estimates,male,1950,88.779
954,estimates,female,1951,68.164
954,estimates,male,1951,89.982
954,estimates,female,1952,70.077
954,estimates,male,1952,91.142
954,estimates,female,1953,72.079
954,estimates,male,1953,92.254
954,estimates,female,1954,74.176
954,estimates,male,1954,93.376
954,estimates,female,1955,76.421
954,estimates,male,1955,94.499
954,estimates,female,1956,78.757
954,estimates,male,1956,95.734
954,estimates,female,1957,81.233
954,estimates,male,1957,97.031
954,estimates,female,1958,83.779
954,estimates,male,1958,98.536
954,estimates,female,1959,86.396
954,estimates,male,1959,100.25
954,estimates,female,1960,89.031
954,estimates,male,1960,102.241
954,estimates,female,1961,91.703
954,estimates,male,1961,104.516
954,estimates,female,1962,94.39
954,estimates,male,1962,107.06
954,estimates,female,1963,97.111
954,estimates,male,1963,109.806
954,estimates,female,1964,99.925
954,estimates,male,1964,112.694
954,estimates,female,1965,102.813
954,estimates,male,1965,115.624
954,estimates,female,1966,105.819
954,estimates,male,1966,118.6
954,estimates,female,1967,108.936
954,estimates,male,1967,121.62
954,estimates,female,1968,112.06
954,estimates,male,1968,124.594
954,estimates,female,1969,115.075
954,estimates,male,1969,127.452
954,estimates,female,1970,117.909
954,estimates,male,1970,130.08
954,estimates,female,1971,120.528
954,estimates,male,1971,132.476
954,estimates,female,1972,123.001
954,estimates,male,1972,134.667
954,estimates,female,1973,125.421
954,estimates,male,1973,136.778
954,estimates,female,1974,127.922
954,estimates,male,1974,138.855
954,estimates,female,1975,130.684
954,estimates,male,1975,141.033
954,estimates,female,1976,133.672
954,estimates,male,1976,143.291
954,estimates,female,1977,136.901
954,estimates,male,1977,145.682
954,estimates,female,1978,140.388
954,estimates,male,1978,148.361
954,estimates,female,1979,144.151
954,estimates,male,1979,151.534
954,estimates,female,1980,148.217
954,estimates,male,1980,155.406
954,estimates,female,1981,152.572
954,estimates,male,1981,159.975
954,estimates,female,1982,157.221
954,estimates,male,1982,165.214
954,estimates,female,1983,162.108
954,estimates,male,1983,170.977
954,estimates,female,1984,167.177
954,estimates,male,1984,177.028
954,estimates,female,1985,172.338
954,estimates,male,1985,183.208
954,estimates,female,1986,177.568
954,estimates,male,1986,189.472
954,estimates,female,1987,182.846
954,estimates,male,1987,195.771
954,estimates,female,1988,188.205
954,estimates,male,1988,202.024
954,estimates,female,1989,193.714
954,estimates,male,1989,208.101
954,estimates,female,1990,199.365
954,estimates,male,1990,213.923
954,estimates,female,1991,205.13
954,estimates,male,1991,219.455
954,estimates,female,1992,210.968
954,estimates,male,1992,224.646
954,estimates,female,1993,216.765
954,estimates,male,1993,229.42
954,estimates,female,1994,222.401
954,estimates,male,1994,233.743
954,estimates,female,1995,227.808
954,estimates,male,1995,237.569
954,estimates,female,1996,232.933
954,estimates,male,1996,240.854
954,estimates,female,1997,237.773
954,estimates,male,1997,243.638
954,estimates,female,1998,242.095
954,estimates,male,1998,245.94
954,estimates,female,1999,245.682
954,estimates,male,1999,247.816
954,estimates,female,2000,248.308
954,estimates,male,2000,249.315
954,estimates,female,2001,249.956
954,estimates,male,2001,250.499
954,estimates,female,2002,250.721
954,estimates,male,2002,251.349
954,estimates,female,2003,250.823
954,estimates,male,2003,251.96
954,estimates,female,2004,250.558
954,estimates,male,2004,252.331
954,estimates,female,2005,250.175
954,estimates,male,2005,252.564
954,estimates,female,2006,249.777
954,estimates,male,2006,252.649
