region,variant,gender,year,population
1517,estimates,female,1950,859907.292
1517,estimates,male,1950,874573.454
1517,estimates,female,1951,878592.042
1517,estimates,male,1951,893802.314
1517,estimates,female,1952,896587.632
1517,estimates,male,1952,912301.872
1517,estimates,female,1953,914270.181
1517,estimates,male,1953,930460.206
1517,estimates,female,1954,931954.635
1517,estimates,male,1954,948603.786
1517,estimates,female,1955,949894.423
1517,estimates,male,1955,966997.991
1517,estimates,female,1956,968279.888
1517,estimates,male,1956,985844.454
1517,estimates,female,1957,987239.949
1517,estimates,male,1957,1005283.464
1517,estimates,female,1958,1006848.582
1517,estimates,male,1958,1025400.21
1517,estimates,female,1959,1027135.645
1517,estimates,male,1959,1046234.761
1517,estimates,female,1960,1048118.181
1517,estimates,male,1960,1067813.024
1517,estimates,female,1961,1069835.006
1517,estimates,male,1961,1090179.438
1517,estimates,female,1962,1092375.713
1517,estimates,male,1962,1113426.035
1517,estimates,female,1963,1115893.81
1517,estimates,male,1963,1137704.417
1517,estimates,female,1964,1140570.8
1517,estimates,male,1964,1163190.919
1517,estimates,female,1965,1166509.522
1517,estimates,male,1965,1189984.28
1517,estimates,female,1966,1193775.504
1517,estimates,male,1966,1218148.316
1517,estimates,female,1967,1222263.062
1517,estimates,male,1967,1247576.243
1517,estimates,female,1968,1251684.953
1517,estimates,male,1968,1277976.21
1517,estimates,female,1969,1281643.785
1517,estimates,male,1969,1308945.02
1517,estimates,female,1970,1311831.936
1517,estimates,male,1970,1340169.352
1517,estimates,female,1971,1342183.234
1517,estimates,male,1971,1371580.192
1517,estimates,female,1972,1372720.184
1517,estimates,male,1972,1403195.047
1517,estimates,female,1973,1403338.601
1517,estimates,male,1973,1434899.206
1517,estimates,female,1974,1433942.088
1517,estimates,male,1974,1466583.872
1517,estimates,female,1975,1464483.611
1517,estimates,male,1975,1498192.239
1517,estimates,female,1976,1494883.281
1517,estimates,male,1976,1529647.527
1517,estimates,female,1977,1525198.42
1517,estimates,male,1977,1561007.558
1517,estimates,female,1978,1555696.575
1517,estimates,male,1978,1592525.217
1517,estimates,female,1979,1586749.173
1517,estimates,male,1979,1624553.439
1517,estimates,female,1980,1618629.816
1517,estimates,male,1980,1657357.921
1517,estimates,female,1981,1651338.54
1517,estimates,male,1981,1690918.967
1517,estimates,female,1982,1684798.244
1517,estimates,male,1982,1725174.673
1517,estimates,female,1983,1719097.042
1517,estimates,male,1983,1760282.201
1517,estimates,female,1984,1754323.402
1517,estimates,male,1984,1796423.227
1517,estimates,female,1985,1790479.176
1517,estimates,male,1985,1833661.298
1517,estimates,female,1986,1827640.96
1517,estimates,male,1986,1872103.252
1517,estimates,female,1987,1865622.565
1517,estimates,male,1987,1911528.184
1517,estimates,female,1988,1903832.612
1517,estimates,male,1988,1951261.435
1517,estimates,female,1989,1941485.786
1517,estimates,male,1989,1990398.693
1517,estimates,female,1990,1978005.719
1517,estimates,male,1990,2028276.573
1517,estimates,female,1991,2013167.465
1517,estimates,male,1991,2064650.956
1517,estimates,female,1992,2047076.774
1517,estimates,male,1992,2099652.256
1517,estimates,female,1993,2079902.759
1517,estimates,male,1993,2133461.177
1517,estimates,female,1994,2111958.583
1517,estimates,male,1994,2166416.987
1517,estimates,female,1995,2143488.962
1517,estimates,male,1995,2198789.367
1517,estimates,female,1996,2174525.499
1517,estimates,male,1996,2230595.694
1517,estimates,female,1997,2205020.057
1517,estimates,male,1997,2261793.977
1517,estimates,female,1998,2235055.721
1517,estimates,male,1998,2292539.212
1517,estimates,female,1999,2264724.413
1517,estimates,male,1999,2323017.186
1517,estimates,female,2000,2294112.509
1517,estimates,male,2000,2353377.189
1517,estimates,female,2001,2323272.562
1517,estimates,male,2001,2383706.064
1517,estimates,female,2002,2352266.096
1517,estimates,male,2002,2414035.496
1517,estimates,female,2003,2381197.849
1517,estimates,male,2003,2444388.724
1517,estimates,female,2004,2410184.048
1517,estimates,male,2004,2474764.64
1517,estimates,female,2005,2439316.232
1517,estimates,male,2005,2505169.572
1517,estimates,female,2006,2468622.181
1517,estimates,male,2006,2535598.501
1517,estimates,female,2007,2498113.33
1517,estimates,male,2007,2566086.576
1517,estimates,female,2008,2527834.09
1517,estimates,male,2008,2596718.291
1517,estimates,female,2009,2557825.292
1517,estimates,male,2009,2627598.963
1517,estimates,female,2010,2588098.142
1517,estimates,male,2010,2658783.439
1517,estimates,female,2011,2618674.147
1517,estimates,male,2011,2690300.254
1517,estimates,female,2012,2649497.903
1517,estimates,male,2012,2722067.005
1517,estimates,female,2013,2680402.089
1517,estimates,male,2013,2753885.43
1517,estimates,female,2014,2711161.821
1517,estimates,male,2014,2785486.842
1517,constant_fertility,female,2015,2741602.104
1517,constant_fertility,male,2015,2816661.811
1517,constant_mortality,female,2015,2741602.104
1517,constant_mortality,male,2015,2816661.811
1517,estimates,female,2015,2741602.104
1517,estimates,male,2015,2816661.811
1517,high_variant,female,2015,2741602.104
1517,high_variant,male,2015,2816661.811
1517,instant_replacement,female,2015,2741602.104
1517,instant_replacement,male,2015,2816661.811
1517,low_variant,female,2015,2741602.104
1517,low_variant,male,2015,2816661.811
1517,medium_variant,female,2015,2741602.104
1517,medium_variant,male,2015,2816661.811
1517,momentum,female,2015,2741602.104
1517,momentum,male,2015,2816661.811
1517,no_change,female,2015,2741602.104
1517,no_change,male,2015,2816661.811
1517,zero_migration,female,2015,2741602.104
1517,zero_migration,male,2015,2816661.811
1517,constant_fertility,female,2016,2773018.099
1517,constant_fertility,male,2016,2848912.597
1517,constant_mortality,female,2016,2770698.609
1517,constant_mortality,male,2016,2846426.035
1517,high_variant,female,2016,2774941.854
1517,high_variant,male,2016,2850960.799
1517,instant_replacement,female,2016,2769767.312
1517,instant_replacement,male,2016,2845529.269
1517,low_variant,female,2016,2768260.608
1517,low_variant,male,2016,2843674.385
1517,medium_variant,female,2016,2771648.119
1517,medium_variant,male,2016,2847327.005
1517,momentum,female,2016,2770083.671
1517,momentum,male,2016,2845901.062
1517,no_change,female,2016,2772091.439
1517,no_change,male,2016,2847994.516
1517,zero_migration,female,2016,2773015.996
1517,zero_migration,male,2016,2848761.402
1517,constant_fertility,female,2017,2804414.923
1517,constant_fertility,male,2017,2881035.922
1517,constant_mortality,female,2017,2799152.0
1517,constant_mortality,male,2017,2875385.181
1517,high_variant,female,2017,2808999.115
1517,high_variant,male,2017,2885919.051
1517,instant_replacement,female,2017,2796767.214
1517,instant_replacement,male,2017,2873153.332
1517,low_variant,female,2017,2793470.738
1517,low_variant,male,2017,2869012.945
1517,medium_variant,female,2017,2801297.428
1517,medium_variant,male,2017,2877482.618
1517,momentum,female,2017,2797510.953
1517,momentum,male,2017,2874030.592
1517,no_change,female,2017,2802291.667
1517,no_change,male,2017,2878909.952
1517,zero_migration,female,2017,2804004.761
1517,zero_migration,male,2017,2880319.48
1517,constant_fertility,female,2018,2835791.473
1517,constant_fertility,male,2018,2913036.666
1517,constant_mortality,female,2018,2826948.366
1517,constant_mortality,male,2018,2903532.65
1517,high_variant,female,2018,2843571.026
1517,high_variant,male,2018,2921322.767
1517,instant_replacement,female,2018,2822886.126
1517,instant_replacement,male,2018,2899800.649
1517,low_variant,female,2018,2817405.631
1517,low_variant,male,2018,2892869.747
1517,medium_variant,female,2018,2830535.164
1517,medium_variant,male,2018,2907106.571
1517,momentum,female,2018,2824062.11
1517,momentum,male,2018,2901206.505
