continent,variant,freq,year,under60mortalityper1000livebirth
904,estimates,5yearly,1950,473.537603898941
904,estimates,5yearly,1955,431.153232591042
904,estimates,5yearly,1960,391.970604463236
904,estimates,5yearly,1965,360.2570041564
904,estimates,5yearly,1970,328.968692248951
904,estimates,5yearly,1975,305.158051297606
904,estimates,5yearly,1980,281.016707832717
904,estimates,5yearly,1985,257.751948528422
904,estimates,5yearly,1990,235.545501857257
904,estimates,5yearly,1995,211.863539190331
904,estimates,5yearly,2000,191.553195597199
904,estimates,5yearly,2005,175.759897965469
904,estimates,5yearly,2010,163.080763972847
904,medium_variant,5yearly,2015,151.656598578532
904,medium_variant,5yearly,2020,139.994927224032
904,medium_variant,5yearly,2025,129.028432036892
904,medium_variant,5yearly,2030,118.598831557618
904,medium_variant,5yearly,2035,108.740858907812
904,medium_variant,5yearly,2040,99.3431304343857
904,medium_variant,5yearly,2045,90.418068323807
904,medium_variant,5yearly,2050,82.3555814994736
904,medium_variant,5yearly,2055,75.1708254591526
904,medium_variant,5yearly,2060,68.7399582158963
904,medium_variant,5yearly,2065,62.9682662109192
904,medium_variant,5yearly,2070,57.7425119036913
904,medium_variant,5yearly,2075,53.0152047549605
904,medium_variant,5yearly,2080,48.6233910128814
904,medium_variant,5yearly,2085,44.5487445817982
904,medium_variant,5yearly,2090,40.734990965495
904,medium_variant,5yearly,2095,37.1819614421841
904,estimates,5yearly,Regi,LATIN AMERICA AND THE CARIBBEAN
904,medium_variant,5yearly,Regi,LATIN AMERICA AND THE CARIBBEAN
