continent,variant,freq,year,under60mortalityper1000livebirth
903,estimates,5yearly,1950,660.16816949184
903,estimates,5yearly,1955,627.868140041002
903,estimates,5yearly,1960,595.847001612862
903,estimates,5yearly,1965,566.831840163406
903,estimates,5yearly,1970,537.747329895083
903,estimates,5yearly,1975,507.794150637398
903,estimates,5yearly,1980,482.987531555678
903,estimates,5yearly,1985,466.480143132023
903,estimates,5yearly,1990,472.574901240611
903,estimates,5yearly,1995,476.234891575231
903,estimates,5yearly,2000,467.3235349393
903,estimates,5yearly,2005,413.938691465836
903,estimates,5yearly,2010,356.84685958857
903,medium_variant,5yearly,2015,320.524247576986
903,medium_variant,5yearly,2020,295.921170322269
903,medium_variant,5yearly,2025,271.942720241889
903,medium_variant,5yearly,2030,249.118665346235
903,medium_variant,5yearly,2035,228.377274767198
903,medium_variant,5yearly,2040,210.324511262086
903,medium_variant,5yearly,2045,194.596364705401
903,medium_variant,5yearly,2050,180.583414009962
903,medium_variant,5yearly,2055,168.145934857873
903,medium_variant,5yearly,2060,157.028275441476
903,medium_variant,5yearly,2065,147.091303156987
903,medium_variant,5yearly,2070,138.365191649911
903,medium_variant,5yearly,2075,130.527414062893
903,medium_variant,5yearly,2080,123.389760385927
903,medium_variant,5yearly,2085,116.539878573686
903,medium_variant,5yearly,2090,110.044827860553
903,medium_variant,5yearly,2095,103.965408493821
903,estimates,5yearly,Regi,AFRICA
903,medium_variant,5yearly,Regi,AFRICA
