variant,region,year,populationnaturalchange
estimates,948,1950,22932.104
estimates,948,1951,23603.507
estimates,948,1952,24939.704
estimates,948,1953,26262.586
estimates,948,1954,27572.135
estimates,948,1955,28868.244
estimates,948,1956,30150.513
estimates,948,1957,31418.546
estimates,948,1958,32671.468
estimates,948,1959,33907.734
estimates,948,1960,35125.687
estimates,948,1961,36323.934
estimates,948,1962,37501.595
estimates,948,1963,38659.083
estimates,948,1964,39798.379
estimates,948,1965,40920.591
estimates,948,1966,42026.866
estimates,948,1967,43121.466
estimates,948,1968,44210.372
estimates,948,1969,45299.817
estimates,948,1970,46395.337
estimates,948,1971,47501.132
estimates,948,1972,48620.88
estimates,948,1973,49759.23
estimates,948,1974,50921.705
estimates,948,1975,52125.25
estimates,948,1976,53388.781
estimates,948,1977,54711.428
estimates,948,1978,56079.398
estimates,948,1979,57470.753
estimates,948,1980,58853.305
estimates,948,1981,60190.393
estimates,948,1982,61446.741
estimates,948,1983,62592.323
estimates,948,1984,63607.126
estimates,948,1985,64475.491
estimates,948,1986,65193.565
estimates,948,1987,65783.353
estimates,948,1988,66269.463
estimates,948,1989,66667.818
estimates,948,1990,66993.316
estimates,948,1991,67259.147
estimates,948,1992,67480.602
estimates,948,1993,67675.823
estimates,948,1994,67863.613
estimates,948,1995,68057.69
estimates,948,1996,68264.968
estimates,948,1997,68486.87
estimates,948,1998,68728.583
estimates,948,1999,69001.275
estimates,948,2000,69321.976
estimates,948,2001,69706.665
estimates,948,2002,70156.883
estimates,948,2003,70667.139
estimates,948,2004,71228.508
estimates,948,2005,71830.53
estimates,948,2006,72459.916
estimates,948,2007,73093.846
estimates,948,2008,73706.906
estimates,948,2009,74276.883
estimates,948,2010,74781.139
estimates,948,2011,75202.585
estimates,948,2012,75537.999
estimates,948,2013,75786.342
estimates,948,2014,75944.698
estimates,948,2015,76013.156
medium_variant,948,2015,76013.156
medium_variant,948,2016,75996.71
medium_variant,948,2017,75909.82
medium_variant,948,2018,75767.471
medium_variant,948,2019,75579.976
medium_variant,948,2020,75356.131
medium_variant,948,2021,75101.884
medium_variant,948,2022,74819.766
medium_variant,948,2023,74513.435
medium_variant,948,2024,74188.619
medium_variant,948,2025,73850.043
medium_variant,948,2026,73500.161
medium_variant,948,2027,73137.652
medium_variant,948,2028,72761.245
medium_variant,948,2029,72371.298
medium_variant,948,2030,71967.271
medium_variant,948,2031,71547.79
medium_variant,948,2032,71110.832
medium_variant,948,2033,70654.864
medium_variant,948,2034,70179.344
medium_variant,948,2035,69684.984
medium_variant,948,2036,69173.268
medium_variant,948,2037,68645.136
medium_variant,948,2038,68100.506
medium_variant,948,2039,67538.137
medium_variant,948,2040,66956.002
medium_variant,948,2041,66351.717
medium_variant,948,2042,65722.833
medium_variant,948,2043,65067.287
medium_variant,948,2044,64383.827
medium_variant,948,2045,63671.22
medium_variant,948,2046,62928.964
medium_variant,948,2047,62158.534
medium_variant,948,2048,61361.877
medium_variant,948,2049,60540.51
medium_variant,948,2050,59694.794
medium_variant,948,2051,58824.654
medium_variant,948,2052,57931.785
medium_variant,948,2053,57019.383
medium_variant,948,2054,56091.52
medium_variant,948,2055,55152.582
medium_variant,948,2056,54206.664
medium_variant,948,2057,53256.923
medium_variant,948,2058,52306.453
medium_variant,948,2059,51358.049
medium_variant,948,2060,50413.218
medium_variant,948,2061,49471.8
medium_variant,948,2062,48531.938
medium_variant,948,2063,47592.508
medium_variant,948,2064,46654.024
medium_variant,948,2065,45717.141
medium_variant,948,2066,44782.518
medium_variant,948,2067,43850.855
medium_variant,948,2068,42922.698
medium_variant,948,2069,41998.502
medium_variant,948,2070,41078.201
medium_variant,948,2071,40161.462
medium_variant,948,2072,39247.916
medium_variant,948,2073,38337.574
medium_variant,948,2074,37430.882
medium_variant,948,2075,36528.421
medium_variant,948,2076,35630.902
medium_variant,948,2077,34739.023
medium_variant,948,2078,33853.468
medium_variant,948,2079,32974.8
medium_variant,948,2080,32103.694
medium_variant,948,2081,31240.622
medium_variant,948,2082,30385.322
medium_variant,948,2083,29537.237
medium_variant,948,2084,28695.797
medium_variant,948,2085,27859.677
medium_variant,948,2086,27027.336
medium_variant,948,2087,26197.876
medium_variant,948,2088,25371.087
medium_variant,948,2089,24547.332
medium_variant,948,2090,23727.683
medium_variant,948,2091,22913.633
medium_variant,948,2092,22106.634
medium_variant,948,2093,21308.075
medium_variant,948,2094,20519.102
medium_variant,948,2095,19740.414
medium_variant,948,2096,18972.396
medium_variant,948,2097,18215.261
medium_variant,948,2098,17469.083
medium_variant,948,2099,16733.841
