variant,region,year,populationnaturalchange
estimates,928,1950,39.819
estimates,928,1951,41.228
estimates,928,1952,43.99
estimates,928,1953,46.632
estimates,928,1954,49.155
estimates,928,1955,51.563
estimates,928,1956,53.857
estimates,928,1957,56.047
estimates,928,1958,58.149
estimates,928,1959,60.191
estimates,928,1960,62.202
estimates,928,1961,64.222
estimates,928,1962,66.296
estimates,928,1963,68.47
estimates,928,1964,70.781
estimates,928,1965,73.257
estimates,928,1966,75.92
estimates,928,1967,78.755
estimates,928,1968,81.752
estimates,928,1969,84.897
estimates,928,1970,88.194
estimates,928,1971,91.645
estimates,928,1972,95.224
estimates,928,1973,98.891
estimates,928,1974,102.603
estimates,928,1975,106.335
estimates,928,1976,110.069
estimates,928,1977,113.773
estimates,928,1978,117.384
estimates,928,1979,120.835
estimates,928,1980,123.993
estimates,928,1981,126.714
estimates,928,1982,128.967
estimates,928,1983,130.782
estimates,928,1984,132.236
estimates,928,1985,133.466
estimates,928,1986,134.655
estimates,928,1987,135.996
estimates,928,1988,137.655
estimates,928,1989,139.727
estimates,928,1990,142.289
estimates,928,1991,145.371
estimates,928,1992,148.859
estimates,928,1993,152.618
estimates,928,1994,156.552
estimates,928,1995,160.532
estimates,928,1996,164.431
estimates,928,1997,168.158
estimates,928,1998,171.635
estimates,928,1999,174.816
estimates,928,2000,177.704
estimates,928,2001,180.355
estimates,928,2002,182.859
estimates,928,2003,185.267
estimates,928,2004,187.572
estimates,928,2005,189.72
estimates,928,2006,191.63
estimates,928,2007,193.234
estimates,928,2008,194.509
estimates,928,2009,195.477
estimates,928,2010,196.19
estimates,928,2011,196.722
estimates,928,2012,197.171
estimates,928,2013,197.628
estimates,928,2014,198.135
estimates,928,2015,198.729
medium_variant,928,2015,198.729
medium_variant,928,2016,199.409
medium_variant,928,2017,200.131
medium_variant,928,2018,200.861
medium_variant,928,2019,201.582
medium_variant,928,2020,202.29
medium_variant,928,2021,202.974
medium_variant,928,2022,203.623
medium_variant,928,2023,204.227
medium_variant,928,2024,204.772
medium_variant,928,2025,205.244
medium_variant,928,2026,205.643
medium_variant,928,2027,205.962
medium_variant,928,2028,206.195
medium_variant,928,2029,206.328
medium_variant,928,2030,206.345
medium_variant,928,2031,206.232
medium_variant,928,2032,205.988
medium_variant,928,2033,205.603
medium_variant,928,2034,205.085
medium_variant,928,2035,204.429
medium_variant,928,2036,203.647
medium_variant,928,2037,202.752
medium_variant,928,2038,201.751
medium_variant,928,2039,200.652
medium_variant,928,2040,199.454
medium_variant,928,2041,198.155
medium_variant,928,2042,196.751
medium_variant,928,2043,195.239
medium_variant,928,2044,193.641
medium_variant,928,2045,191.964
medium_variant,928,2046,190.23
medium_variant,928,2047,188.447
medium_variant,928,2048,186.63
medium_variant,928,2049,184.785
medium_variant,928,2050,182.905
medium_variant,928,2051,180.988
medium_variant,928,2052,179.023
medium_variant,928,2053,176.996
medium_variant,928,2054,174.908
medium_variant,928,2055,172.751
medium_variant,928,2056,170.529
medium_variant,928,2057,168.247
medium_variant,928,2058,165.908
medium_variant,928,2059,163.512
medium_variant,928,2060,161.067
medium_variant,928,2061,158.577
medium_variant,928,2062,156.045
medium_variant,928,2063,153.469
medium_variant,928,2064,150.844
medium_variant,928,2065,148.167
medium_variant,928,2066,145.425
medium_variant,928,2067,142.611
medium_variant,928,2068,139.724
medium_variant,928,2069,136.768
medium_variant,928,2070,133.744
medium_variant,928,2071,130.659
medium_variant,928,2072,127.522
medium_variant,928,2073,124.354
medium_variant,928,2074,121.161
medium_variant,928,2075,117.957
medium_variant,928,2076,114.755
medium_variant,928,2077,111.554
medium_variant,928,2078,108.359
medium_variant,928,2079,105.177
medium_variant,928,2080,102.007
medium_variant,928,2081,98.839
medium_variant,928,2082,95.67
medium_variant,928,2083,92.502
medium_variant,928,2084,89.339
medium_variant,928,2085,86.193
medium_variant,928,2086,83.07
medium_variant,928,2087,79.984
medium_variant,928,2088,76.944
medium_variant,928,2089,73.954
medium_variant,928,2090,71.007
medium_variant,928,2091,68.111
medium_variant,928,2092,65.252
medium_variant,928,2093,62.429
medium_variant,928,2094,59.633
medium_variant,928,2095,56.862
medium_variant,928,2096,54.118
medium_variant,928,2097,51.396
medium_variant,928,2098,48.696
medium_variant,928,2099,46.02
