variant,region,year,populationnaturalchange
estimates,934,1950,32962.92
estimates,934,1951,32908.593
estimates,934,1952,32902.198
estimates,934,1953,33100.257
estimates,934,1954,33502.75
estimates,934,1955,34111.774
estimates,934,1956,34933
estimates,934,1957,35966.847
estimates,934,1958,37218.131
estimates,934,1959,38699.675
estimates,934,1960,40417.763
estimates,934,1961,42368.091
estimates,934,1962,44527.554
estimates,934,1963,46842.347
estimates,934,1964,49228.967
estimates,934,1965,51573.754
estimates,934,1966,53759.086
estimates,934,1967,55698.968
estimates,934,1968,57328.95
estimates,934,1969,58609.388
estimates,934,1970,59506.191
estimates,934,1971,60017.182
estimates,934,1972,60231.618
estimates,934,1973,60257.625
estimates,934,1974,60182.61
estimates,934,1975,60115.627
estimates,934,1976,60161.305
estimates,934,1977,60384.481
estimates,934,1978,60832.253
estimates,934,1979,61536.75
estimates,934,1980,62547.772
estimates,934,1981,63894.11
estimates,934,1982,65492.848
estimates,934,1983,67219.951
estimates,934,1984,68952.361
estimates,934,1985,70499.992
estimates,934,1986,71661.912
estimates,934,1987,72321.749
estimates,934,1988,72421.041
estimates,934,1989,71954.199
estimates,934,1990,70969.598
estimates,934,1991,69576.122
estimates,934,1992,67970.441
estimates,934,1993,66337.471
estimates,934,1994,64793.499
estimates,934,1995,63436.399
estimates,934,1996,62319.355
estimates,934,1997,61417.267
estimates,934,1998,60706.305
estimates,934,1999,60194.087
estimates,934,2000,59880.922
estimates,934,2001,59753.129
estimates,934,2002,59766.289
estimates,934,2003,59872.817
estimates,934,2004,60037.578
estimates,934,2005,60236.803
estimates,934,2006,60457.758
estimates,934,2007,60687.725
estimates,934,2008,60902.906
estimates,934,2009,61068.169
estimates,934,2010,61143.056
estimates,934,2011,61092.45
estimates,934,2012,60902.121
estimates,934,2013,60564.127
estimates,934,2014,60072.393
estimates,934,2015,59426.737
medium_variant,934,2015,59426.737
medium_variant,934,2016,58637.025
medium_variant,934,2017,57733.454
medium_variant,934,2018,56747.566
medium_variant,934,2019,55701.583
medium_variant,934,2020,54614.71
medium_variant,934,2021,53500.206
medium_variant,934,2022,52364.458
medium_variant,934,2023,51216.09
medium_variant,934,2024,50067.856
medium_variant,934,2025,48929.688
medium_variant,934,2026,47806.278
medium_variant,934,2027,46694.556
medium_variant,934,2028,45592.316
medium_variant,934,2029,44501.419
medium_variant,934,2030,43422.464
medium_variant,934,2031,42354.458
medium_variant,934,2032,41294.52
medium_variant,934,2033,40240.306
medium_variant,934,2034,39191.073
medium_variant,934,2035,38147.716
medium_variant,934,2036,37111.96
medium_variant,934,2037,36084.236
medium_variant,934,2038,35063.428
medium_variant,934,2039,34047.035
medium_variant,934,2040,33031.45
medium_variant,934,2041,32012.752
medium_variant,934,2042,30987.273
medium_variant,934,2043,29951.927
medium_variant,934,2044,28904.63
medium_variant,934,2045,27842.781
medium_variant,934,2046,26764.756
medium_variant,934,2047,25673.037
medium_variant,934,2048,24571.478
medium_variant,934,2049,23463.736
medium_variant,934,2050,22352.428
medium_variant,934,2051,21239.732
medium_variant,934,2052,20130.09
medium_variant,934,2053,19029.692
medium_variant,934,2054,17945.414
medium_variant,934,2055,16884.366
medium_variant,934,2056,15852.461
medium_variant,934,2057,14852.712
medium_variant,934,2058,13887.834
medium_variant,934,2059,12960.652
medium_variant,934,2060,12073.297
medium_variant,934,2061,11226.004
medium_variant,934,2062,10415.114
medium_variant,934,2063,9636.66
medium_variant,934,2064,8888.107
medium_variant,934,2065,8167.151
medium_variant,934,2066,7471.824
medium_variant,934,2067,6800.09
medium_variant,934,2068,6149.43
medium_variant,934,2069,5517.182
medium_variant,934,2070,4900.321
medium_variant,934,2071,4296.572
medium_variant,934,2072,3705.831
medium_variant,934,2073,3128.596
medium_variant,934,2074,2565.274
medium_variant,934,2075,2017.265
medium_variant,934,2076,1486.724
medium_variant,934,2077,976.169
medium_variant,934,2078,487.601
medium_variant,934,2079,21.956
medium_variant,934,2080,-419.327
medium_variant,934,2081,-835.311
medium_variant,934,2082,-1227.544
medium_variant,934,2083,-1598.539
medium_variant,934,2084,-1950.881
medium_variant,934,2085,-2287.128
medium_variant,934,2086,-2609.693
medium_variant,934,2087,-2921.501
medium_variant,934,2088,-3225.9
medium_variant,934,2089,-3526.176
medium_variant,934,2090,-3824.889
medium_variant,934,2091,-4123.674
medium_variant,934,2092,-4423.479
medium_variant,934,2093,-4724.786
medium_variant,934,2094,-5027.764
medium_variant,934,2095,-5332.587
medium_variant,934,2096,-5639.404
medium_variant,934,2097,-5948.163
medium_variant,934,2098,-6258.81
medium_variant,934,2099,-6571.355
