variant,region,year,populationnaturalchange
estimates,910,1950,1475.573
estimates,910,1951,1502.925
estimates,910,1952,1559.928
estimates,910,1953,1621.534
estimates,910,1954,1687.74
estimates,910,1955,1758.497
estimates,910,1956,1833.669
estimates,910,1957,1913.06
estimates,910,1958,1996.297
estimates,910,1959,2082.714
estimates,910,1960,2171.587
estimates,910,1961,2262.176
estimates,910,1962,2353.859
estimates,910,1963,2446.36
estimates,910,1964,2539.904
estimates,910,1965,2635.376
estimates,910,1966,2734.044
estimates,910,1967,2837.134
estimates,910,1968,2945.449
estimates,910,1969,3059.133
estimates,910,1970,3178.075
estimates,910,1971,3301.752
estimates,910,1972,3428.985
estimates,910,1973,3558.613
estimates,910,1974,3689.866
estimates,910,1975,3821.969
estimates,910,1976,3954.37
estimates,910,1977,4087.029
estimates,910,1978,4219.995
estimates,910,1979,4353.222
estimates,910,1980,4488.143
estimates,910,1981,4626.78
estimates,910,1982,4769.53
estimates,910,1983,4915.335
estimates,910,1984,5061.9
estimates,910,1985,5202.605
estimates,910,1986,5329.322
estimates,910,1987,5438.554
estimates,910,1988,5530.877
estimates,910,1989,5610.415
estimates,910,1990,5686.788
estimates,910,1991,5772.504
estimates,910,1992,5878.659
estimates,910,1993,6012.649
estimates,910,1994,6176.632
estimates,910,1995,6367.443
estimates,910,1996,6577.243
estimates,910,1997,6795.169
estimates,910,1998,7013.284
estimates,910,1999,7229.507
estimates,910,2000,7446.061
estimates,910,2001,7668.49
estimates,910,2002,7903.169
estimates,910,2003,8153.594
estimates,910,2004,8418.826
estimates,910,2005,8695.972
estimates,910,2006,8980.415
estimates,910,2007,9265.701
estimates,910,2008,9546.092
estimates,910,2009,9818.104
estimates,910,2010,10079.381
estimates,910,2011,10329.366
estimates,910,2012,10570.138
estimates,910,2013,10803.438
estimates,910,2014,11029.461
estimates,910,2015,11248.279
medium_variant,910,2015,11248.279
medium_variant,910,2016,11460.02
medium_variant,910,2017,11665.26
medium_variant,910,2018,11864.809
medium_variant,910,2019,12059.506
medium_variant,910,2020,12250.355
medium_variant,910,2021,12438.295
medium_variant,910,2022,12623.824
medium_variant,910,2023,12807.275
medium_variant,910,2024,12988.899
medium_variant,910,2025,13168.876
medium_variant,910,2026,13347.134
medium_variant,910,2027,13522.926
medium_variant,910,2028,13695.358
medium_variant,910,2029,13863.723
medium_variant,910,2030,14027.225
medium_variant,910,2031,14185.162
medium_variant,910,2032,14337.081
medium_variant,910,2033,14482.585
medium_variant,910,2034,14621.302
medium_variant,910,2035,14753.135
medium_variant,910,2036,14878.267
medium_variant,910,2037,14997.11
medium_variant,910,2038,15109.914
medium_variant,910,2039,15216.635
medium_variant,910,2040,15317.148
medium_variant,910,2041,15411.263
medium_variant,910,2042,15498.75
medium_variant,910,2043,15579.405
medium_variant,910,2044,15653.118
medium_variant,910,2045,15719.889
medium_variant,910,2046,15779.792
medium_variant,910,2047,15832.922
medium_variant,910,2048,15879.324
medium_variant,910,2049,15918.925
medium_variant,910,2050,15951.601
medium_variant,910,2051,15977.196
medium_variant,910,2052,15995.579
medium_variant,910,2053,16006.643
medium_variant,910,2054,16010.353
medium_variant,910,2055,16006.629
medium_variant,910,2056,15995.45
medium_variant,910,2057,15976.931
medium_variant,910,2058,15951.24
medium_variant,910,2059,15918.536
medium_variant,910,2060,15879.053
medium_variant,910,2061,15833.049
medium_variant,910,2062,15780.658
medium_variant,910,2063,15721.953
medium_variant,910,2064,15656.943
medium_variant,910,2065,15585.445
medium_variant,910,2066,15507.19
medium_variant,910,2067,15421.941
medium_variant,910,2068,15329.573
medium_variant,910,2069,15230.139
medium_variant,910,2070,15123.707
medium_variant,910,2071,15010.418
medium_variant,910,2072,14890.593
medium_variant,910,2073,14764.589
medium_variant,910,2074,14632.723
medium_variant,910,2075,14495.22
medium_variant,910,2076,14352.226
medium_variant,910,2077,14203.835
medium_variant,910,2078,14050.213
medium_variant,910,2079,13891.607
medium_variant,910,2080,13728.086
medium_variant,910,2081,13559.606
medium_variant,910,2082,13386.236
medium_variant,910,2083,13208.206
medium_variant,910,2084,13025.905
medium_variant,910,2085,12839.775
medium_variant,910,2086,12650.243
medium_variant,910,2087,12457.642
medium_variant,910,2088,12262.309
medium_variant,910,2089,12064.511
medium_variant,910,2090,11864.384
medium_variant,910,2091,11661.926
medium_variant,910,2092,11457.061
medium_variant,910,2093,11249.68
medium_variant,910,2094,11039.659
medium_variant,910,2095,10826.942
medium_variant,910,2096,10611.506
medium_variant,910,2097,10393.316
medium_variant,910,2098,10172.364
medium_variant,910,2099,9948.635
