country,variant,freq,year,netreporductionrate
246,estimates,5yearly,1950,1.377
246,estimates,5yearly,1955,1.293
246,estimates,5yearly,1960,1.257
246,estimates,5yearly,1965,1.042
246,estimates,5yearly,1970,0.774
246,estimates,5yearly,1975,0.798
246,estimates,5yearly,1980,0.812
246,estimates,5yearly,1985,0.8
246,estimates,5yearly,1990,0.881
246,estimates,5yearly,1995,0.843
246,estimates,5yearly,2000,0.848
246,estimates,5yearly,2005,0.892
246,estimates,5yearly,2010,0.857
246,constant_fertility,5yearly,2015,0.859
246,constant_mortality,5yearly,2015,0.863
246,high_variant,5yearly,2015,0.986
246,instant_replacement,5yearly,2015,1
246,low_variant,5yearly,2015,0.744
246,medium_variant,5yearly,2015,0.865
246,momentum,5yearly,2015,1
246,no_change,5yearly,2015,0.857
246,zero_migration,5yearly,2015,0.865
246,constant_fertility,5yearly,2020,0.86
246,constant_mortality,5yearly,2020,0.867
246,high_variant,5yearly,2020,1.064
246,instant_replacement,5yearly,2020,1
246,low_variant,5yearly,2020,0.676
246,medium_variant,5yearly,2020,0.87
246,momentum,5yearly,2020,1
246,no_change,5yearly,2020,0.857
246,zero_migration,5yearly,2020,0.87
246,constant_fertility,5yearly,2025,0.86
246,constant_mortality,5yearly,2025,0.87
246,high_variant,5yearly,2025,1.117
246,instant_replacement,5yearly,2025,1
246,low_variant,5yearly,2025,0.631
246,medium_variant,5yearly,2025,0.874
246,momentum,5yearly,2025,1
246,no_change,5yearly,2025,0.857
246,zero_migration,5yearly,2025,0.874
246,constant_fertility,5yearly,2030,0.861
246,constant_mortality,5yearly,2030,0.874
246,high_variant,5yearly,2030,1.12
246,instant_replacement,5yearly,2030,1
246,low_variant,5yearly,2030,0.634
246,medium_variant,5yearly,2030,0.877
246,momentum,5yearly,2030,1
246,no_change,5yearly,2030,0.857
246,zero_migration,5yearly,2030,0.877
246,constant_fertility,5yearly,2035,0.861
246,constant_mortality,5yearly,2035,0.876
246,high_variant,5yearly,2035,1.124
246,instant_replacement,5yearly,2035,1
246,low_variant,5yearly,2035,0.637
246,medium_variant,5yearly,2035,0.88
246,momentum,5yearly,2035,1
246,no_change,5yearly,2035,0.857
246,zero_migration,5yearly,2035,0.88
246,constant_fertility,5yearly,2040,0.862
246,constant_mortality,5yearly,2040,0.879
246,high_variant,5yearly,2040,1.127
246,instant_replacement,5yearly,2040,1
246,low_variant,5yearly,2040,0.64
246,medium_variant,5yearly,2040,0.883
246,momentum,5yearly,2040,1
246,no_change,5yearly,2040,0.857
246,zero_migration,5yearly,2040,0.883
246,constant_fertility,5yearly,2045,0.862
246,constant_mortality,5yearly,2045,0.88
246,high_variant,5yearly,2045,1.129
246,instant_replacement,5yearly,2045,1
246,low_variant,5yearly,2045,0.642
246,medium_variant,5yearly,2045,0.885
246,momentum,5yearly,2045,1
246,no_change,5yearly,2045,0.857
246,zero_migration,5yearly,2045,0.885
246,constant_fertility,5yearly,2050,0.862
246,constant_mortality,5yearly,2050,0.881
246,high_variant,5yearly,2050,1.13
246,instant_replacement,5yearly,2050,1
246,low_variant,5yearly,2050,0.643
246,medium_variant,5yearly,2050,0.886
246,momentum,5yearly,2050,1
246,no_change,5yearly,2050,0.857
246,zero_migration,5yearly,2050,0.886
246,constant_fertility,5yearly,2055,0.862
246,constant_mortality,5yearly,2055,0.883
246,high_variant,5yearly,2055,1.132
246,instant_replacement,5yearly,2055,1
246,low_variant,5yearly,2055,0.645
246,medium_variant,5yearly,2055,0.889
246,momentum,5yearly,2055,1
246,no_change,5yearly,2055,0.857
246,zero_migration,5yearly,2055,0.889
246,constant_fertility,5yearly,2060,0.863
246,constant_mortality,5yearly,2060,0.885
246,high_variant,5yearly,2060,1.134
246,instant_replacement,5yearly,2060,1
246,low_variant,5yearly,2060,0.647
246,medium_variant,5yearly,2060,0.89
246,momentum,5yearly,2060,1
246,no_change,5yearly,2060,0.857
246,zero_migration,5yearly,2060,0.89
246,constant_fertility,5yearly,2065,0.863
