country,variant,freq,year,netreporductionrate
348,estimates,5yearly,1950,1.178
348,estimates,5yearly,1955,1.047
348,estimates,5yearly,1960,0.831
348,estimates,5yearly,1965,0.916
348,estimates,5yearly,1970,0.95
348,estimates,5yearly,1975,1.056
348,estimates,5yearly,1980,0.854
348,estimates,5yearly,1985,0.863
348,estimates,5yearly,1990,0.83
348,estimates,5yearly,1995,0.658
348,estimates,5yearly,2000,0.62
348,estimates,5yearly,2005,0.64
348,estimates,5yearly,2010,0.64
348,constant_fertility,5yearly,2015,0.641
348,constant_mortality,5yearly,2015,0.671
348,high_variant,5yearly,2015,0.792
348,instant_replacement,5yearly,2015,1
348,low_variant,5yearly,2015,0.552
348,medium_variant,5yearly,2015,0.672
348,momentum,5yearly,2015,1
348,no_change,5yearly,2015,0.64
348,zero_migration,5yearly,2015,0.672
348,constant_fertility,5yearly,2020,0.641
348,constant_mortality,5yearly,2020,0.696
348,high_variant,5yearly,2020,0.89
348,instant_replacement,5yearly,2020,1
348,low_variant,5yearly,2020,0.505
348,medium_variant,5yearly,2020,0.698
348,momentum,5yearly,2020,1
348,no_change,5yearly,2020,0.64
348,zero_migration,5yearly,2020,0.698
348,constant_fertility,5yearly,2025,0.641
348,constant_mortality,5yearly,2025,0.718
348,high_variant,5yearly,2025,0.96
348,instant_replacement,5yearly,2025,1
348,low_variant,5yearly,2025,0.479
348,medium_variant,5yearly,2025,0.72
348,momentum,5yearly,2025,1
348,no_change,5yearly,2025,0.64
348,zero_migration,5yearly,2025,0.72
348,constant_fertility,5yearly,2030,0.642
348,constant_mortality,5yearly,2030,0.736
348,high_variant,5yearly,2030,0.979
348,instant_replacement,5yearly,2030,1
348,low_variant,5yearly,2030,0.498
348,medium_variant,5yearly,2030,0.738
348,momentum,5yearly,2030,1
348,no_change,5yearly,2030,0.64
348,zero_migration,5yearly,2030,0.738
348,constant_fertility,5yearly,2035,0.642
348,constant_mortality,5yearly,2035,0.752
348,high_variant,5yearly,2035,0.996
348,instant_replacement,5yearly,2035,1
348,low_variant,5yearly,2035,0.514
348,medium_variant,5yearly,2035,0.755
348,momentum,5yearly,2035,1
348,no_change,5yearly,2035,0.64
348,zero_migration,5yearly,2035,0.755
348,constant_fertility,5yearly,2040,0.642
348,constant_mortality,5yearly,2040,0.767
348,high_variant,5yearly,2040,1.01
348,instant_replacement,5yearly,2040,1
348,low_variant,5yearly,2040,0.528
348,medium_variant,5yearly,2040,0.769
348,momentum,5yearly,2040,1
348,no_change,5yearly,2040,0.64
348,zero_migration,5yearly,2040,0.769
348,constant_fertility,5yearly,2045,0.643
348,constant_mortality,5yearly,2045,0.778
348,high_variant,5yearly,2045,1.022
348,instant_replacement,5yearly,2045,1
348,low_variant,5yearly,2045,0.54
348,medium_variant,5yearly,2045,0.781
348,momentum,5yearly,2045,1
348,no_change,5yearly,2045,0.64
348,zero_migration,5yearly,2045,0.781
348,constant_fertility,5yearly,2050,0.643
348,constant_mortality,5yearly,2050,0.788
348,high_variant,5yearly,2050,1.032
348,instant_replacement,5yearly,2050,1
348,low_variant,5yearly,2050,0.55
348,medium_variant,5yearly,2050,0.791
348,momentum,5yearly,2050,1
348,no_change,5yearly,2050,0.64
348,zero_migration,5yearly,2050,0.791
348,constant_fertility,5yearly,2055,0.643
348,constant_mortality,5yearly,2055,0.796
348,high_variant,5yearly,2055,1.041
348,instant_replacement,5yearly,2055,1
348,low_variant,5yearly,2055,0.559
348,medium_variant,5yearly,2055,0.8
348,momentum,5yearly,2055,1
348,no_change,5yearly,2055,0.64
348,zero_migration,5yearly,2055,0.8
348,constant_fertility,5yearly,2060,0.643
348,constant_mortality,5yearly,2060,0.803
348,high_variant,5yearly,2060,1.049
348,instant_replacement,5yearly,2060,1
348,low_variant,5yearly,2060,0.566
348,medium_variant,5yearly,2060,0.808
348,momentum,5yearly,2060,1
348,no_change,5yearly,2060,0.64
348,zero_migration,5yearly,2060,0.808
348,constant_fertility,5yearly,2065,0.643
348,constant_mortality,5yearly,2065,0.81
348,high_variant,5yearly,2065,1.056
348,instant_replacement,5yearly,2065,1
348,low_variant,5yearly,2065,0.573
348,medium_variant,5yearly,2065,0.815
348,momentum,5yearly,2065,1
348,no_change,5yearly,2065,0.64
348,zero_migration,5yearly,2065,0.815
348,constant_fertility,5yearly,2070,0.643
348,constant_mortality,5yearly,2070,0.815
348,high_variant,5yearly,2070,1.062
348,instant_replacement,5yearly,2070,1
348,low_variant,5yearly,2070,0.579
348,medium_variant,5yearly,2070,0.82
348,momentum,5yearly,2070,1
348,no_change,5yearly,2070,0.64
348,zero_migration,5yearly,2070,0.82
348,constant_fertility,5yearly,2075,0.644
348,constant_mortality,5yearly,2075,0.82
348,high_variant,5yearly,2075,1.066
348,instant_replacement,5yearly,2075,1
348,low_variant,5yearly,2075,0.583
348,medium_variant,5yearly,2075,0.825
348,momentum,5yearly,2075,1
348,no_change,5yearly,2075,0.64
348,zero_migration,5yearly,2075,0.825
348,constant_fertility,5yearly,2080,0.644
348,constant_mortality,5yearly,2080,0.824
348,high_variant,5yearly,2080,1.071
348,instant_replacement,5yearly,2080,1
348,low_variant,5yearly,2080,0.588
348,medium_variant,5yearly,2080,0.829
348,momentum,5yearly,2080,1
348,no_change,5yearly,2080,0.64
348,zero_migration,5yearly,2080,0.829
348,constant_fertility,5yearly,2085,0.644
348,constant_mortality,5yearly,2085,0.828
348,high_variant,5yearly,2085,1.075
348,instant_replacement,5yearly,2085,1
348,low_variant,5yearly,2085,0.592
348,medium_variant,5yearly,2085,0.833
348,momentum,5yearly,2085,1
348,no_change,5yearly,2085,0.64
348,zero_migration,5yearly,2085,0.833
348,constant_fertility,5yearly,2090,0.644
348,constant_mortality,5yearly,2090,0.831
348,high_variant,5yearly,2090,1.078
348,instant_replacement,5yearly,2090,1
348,low_variant,5yearly,2090,0.595
348,medium_variant,5yearly,2090,0.837
348,momentum,5yearly,2090,1
348,no_change,5yearly,2090,0.64
348,zero_migration,5yearly,2090,0.837
348,constant_fertility,5yearly,2095,0.644
348,constant_mortality,5yearly,2095,0.834
348,high_variant,5yearly,2095,1.082
348,instant_replacement,5yearly,2095,1
348,low_variant,5yearly,2095,0.598
348,medium_variant,5yearly,2095,0.84
348,momentum,5yearly,2095,1
348,no_change,5yearly,2095,0.64
348,zero_migration,5yearly,2095,0.84
