continent,year,variant,gender,freq,age1yearinterval,survivorage
904,1950,estimates,female,5yearly,0,100000
904,1950,estimates,male,5yearly,0,100000
904,1950,estimates,female,5yearly,1,88247.8788622975
904,1950,estimates,male,5yearly,1,86294.5202468607
904,1950,estimates,female,5yearly,5,82204.4450663092
904,1950,estimates,male,5yearly,5,80081.3523902606
904,1950,estimates,female,5yearly,10,80694.8692311301
904,1950,estimates,male,5yearly,10,78502.4566165655
904,1950,estimates,female,5yearly,15,79923.145141955
904,1950,estimates,male,5yearly,15,77694.5095126566
904,1950,estimates,female,5yearly,20,78744.028687972
904,1950,estimates,male,5yearly,20,76421.290249493
904,1950,estimates,female,5yearly,25,77150.0046537243
904,1950,estimates,male,5yearly,25,74669.3781804521
904,1950,estimates,female,5yearly,30,75254.60518084
904,1950,estimates,male,5yearly,30,72608.261110504
904,1950,estimates,female,5yearly,35,73116.1460592967
904,1950,estimates,male,5yearly,35,70305.757757351
904,1950,estimates,female,5yearly,40,70724.2301199485
904,1950,estimates,male,5yearly,40,67687.3745180059
904,1950,estimates,female,5yearly,45,68007.3523009319
904,1950,estimates,male,5yearly,45,64592.3043658522
904,1950,estimates,female,5yearly,50,64792.9129577311
904,1950,estimates,male,5yearly,50,60781.6339163117
904,1950,estimates,female,5yearly,55,60775.8910463388
904,1950,estimates,male,5yearly,55,55969.1774472558
904,1950,estimates,female,5yearly,60,55568.9429266036
904,1950,estimates,male,5yearly,60,49866.8720993768
904,1950,estimates,female,5yearly,65,48766.8113504909
904,1950,estimates,male,5yearly,65,42279.2339671639
904,1950,estimates,female,5yearly,70,40119.1516352747
904,1950,estimates,male,5yearly,70,33257.6562534448
904,1950,estimates,female,5yearly,75,29536.4948768722
904,1950,estimates,male,5yearly,75,23059.0114338747
904,1950,estimates,female,5yearly,80,18170.07544381
904,1950,estimates,male,5yearly,80,13130.2339092834
904,1950,estimates,female,5yearly,85,8551.82474251319
904,1950,estimates,male,5yearly,85,5632.85341615033
904,1950,estimates,female,5yearly,90,2758.41806843083
904,1950,estimates,male,5yearly,90,1643.4237450412
904,1950,estimates,female,5yearly,95,542.893917512549
904,1950,estimates,male,5yearly,95,294.394785176626
904,1950,estimates,female,5yearly,100plus,59.494935808795
904,1950,estimates,male,5yearly,100plus,30.0284495232279
904,1955,estimates,female,5yearly,0,100000
904,1955,estimates,male,5yearly,0,100000
904,1955,estimates,female,5yearly,1,89603.7266511577
904,1955,estimates,male,5yearly,1,87658.8602781874
904,1955,estimates,female,5yearly,5,84420.7714147972
904,1955,estimates,male,5yearly,5,82264.7244936788
904,1955,estimates,female,5yearly,10,83098.2409930018
904,1955,estimates,male,5yearly,10,80881.9583603451
904,1955,estimates,female,5yearly,15,82450.49420144
904,1955,estimates,male,5yearly,15,80197.2487805779
904,1955,estimates,female,5yearly,20,81442.7629310354
904,1955,estimates,male,5yearly,20,79093.2169965042
904,1955,estimates,female,5yearly,25,80053.4172731314
904,1955,estimates,male,5yearly,25,77540.3426451698
904,1955,estimates,female,5yearly,30,78371.7115678452
904,1955,estimates,male,5yearly,30,75676.9264291462
904,1955,estimates,female,5yearly,35,76452.7269605745
904,1955,estimates,male,5yearly,35,73569.616029156
904,1955,estimates,female,5yearly,40,74281.3264137503
904,1955,estimates,male,5yearly,40,71160.6232686767
904,1955,estimates,female,5yearly,45,71772.0698491955
904,1955,estimates,male,5yearly,45,68289.1121200486
904,1955,estimates,female,5yearly,50,68744.9240160736
