continent,year,variant,gender,freq,age1yearinterval,survivorage
905,1950,estimates,female,5yearly,"Region, subregion, country or area *",NORTHERN AMERICA
905,1950,estimates,male,5yearly,"Region, subregion, country or area *",NORTHERN AMERICA
905,1950,estimates,female,5yearly,0,100000
905,1950,estimates,male,5yearly,0,100000
905,1950,estimates,female,5yearly,1,97318.9676902808
905,1950,estimates,male,5yearly,1,96529.4075672184
905,1950,estimates,female,5yearly,5,96840.8098529178
905,1950,estimates,male,5yearly,5,95966.0563729763
905,1950,estimates,female,5yearly,10,96598.5383221621
905,1950,estimates,male,5yearly,10,95638.5748812015
905,1950,estimates,female,5yearly,15,96398.4137149477
905,1950,estimates,male,5yearly,15,95299.162137762
905,1950,estimates,female,5yearly,20,96080.2263538984
905,1950,estimates,male,5yearly,20,94625.4191345986
905,1950,estimates,female,5yearly,25,95662.4241169696
905,1950,estimates,male,5yearly,25,93715.6374186349
905,1950,estimates,female,5yearly,30,95152.4609832549
905,1950,estimates,male,5yearly,30,92802.3588493795
905,1950,estimates,female,5yearly,35,94471.7391558442
905,1950,estimates,male,5yearly,35,91787.8209816102
905,1950,estimates,female,5yearly,40,93476.1316084372
905,1950,estimates,male,5yearly,40,90367.2958367844
905,1950,estimates,female,5yearly,45,92002.3855134718
905,1950,estimates,male,5yearly,45,88163.2310337417
905,1950,estimates,female,5yearly,50,89805.4339341977
905,1950,estimates,male,5yearly,50,84712.7315148608
905,1950,estimates,female,5yearly,55,86582.7877031808
905,1950,estimates,male,5yearly,55,79487.8768099617
905,1950,estimates,female,5yearly,60,82085.8676574931
905,1950,estimates,male,5yearly,60,72228.5858236791
905,1950,estimates,female,5yearly,65,75723.3426466746
905,1950,estimates,male,5yearly,65,62755.0028475991
905,1950,estimates,female,5yearly,70,66756.1870023927
905,1950,estimates,male,5yearly,70,51320.5524131877
905,1950,estimates,female,5yearly,75,54334.4023233558
905,1950,estimates,male,5yearly,75,38074.2677993321
905,1950,estimates,female,5yearly,80,38955.4996848425
905,1950,estimates,male,5yearly,80,24293.1605780982
905,1950,estimates,female,5yearly,85,22953.0036983599
905,1950,estimates,male,5yearly,85,12488.7859453366
905,1950,estimates,female,5yearly,90,10106.119781277
905,1950,estimates,male,5yearly,90,4767.6118734448
905,1950,estimates,female,5yearly,95,2961.13410711468
905,1950,estimates,male,5yearly,95,1233.73942226302
905,1950,estimates,female,5yearly,100plus,513.700437040602
905,1950,estimates,male,5yearly,100plus,198.696491385502
905,1955,estimates,female,5yearly,"Region, subregion, country or area *",NORTHERN AMERICA
905,1955,estimates,male,5yearly,"Region, subregion, country or area *",NORTHERN AMERICA
905,1955,estimates,female,5yearly,0,100000
905,1955,estimates,male,5yearly,0,100000
905,1955,estimates,female,5yearly,1,97593.3755810009
905,1955,estimates,male,5yearly,1,96890.0736234585
905,1955,estimates,female,5yearly,5,97192.5533412203
905,1955,estimates,male,5yearly,5,96421.359160959
905,1955,estimates,female,5yearly,10,96984.7905033058
905,1955,estimates,male,5yearly,10,96141.8021953122
905,1955,estimates,female,5yearly,15,96817.8178230307
905,1955,estimates,male,5yearly,15,95843.103920535
905,1955,estimates,female,5yearly,20,96554.672715479
905,1955,estimates,male,5yearly,20,95207.8256810038
905,1955,estimates,female,5yearly,25,96207.3248745804
905,1955,estimates,male,5yearly,25,94346.038078481
905,1955,estimates,female,5yearly,30,95775.7367639997
905,1955,estimates,male,5yearly,30,93507.9544791395
905,1955,estimates,female,5yearly,35,95187.9960813762
905,1955,estimates,male,5yearly,35,92577.8426178781
905,1955,estimates,female,5yearly,40,94326.5053449391
905,1955,estimates,male,5yearly,40,91267.9241148048
905,1955,estimates,female,5yearly,45,93021.3374816457
905,1955,estimates,male,5yearly,45,89211.2796576274
905,1955,estimates,female,5yearly,50,91056.0494510451
905,1955,estimates,male,5yearly,50,85930.468795776
905,1955,estimates,female,5yearly,55,88160.9375411475
905,1955,estimates,male,5yearly,55,80906.8974138565
905,1955,estimates,female,5yearly,60,83986.7736983703
905,1955,estimates,male,5yearly,60,73748.7700776602
905,1955,estimates,female,5yearly,65,77929.4848914994
905,1955,estimates,male,5yearly,65,64111.1785107445
905,1955,estimates,female,5yearly,70,69329.1004955985
905,1955,estimates,male,5yearly,70,52385.1220710145
905,1955,estimates,female,5yearly,75,57226.2629666825
905,1955,estimates,male,5yearly,75,38902.8232760133
905,1955,estimates,female,5yearly,80,41725.6445270165
905,1955,estimates,male,5yearly,80,24878.0879314829
