country,variant,freq,year,totaldeaths
470,estimates,5yearly,1950,14.874
470,estimates,5yearly,1955,14.583
470,estimates,5yearly,1960,13.723
470,estimates,5yearly,1965,13.803
470,estimates,5yearly,1970,14.268
470,estimates,5yearly,1975,14.146
470,estimates,5yearly,1980,14.14
470,estimates,5yearly,1985,13.827
470,estimates,5yearly,1990,14.109
470,estimates,5yearly,1995,14.832
470,estimates,5yearly,2000,15.529
470,estimates,5yearly,2005,16.691
470,estimates,5yearly,2010,18.36
470,constant_fertility,5yearly,2015,19.209
470,constant_mortality,5yearly,2015,20.535
470,high_variant,5yearly,2015,19.23
470,instant_replacement,5yearly,2015,19.253
470,low_variant,5yearly,2015,19.197
470,medium_variant,5yearly,2015,19.213
470,momentum,5yearly,2015,20.579
470,no_change,5yearly,2015,20.529
470,zero_migration,5yearly,2015,19.213
470,constant_fertility,5yearly,2020,20.766
470,constant_mortality,5yearly,2020,23.351
470,high_variant,5yearly,2020,20.797
470,instant_replacement,5yearly,2020,20.809
470,low_variant,5yearly,2020,20.75
470,medium_variant,5yearly,2020,20.775
470,momentum,5yearly,2020,23.358
470,no_change,5yearly,2020,23.338
470,zero_migration,5yearly,2020,20.743
470,constant_fertility,5yearly,2025,22.585
470,constant_mortality,5yearly,2025,26.287
470,high_variant,5yearly,2025,22.622
470,instant_replacement,5yearly,2025,22.625
470,low_variant,5yearly,2025,22.571
470,medium_variant,5yearly,2025,22.595
470,momentum,5yearly,2025,26.252
470,no_change,5yearly,2025,26.272
470,zero_migration,5yearly,2025,22.533
470,constant_fertility,5yearly,2030,24.366
470,constant_mortality,5yearly,2030,28.771
470,high_variant,5yearly,2030,24.398
470,instant_replacement,5yearly,2030,24.401
470,low_variant,5yearly,2030,24.355
470,medium_variant,5yearly,2030,24.376
470,momentum,5yearly,2030,28.681
470,no_change,5yearly,2030,28.754
470,zero_migration,5yearly,2030,24.283
470,constant_fertility,5yearly,2035,25.677
470,constant_mortality,5yearly,2035,30.223
470,high_variant,5yearly,2035,25.712
470,instant_replacement,5yearly,2035,25.715
470,low_variant,5yearly,2035,25.665
470,medium_variant,5yearly,2035,25.689
470,momentum,5yearly,2035,30.084
470,no_change,5yearly,2035,30.206
470,zero_migration,5yearly,2035,25.555
470,constant_fertility,5yearly,2040,26.236
470,constant_mortality,5yearly,2040,30.382
470,high_variant,5yearly,2040,26.278
470,instant_replacement,5yearly,2040,26.284
470,low_variant,5yearly,2040,26.221
470,medium_variant,5yearly,2040,26.247
470,momentum,5yearly,2040,30.179
470,no_change,5yearly,2040,30.36
470,zero_migration,5yearly,2040,26.065
470,constant_fertility,5yearly,2045,26.161
470,constant_mortality,5yearly,2045,29.921
470,high_variant,5yearly,2045,26.214
470,instant_replacement,5yearly,2045,26.225
470,low_variant,5yearly,2045,26.139
470,medium_variant,5yearly,2045,26.178
470,momentum,5yearly,2045,29.624
470,no_change,5yearly,2045,29.888
470,zero_migration,5yearly,2045,25.927
470,constant_fertility,5yearly,2050,25.812
470,constant_mortality,5yearly,2050,29.444
470,high_variant,5yearly,2050,25.882
470,instant_replacement,5yearly,2050,25.892
470,low_variant,5yearly,2050,25.786
470,medium_variant,5yearly,2050,25.831
470,momentum,5yearly,2050,29.016
470,no_change,5yearly,2050,29.397
470,zero_migration,5yearly,2050,25.498
470,constant_fertility,5yearly,2055,25.622
470,constant_mortality,5yearly,2055,29.53
470,high_variant,5yearly,2055,25.709
470,instant_replacement,5yearly,2055,25.718
470,low_variant,5yearly,2055,25.593
470,medium_variant,5yearly,2055,25.645
470,momentum,5yearly,2055,28.93
470,no_change,5yearly,2055,29.472
470,zero_migration,5yearly,2055,25.184
470,constant_fertility,5yearly,2060,25.842
470,constant_mortality,5yearly,2060,29.997
470,high_variant,5yearly,2060,25.949
470,instant_replacement,5yearly,2060,25.963
470,low_variant,5yearly,2060,25.807
470,medium_variant,5yearly,2060,25.875
470,momentum,5yearly,2060,29.177
470,no_change,5yearly,2060,29.925
470,zero_migration,5yearly,2060,25.263
470,constant_fertility,5yearly,2065,26.426
470,constant_mortality,5yearly,2065,30.216
470,high_variant,5yearly,2065,26.56
470,instant_replacement,5yearly,2065,26.585
470,low_variant,5yearly,2065,26.379
470,medium_variant,5yearly,2065,26.466
470,momentum,5yearly,2065,29.161
470,no_change,5yearly,2065,30.125
470,zero_migration,5yearly,2065,25.653
470,constant_fertility,5yearly,2070,26.937
470,constant_mortality,5yearly,2070,29.669
470,high_variant,5yearly,2070,27.117
470,instant_replacement,5yearly,2070,27.154
470,low_variant,5yearly,2070,26.871
470,medium_variant,5yearly,2070,26.988
470,momentum,5yearly,2070,28.4
470,no_change,5yearly,2070,29.537
470,zero_migration,5yearly,2070,25.934
470,constant_fertility,5yearly,2075,26.784
470,constant_mortality,5yearly,2075,28.27
470,high_variant,5yearly,2075,27.025
470,instant_replacement,5yearly,2075,27.079
470,low_variant,5yearly,2075,26.693
470,medium_variant,5yearly,2075,26.854
470,momentum,5yearly,2075,26.877
470,no_change,5yearly,2075,28.08
470,zero_migration,5yearly,2075,25.514
470,constant_fertility,5yearly,2080,25.893
470,constant_mortality,5yearly,2080,26.373
470,high_variant,5yearly,2080,26.229
470,instant_replacement,5yearly,2080,26.312
470,low_variant,5yearly,2080,25.767
470,medium_variant,5yearly,2080,25.988
470,momentum,5yearly,2080,25.062
470,no_change,5yearly,2080,26.089
470,zero_migration,5yearly,2080,24.354
470,constant_fertility,5yearly,2085,24.367
470,constant_mortality,5yearly,2085,24.585
470,high_variant,5yearly,2085,24.849
470,instant_replacement,5yearly,2085,24.98
470,low_variant,5yearly,2085,24.176
470,medium_variant,5yearly,2085,24.503
470,momentum,5yearly,2085,23.678
470,no_change,5yearly,2085,24.147
470,zero_migration,5yearly,2085,22.609
470,constant_fertility,5yearly,2090,22.627
470,constant_mortality,5yearly,2090,23.406
470,high_variant,5yearly,2090,23.347
470,instant_replacement,5yearly,2090,23.576
470,low_variant,5yearly,2090,22.334
470,medium_variant,5yearly,2090,22.828
470,momentum,5yearly,2090,23.314
470,no_change,5yearly,2090,22.727
470,zero_migration,5yearly,2090,20.75
470,constant_fertility,5yearly,2095,21.093
470,constant_mortality,5yearly,2095,22.861
470,high_variant,5yearly,2095,22.23
470,instant_replacement,5yearly,2095,22.632
470,low_variant,5yearly,2095,20.616
470,medium_variant,5yearly,2095,21.405
470,momentum,5yearly,2095,24.004
470,no_change,5yearly,2095,21.81
470,zero_migration,5yearly,2095,19.252
470,constant_fertility,5yearly,Regi,Malta
470,constant_mortality,5yearly,Regi,Malta
470,estimates,5yearly,Regi,Malta
470,high_variant,5yearly,Regi,Malta
470,instant_replacement,5yearly,Regi,Malta
470,low_variant,5yearly,Regi,Malta
470,medium_variant,5yearly,Regi,Malta
470,momentum,5yearly,Regi,Malta
470,no_change,5yearly,Regi,Malta
470,zero_migration,5yearly,Regi,Malta
