country,variant,freq,year,totaldeaths
512,estimates,5yearly,1950,67.463
512,estimates,5yearly,1955,63.555
512,estimates,5yearly,1960,61.222
512,estimates,5yearly,1965,59.938
512,estimates,5yearly,1970,59.989
512,estimates,5yearly,1975,59.235
512,estimates,5yearly,1980,57.258
512,estimates,5yearly,1985,52.739
512,estimates,5yearly,1990,48.068
512,estimates,5yearly,1995,42.676
512,estimates,5yearly,2000,39.05
512,estimates,5yearly,2005,40.296
512,estimates,5yearly,2010,50.836
512,constantfertility,5yearly,2015,62.257
512,constantmortality,5yearly,2015,68.649
512,highvariant,5yearly,2015,62.179
512,instantreplacement,5yearly,2015,61.462
512,lowvariant,5yearly,2015,61.655
512,mediumvariant,5yearly,2015,61.917
512,nochange,5yearly,2015,69.069
512,zeromigration,5yearly,2015,62.552
512,constantfertility,5yearly,2020,70.738
512,constantmortality,5yearly,2020,84.918
512,highvariant,5yearly,2020,70.579
512,instantreplacement,5yearly,2020,69.925
512,lowvariant,5yearly,2020,69.758
512,mediumvariant,5yearly,2020,70.169
512,nochange,5yearly,2020,85.719
512,zeromigration,5yearly,2020,72.44
512,constantfertility,5yearly,2025,81.914
512,constantmortality,5yearly,2025,105.637
512,highvariant,5yearly,2025,81.643
512,instantreplacement,5yearly,2025,81.08
512,lowvariant,5yearly,2025,80.679
512,mediumvariant,5yearly,2025,81.162
512,nochange,5yearly,2025,106.829
512,zeromigration,5yearly,2025,86.014
512,constantfertility,5yearly,2030,96.915
512,constantmortality,5yearly,2030,132.386
512,highvariant,5yearly,2030,96.474
512,instantreplacement,5yearly,2030,95.98
512,lowvariant,5yearly,2030,95.465
512,mediumvariant,5yearly,2030,95.969
512,nochange,5yearly,2030,134.054
512,zeromigration,5yearly,2030,104.665
512,constantfertility,5yearly,2035,114.984
512,constantmortality,5yearly,2035,164.718
512,highvariant,5yearly,2035,114.403
512,instantreplacement,5yearly,2035,113.844
512,lowvariant,5yearly,2035,113.212
512,mediumvariant,5yearly,2035,113.805
512,nochange,5yearly,2035,167.027
512,zeromigration,5yearly,2035,127.803
512,constantfertility,5yearly,2040,136.229
512,constantmortality,5yearly,2040,201.743
512,highvariant,5yearly,2040,135.517
512,instantreplacement,5yearly,2040,134.832
512,lowvariant,5yearly,2040,134.064
512,mediumvariant,5yearly,2040,134.78
512,nochange,5yearly,2040,204.898
512,zeromigration,5yearly,2040,155.849
512,constantfertility,5yearly,2045,161.924
512,constantmortality,5yearly,2045,243.068
512,highvariant,5yearly,2045,161.079
512,instantreplacement,5yearly,2045,160.239
512,lowvariant,5yearly,2045,159.342
512,mediumvariant,5yearly,2045,160.182
512,nochange,5yearly,2045,247.247
512,zeromigration,5yearly,2045,190.488
512,constantfertility,5yearly,2050,191.889
512,constantmortality,5yearly,2050,284.48
512,highvariant,5yearly,2050,190.882
512,instantreplacement,5yearly,2050,189.918
512,lowvariant,5yearly,2050,188.892
512,mediumvariant,5yearly,2050,189.84
512,nochange,5yearly,2050,289.831
512,zeromigration,5yearly,2050,231.794
512,constantfertility,5yearly,2055,225.596
512,constantmortality,5yearly,2055,321.68
512,highvariant,5yearly,2055,224.382
512,instantreplacement,5yearly,2055,223.312
512,lowvariant,5yearly,2055,222.153
512,mediumvariant,5yearly,2055,223.202
512,nochange,5yearly,2055,328.426
