variant,continent,year,crudedeathrateper1000population
estimates,905,1950,9.577
estimates,905,1951,9.547
estimates,905,1952,9.491
estimates,905,1953,9.44
estimates,905,1954,9.396
estimates,905,1955,9.358
estimates,905,1956,9.327
estimates,905,1957,9.302
estimates,905,1958,9.284
estimates,905,1959,9.274
estimates,905,1960,9.272
estimates,905,1961,9.278
estimates,905,1962,9.292
estimates,905,1963,9.311
estimates,905,1964,9.334
estimates,905,1965,9.356
estimates,905,1966,9.375
estimates,905,1967,9.386
estimates,905,1968,9.386
estimates,905,1969,9.373
estimates,905,1970,9.343
estimates,905,1971,9.291
estimates,905,1972,9.219
estimates,905,1973,9.131
estimates,905,1974,9.032
estimates,905,1975,8.929
estimates,905,1976,8.833
estimates,905,1977,8.748
estimates,905,1978,8.683
estimates,905,1979,8.638
estimates,905,1980,8.617
estimates,905,1981,8.617
estimates,905,1982,8.632
estimates,905,1983,8.655
estimates,905,1984,8.682
estimates,905,1985,8.707
estimates,905,1986,8.727
estimates,905,1987,8.739
estimates,905,1988,8.742
estimates,905,1989,8.735
estimates,905,1990,8.718
estimates,905,1991,8.693
estimates,905,1992,8.665
estimates,905,1993,8.635
estimates,905,1994,8.606
estimates,905,1995,8.579
estimates,905,1996,8.556
estimates,905,1997,8.535
estimates,905,1998,8.515
estimates,905,1999,8.495
estimates,905,2000,8.471
estimates,905,2001,8.438
estimates,905,2002,8.394
estimates,905,2003,8.34
estimates,905,2004,8.277
estimates,905,2005,8.212
estimates,905,2006,8.152
estimates,905,2007,8.103
estimates,905,2008,8.069
estimates,905,2009,8.054
estimates,905,2010,8.056
estimates,905,2011,8.072
estimates,905,2012,8.098
estimates,905,2013,8.128
estimates,905,2014,8.159
estimates,905,2015,8.19
medium_variant,905,2015,8.19
medium_variant,905,2016,8.219
medium_variant,905,2017,8.248
medium_variant,905,2018,8.278
medium_variant,905,2019,8.307
medium_variant,905,2020,8.339
medium_variant,905,2021,8.371
medium_variant,905,2022,8.407
medium_variant,905,2023,8.447
medium_variant,905,2024,8.492
medium_variant,905,2025,8.543
medium_variant,905,2026,8.6
medium_variant,905,2027,8.664
medium_variant,905,2028,8.733
medium_variant,905,2029,8.809
medium_variant,905,2030,8.89
medium_variant,905,2031,8.977
medium_variant,905,2032,9.068
medium_variant,905,2033,9.163
medium_variant,905,2034,9.26
medium_variant,905,2035,9.358
medium_variant,905,2036,9.457
medium_variant,905,2037,9.554
medium_variant,905,2038,9.65
medium_variant,905,2039,9.743
medium_variant,905,2040,9.83
medium_variant,905,2041,9.911
medium_variant,905,2042,9.986
medium_variant,905,2043,10.053
medium_variant,905,2044,10.113
medium_variant,905,2045,10.163
medium_variant,905,2046,10.204
medium_variant,905,2047,10.236
medium_variant,905,2048,10.258
medium_variant,905,2049,10.272
medium_variant,905,2050,10.277
medium_variant,905,2051,10.273
medium_variant,905,2052,10.259
medium_variant,905,2053,10.236
medium_variant,905,2054,10.207
medium_variant,905,2055,10.172
medium_variant,905,2056,10.131
medium_variant,905,2057,10.086
medium_variant,905,2058,10.038
medium_variant,905,2059,9.99
medium_variant,905,2060,9.943
medium_variant,905,2061,9.898
medium_variant,905,2062,9.855
medium_variant,905,2063,9.817
medium_variant,905,2064,9.784
medium_variant,905,2065,9.758
medium_variant,905,2066,9.741
medium_variant,905,2067,9.732
medium_variant,905,2068,9.732
medium_variant,905,2069,9.741
medium_variant,905,2070,9.758
medium_variant,905,2071,9.783
medium_variant,905,2072,9.814
medium_variant,905,2073,9.85
medium_variant,905,2074,9.89
medium_variant,905,2075,9.932
medium_variant,905,2076,9.975
medium_variant,905,2077,10.02
medium_variant,905,2078,10.065
medium_variant,905,2079,10.109
medium_variant,905,2080,10.15
medium_variant,905,2081,10.187
medium_variant,905,2082,10.22
medium_variant,905,2083,10.247
medium_variant,905,2084,10.269
medium_variant,905,2085,10.285
medium_variant,905,2086,10.292
medium_variant,905,2087,10.293
medium_variant,905,2088,10.287
medium_variant,905,2089,10.276
medium_variant,905,2090,10.26
medium_variant,905,2091,10.242
medium_variant,905,2092,10.22
medium_variant,905,2093,10.198
medium_variant,905,2094,10.175
medium_variant,905,2095,10.153
medium_variant,905,2096,10.131
medium_variant,905,2097,10.109
medium_variant,905,2098,10.088
medium_variant,905,2099,10.068
