variant,continent,year,crudedeathrateper1000population
estimates,909,1950,12.314
estimates,909,1951,12.181
estimates,909,1952,11.926
estimates,909,1953,11.691
estimates,909,1954,11.477
estimates,909,1955,11.283
estimates,909,1956,11.109
estimates,909,1957,10.954
estimates,909,1958,10.817
estimates,909,1959,10.696
estimates,909,1960,10.589
estimates,909,1961,10.492
estimates,909,1962,10.401
estimates,909,1963,10.313
estimates,909,1964,10.222
estimates,909,1965,10.127
estimates,909,1966,10.023
estimates,909,1967,9.912
estimates,909,1968,9.794
estimates,909,1969,9.668
estimates,909,1970,9.533
estimates,909,1971,9.391
estimates,909,1972,9.243
estimates,909,1973,9.092
estimates,909,1974,8.941
estimates,909,1975,8.791
estimates,909,1976,8.645
estimates,909,1977,8.504
estimates,909,1978,8.37
estimates,909,1979,8.246
estimates,909,1980,8.136
estimates,909,1981,8.044
estimates,909,1982,7.97
estimates,909,1983,7.912
estimates,909,1984,7.868
estimates,909,1985,7.832
estimates,909,1986,7.796
estimates,909,1987,7.754
estimates,909,1988,7.703
estimates,909,1989,7.642
estimates,909,1990,7.573
estimates,909,1991,7.502
estimates,909,1992,7.436
estimates,909,1993,7.379
estimates,909,1994,7.332
estimates,909,1995,7.292
estimates,909,1996,7.257
estimates,909,1997,7.219
estimates,909,1998,7.177
estimates,909,1999,7.129
estimates,909,2000,7.075
estimates,909,2001,7.017
estimates,909,2002,6.957
estimates,909,2003,6.899
estimates,909,2004,6.846
estimates,909,2005,6.799
estimates,909,2006,6.76
estimates,909,2007,6.729
estimates,909,2008,6.706
estimates,909,2009,6.69
estimates,909,2010,6.682
estimates,909,2011,6.68
estimates,909,2012,6.684
estimates,909,2013,6.691
estimates,909,2014,6.701
estimates,909,2015,6.712
medium_variant,909,2015,6.712
medium_variant,909,2016,6.723
medium_variant,909,2017,6.734
medium_variant,909,2018,6.744
medium_variant,909,2019,6.755
medium_variant,909,2020,6.766
medium_variant,909,2021,6.781
medium_variant,909,2022,6.799
medium_variant,909,2023,6.822
medium_variant,909,2024,6.852
medium_variant,909,2025,6.888
medium_variant,909,2026,6.931
medium_variant,909,2027,6.98
medium_variant,909,2028,7.034
medium_variant,909,2029,7.092
medium_variant,909,2030,7.155
medium_variant,909,2031,7.223
medium_variant,909,2032,7.294
medium_variant,909,2033,7.369
medium_variant,909,2034,7.446
medium_variant,909,2035,7.523
medium_variant,909,2036,7.601
medium_variant,909,2037,7.678
medium_variant,909,2038,7.754
medium_variant,909,2039,7.826
medium_variant,909,2040,7.896
medium_variant,909,2041,7.962
medium_variant,909,2042,8.024
medium_variant,909,2043,8.084
medium_variant,909,2044,8.14
medium_variant,909,2045,8.192
medium_variant,909,2046,8.241
medium_variant,909,2047,8.287
medium_variant,909,2048,8.329
medium_variant,909,2049,8.367
medium_variant,909,2050,8.403
medium_variant,909,2051,8.435
medium_variant,909,2052,8.465
medium_variant,909,2053,8.492
medium_variant,909,2054,8.516
medium_variant,909,2055,8.539
medium_variant,909,2056,8.559
medium_variant,909,2057,8.579
medium_variant,909,2058,8.597
medium_variant,909,2059,8.614
medium_variant,909,2060,8.631
medium_variant,909,2061,8.648
medium_variant,909,2062,8.665
medium_variant,909,2063,8.682
medium_variant,909,2064,8.7
medium_variant,909,2065,8.719
medium_variant,909,2066,8.74
medium_variant,909,2067,8.764
medium_variant,909,2068,8.79
medium_variant,909,2069,8.819
medium_variant,909,2070,8.85
medium_variant,909,2071,8.885
medium_variant,909,2072,8.923
medium_variant,909,2073,8.963
medium_variant,909,2074,9.004
medium_variant,909,2075,9.046
medium_variant,909,2076,9.088
medium_variant,909,2077,9.13
medium_variant,909,2078,9.171
medium_variant,909,2079,9.21
medium_variant,909,2080,9.245
medium_variant,909,2081,9.276
medium_variant,909,2082,9.304
medium_variant,909,2083,9.327
medium_variant,909,2084,9.346
medium_variant,909,2085,9.362
medium_variant,909,2086,9.373
medium_variant,909,2087,9.382
medium_variant,909,2088,9.388
medium_variant,909,2089,9.394
medium_variant,909,2090,9.399
medium_variant,909,2091,9.404
medium_variant,909,2092,9.41
medium_variant,909,2093,9.418
medium_variant,909,2094,9.428
medium_variant,909,2095,9.439
medium_variant,909,2096,9.453
medium_variant,909,2097,9.469
medium_variant,909,2098,9.487
medium_variant,909,2099,9.508
