variant,continent,year,crudedeathrateper1000population
estimates,908,1950,11.662
estimates,908,1951,11.527
estimates,908,1952,11.266
estimates,908,1953,11.022
estimates,908,1954,10.796
estimates,908,1955,10.588
estimates,908,1956,10.398
estimates,908,1957,10.228
estimates,908,1958,10.077
estimates,908,1959,9.949
estimates,908,1960,9.846
estimates,908,1961,9.77
estimates,908,1962,9.723
estimates,908,1963,9.703
estimates,908,1964,9.709
estimates,908,1965,9.737
estimates,908,1966,9.781
estimates,908,1967,9.837
estimates,908,1968,9.899
estimates,908,1969,9.962
estimates,908,1970,10.025
estimates,908,1971,10.087
estimates,908,1972,10.149
estimates,908,1973,10.213
estimates,908,1974,10.277
estimates,908,1975,10.343
estimates,908,1976,10.41
estimates,908,1977,10.478
estimates,908,1978,10.546
estimates,908,1979,10.611
estimates,908,1980,10.665
estimates,908,1981,10.702
estimates,908,1982,10.718
estimates,908,1983,10.715
estimates,908,1984,10.697
estimates,908,1985,10.676
estimates,908,1986,10.666
estimates,908,1987,10.678
estimates,908,1988,10.718
estimates,908,1989,10.789
estimates,908,1990,10.886
estimates,908,1991,11
estimates,908,1992,11.118
estimates,908,1993,11.228
estimates,908,1994,11.325
estimates,908,1995,11.405
estimates,908,1996,11.471
estimates,908,1997,11.525
estimates,908,1998,11.572
estimates,908,1999,11.609
estimates,908,2000,11.633
estimates,908,2001,11.642
estimates,908,2002,11.632
estimates,908,2003,11.604
estimates,908,2004,11.558
estimates,908,2005,11.496
estimates,908,2006,11.418
estimates,908,2007,11.329
estimates,908,2008,11.236
estimates,908,2009,11.145
estimates,908,2010,11.066
estimates,908,2011,11.008
estimates,908,2012,10.974
estimates,908,2013,10.967
estimates,908,2014,10.985
estimates,908,2015,11.025
medium_variant,908,2015,11.025
medium_variant,908,2016,11.08
medium_variant,908,2017,11.142
medium_variant,908,2018,11.202
medium_variant,908,2019,11.256
medium_variant,908,2020,11.303
medium_variant,908,2021,11.343
medium_variant,908,2022,11.38
medium_variant,908,2023,11.418
medium_variant,908,2024,11.456
medium_variant,908,2025,11.498
medium_variant,908,2026,11.542
medium_variant,908,2027,11.591
medium_variant,908,2028,11.643
medium_variant,908,2029,11.701
medium_variant,908,2030,11.764
medium_variant,908,2031,11.833
medium_variant,908,2032,11.908
medium_variant,908,2033,11.988
medium_variant,908,2034,12.072
medium_variant,908,2035,12.16
medium_variant,908,2036,12.25
medium_variant,908,2037,12.341
medium_variant,908,2038,12.433
medium_variant,908,2039,12.523
medium_variant,908,2040,12.61
medium_variant,908,2041,12.694
medium_variant,908,2042,12.774
medium_variant,908,2043,12.851
medium_variant,908,2044,12.924
medium_variant,908,2045,12.991
medium_variant,908,2046,13.053
medium_variant,908,2047,13.11
medium_variant,908,2048,13.162
medium_variant,908,2049,13.209
medium_variant,908,2050,13.251
medium_variant,908,2051,13.289
medium_variant,908,2052,13.323
medium_variant,908,2053,13.353
medium_variant,908,2054,13.379
medium_variant,908,2055,13.402
medium_variant,908,2056,13.42
medium_variant,908,2057,13.433
medium_variant,908,2058,13.442
medium_variant,908,2059,13.445
medium_variant,908,2060,13.442
medium_variant,908,2061,13.434
medium_variant,908,2062,13.419
medium_variant,908,2063,13.399
medium_variant,908,2064,13.374
medium_variant,908,2065,13.344
medium_variant,908,2066,13.308
medium_variant,908,2067,13.269
medium_variant,908,2068,13.225
medium_variant,908,2069,13.177
medium_variant,908,2070,13.125
medium_variant,908,2071,13.069
medium_variant,908,2072,13.008
medium_variant,908,2073,12.943
medium_variant,908,2074,12.874
medium_variant,908,2075,12.8
medium_variant,908,2076,12.722
medium_variant,908,2077,12.64
medium_variant,908,2078,12.555
medium_variant,908,2079,12.467
medium_variant,908,2080,12.377
medium_variant,908,2081,12.286
medium_variant,908,2082,12.194
medium_variant,908,2083,12.103
medium_variant,908,2084,12.014
medium_variant,908,2085,11.928
medium_variant,908,2086,11.847
medium_variant,908,2087,11.772
medium_variant,908,2088,11.702
medium_variant,908,2089,11.64
medium_variant,908,2090,11.586
medium_variant,908,2091,11.54
medium_variant,908,2092,11.503
medium_variant,908,2093,11.475
medium_variant,908,2094,11.456
medium_variant,908,2095,11.444
medium_variant,908,2096,11.442
medium_variant,908,2097,11.448
medium_variant,908,2098,11.462
medium_variant,908,2099,11.485
