variant,continent,year,crudedeathrateper1000population
estimates,903,1950,27.858
estimates,903,1951,27.59
estimates,903,1952,27.059
estimates,903,1953,26.54
estimates,903,1954,26.032
estimates,903,1955,25.537
estimates,903,1956,25.053
estimates,903,1957,24.581
estimates,903,1958,24.121
estimates,903,1959,23.674
estimates,903,1960,23.24
estimates,903,1961,22.82
estimates,903,1962,22.413
estimates,903,1963,22.02
estimates,903,1964,21.639
estimates,903,1965,21.27
estimates,903,1966,20.913
estimates,903,1967,20.565
estimates,903,1968,20.225
estimates,903,1969,19.891
estimates,903,1970,19.561
estimates,903,1971,19.234
estimates,903,1972,18.908
estimates,903,1973,18.584
estimates,903,1974,18.262
estimates,903,1975,17.943
estimates,903,1976,17.628
estimates,903,1977,17.318
estimates,903,1978,17.017
estimates,903,1979,16.725
estimates,903,1980,16.442
estimates,903,1981,16.167
estimates,903,1982,15.9
estimates,903,1983,15.642
estimates,903,1984,15.397
estimates,903,1985,15.173
estimates,903,1986,14.979
estimates,903,1987,14.819
estimates,903,1988,14.692
estimates,903,1989,14.593
estimates,903,1990,14.517
estimates,903,1991,14.451
estimates,903,1992,14.384
estimates,903,1993,14.306
estimates,903,1994,14.21
estimates,903,1995,14.095
estimates,903,1996,13.965
estimates,903,1997,13.825
estimates,903,1998,13.677
estimates,903,1999,13.518
estimates,903,2000,13.34
estimates,903,2001,13.133
estimates,903,2002,12.891
estimates,903,2003,12.611
estimates,903,2004,12.298
estimates,903,2005,11.956
estimates,903,2006,11.594
estimates,903,2007,11.224
estimates,903,2008,10.858
estimates,903,2009,10.506
estimates,903,2010,10.174
estimates,903,2011,9.866
estimates,903,2012,9.581
estimates,903,2013,9.316
estimates,903,2014,9.074
estimates,903,2015,8.854
medium_variant,903,2015,8.854
medium_variant,903,2016,8.655
medium_variant,903,2017,8.474
medium_variant,903,2018,8.309
medium_variant,903,2019,8.156
medium_variant,903,2020,8.013
medium_variant,903,2021,7.88
medium_variant,903,2022,7.753
medium_variant,903,2023,7.634
medium_variant,903,2024,7.519
medium_variant,903,2025,7.409
medium_variant,903,2026,7.303
medium_variant,903,2027,7.203
medium_variant,903,2028,7.107
medium_variant,903,2029,7.017
medium_variant,903,2030,6.932
medium_variant,903,2031,6.852
medium_variant,903,2032,6.778
medium_variant,903,2033,6.708
medium_variant,903,2034,6.643
medium_variant,903,2035,6.583
medium_variant,903,2036,6.527
medium_variant,903,2037,6.476
medium_variant,903,2038,6.429
medium_variant,903,2039,6.386
medium_variant,903,2040,6.347
medium_variant,903,2041,6.311
medium_variant,903,2042,6.279
medium_variant,903,2043,6.251
medium_variant,903,2044,6.226
medium_variant,903,2045,6.204
medium_variant,903,2046,6.185
medium_variant,903,2047,6.169
medium_variant,903,2048,6.156
medium_variant,903,2049,6.146
medium_variant,903,2050,6.139
medium_variant,903,2051,6.135
medium_variant,903,2052,6.135
medium_variant,903,2053,6.138
medium_variant,903,2054,6.143
medium_variant,903,2055,6.152
medium_variant,903,2056,6.164
medium_variant,903,2057,6.179
medium_variant,903,2058,6.196
medium_variant,903,2059,6.216
medium_variant,903,2060,6.239
medium_variant,903,2061,6.264
medium_variant,903,2062,6.291
medium_variant,903,2063,6.319
medium_variant,903,2064,6.35
medium_variant,903,2065,6.382
medium_variant,903,2066,6.416
medium_variant,903,2067,6.451
medium_variant,903,2068,6.489
medium_variant,903,2069,6.527
medium_variant,903,2070,6.567
medium_variant,903,2071,6.609
medium_variant,903,2072,6.652
medium_variant,903,2073,6.696
medium_variant,903,2074,6.742
medium_variant,903,2075,6.788
medium_variant,903,2076,6.835
medium_variant,903,2077,6.883
medium_variant,903,2078,6.932
medium_variant,903,2079,6.982
medium_variant,903,2080,7.033
medium_variant,903,2081,7.084
medium_variant,903,2082,7.137
medium_variant,903,2083,7.191
medium_variant,903,2084,7.246
medium_variant,903,2085,7.302
medium_variant,903,2086,7.359
medium_variant,903,2087,7.417
medium_variant,903,2088,7.476
medium_variant,903,2089,7.535
medium_variant,903,2090,7.596
medium_variant,903,2091,7.656
medium_variant,903,2092,7.718
medium_variant,903,2093,7.779
medium_variant,903,2094,7.841
medium_variant,903,2095,7.904
medium_variant,903,2096,7.967
medium_variant,903,2097,8.03
medium_variant,903,2098,8.094
medium_variant,903,2099,8.158
