country,variant,year,childdependencyratio2564
446,estimates,1950,94.9620929209425
446,estimates,1955,93.8592987128274
446,estimates,1960,113.247112672308
446,estimates,1965,153.172269184613
446,estimates,1970,188.820968218046
446,estimates,1975,152.211155159728
446,estimates,1980,115.778623685195
446,estimates,1985,95.0246880202627
446,estimates,1990,79.4704642929719
446,estimates,1995,72.205078962579
446,estimates,2000,67.6409955585352
446,estimates,2005,55.9517263438599
446,estimates,2010,47.1175544359801
446,constantfertility,2015,39.5935733956329
446,constantmortality,2015,39.5935733956329
446,estimates,2015,39.5935733956329
446,highvariant,2015,39.5935733956329
446,instantreplacement,2015,39.5935733956329
446,lowvariant,2015,39.5935733956329
446,mediumvariant,2015,39.5935733956329
446,nochange,2015,39.5935733956329
446,zeromigration,2015,39.5935733956329
446,constantfertility,2020,36.6543249769981
446,constantmortality,2020,37.5996186891699
446,highvariant,2020,39.2127794455366
446,instantreplacement,2020,42.337340065762
446,lowvariant,2020,35.9303504431415
446,mediumvariant,2020,37.5714416096655
446,nochange,2020,36.6821512450638
446,zeromigration,2020,36.0924450356197
446,constantfertility,2025,37.5185065348903
446,constantmortality,2025,40.2924521574924
446,highvariant,2025,44.3176358698317
446,instantreplacement,2025,48.7143473443735
446,lowvariant,2025,36.1080879685462
446,mediumvariant,2025,40.212861919189
446,nochange,2025,37.5946338692743
446,zeromigration,2025,38.3286317817768
446,constantfertility,2030,40.4864935416991
446,constantmortality,2030,45.8678645333872
446,highvariant,2030,52.7971747129784
446,instantreplacement,2030,57.3962982113544
446,lowvariant,2030,38.6222960728109
446,mediumvariant,2030,45.7096098915166
446,nochange,2030,40.6319083430071
446,zeromigration,2030,44.2042120551924
446,constantfertility,2035,41.437290705756
446,constantmortality,2035,49.5672865029565
446,highvariant,2035,59.0962279648701
446,instantreplacement,2035,63.452581032413
446,lowvariant,2035,39.5329500221141
446,mediumvariant,2035,49.312693498452
446,nochange,2035,41.6597243983155
446,zeromigration,2035,47.8729438457175
446,constantfertility,2040,38.6952008185729
446,constantmortality,2040,49.3936230021685
446,highvariant,2040,61.3795535598979
446,instantreplacement,2040,65.3412872654302
446,lowvariant,2040,36.8236094692191
446,mediumvariant,2040,49.0651977389905
446,nochange,2040,38.9634868685246
446,zeromigration,2040,46.4941338630032
446,constantfertility,2045,36.3790404766897
446,constantmortality,2045,48.5393247422302
446,highvariant,2045,60.747570206583
446,instantreplacement,2045,59.6431646969463
446,lowvariant,2045,35.4414527238572
446,mediumvariant,2045,48.1291226713702
446,nochange,2045,36.7032027555261
446,zeromigration,2045,44.5320981886262
446,constantfertility,2050,36.4948170350943
446,constantmortality,2050,49.9633475418171
446,highvariant,2050,62.3176487080043
446,instantreplacement,2050,59.157627038822
446,lowvariant,2050,36.5315121258965
446,mediumvariant,2050,49.4969755319563
446,nochange,2050,36.8641187451808
446,zeromigration,2050,45.9291051056325
446,constantfertility,2055,38.1756712555311
446,constantmortality,2055,53.0409980556375
446,highvariant,2055,65.8543601259172
446,instantreplacement,2055,61.9689942492923
446,lowvariant,2055,39.1759839893262
446,mediumvariant,2055,52.5453385718505
446,nochange,2055,38.5727889853592
446,zeromigration,2055,50.543189273648
446,constantfertility,2060,39.6256630967871
446,constantmortality,2060,56.0435935497786
446,highvariant,2060,69.9408663826068
446,instantreplacement,2060,65.46645812523
446,lowvariant,2060,41.3034534364551
446,mediumvariant,2060,55.5264431834628
446,nochange,2060,40.0440383133326
446,zeromigration,2060,55.6129239013838
446,constantfertility,2065,39.7200562618635
446,constantmortality,2065,57.6239700374532
446,highvariant,2065,72.4404919434742
446,instantreplacement,2065,67.1160801672512
446,lowvariant,2065,42.1365357483424
446,mediumvariant,2065,57.0728262122375
446,nochange,2065,40.1639002128755
446,zeromigration,2065,57.8930436061475
446,constantfertility,2070,38.3634910606772
446,constantmortality,2070,57.2839559667126
446,highvariant,2070,72.2051301022033
446,instantreplacement,2070,65.6282310004721
446,lowvariant,2070,41.6226590959857
446,mediumvariant,2070,56.6627978844366
446,nochange,2070,38.8530290037692
446,zeromigration,2070,56.2548566058876
446,constantfertility,2075,37.0349424358716
446,constantmortality,2075,56.3967343747091
446,highvariant,2075,70.7389576337635
446,instantreplacement,2075,62.9306323840423
446,lowvariant,2075,41.0749489278281
446,mediumvariant,2075,55.7028839765933
446,nochange,2075,37.5720646824467
446,zeromigration,2075,53.8533222754309
446,constantfertility,2080,36.9734126333744
446,constantmortality,2080,56.3200337999192
446,highvariant,2080,69.8134455443369
446,instantreplacement,2080,61.0181960071166
446,lowvariant,2080,41.6541285337738
446,mediumvariant,2080,55.5868801319517
446,nochange,2080,37.5326088194753
446,zeromigration,2080,53.4599566702163
446,constantfertility,2085,37.3434198829329
446,constantmortality,2085,56.7527902677288
446,highvariant,2085,70.1498525866275
446,instantreplacement,2085,61.8589857682916
446,lowvariant,2085,42.1837141631598
446,mediumvariant,2085,55.9964226361701
446,nochange,2085,37.9175935003658
446,zeromigration,2085,54.2505945388384
446,constantfertility,2090,37.7787372606165
446,constantmortality,2090,57.6000218564803
446,highvariant,2090,71.3718346408655
446,instantreplacement,2090,63.077838685523
446,lowvariant,2090,42.7361470847978
446,mediumvariant,2090,56.8276284025085
446,nochange,2090,38.3628255902044
446,zeromigration,2090,56.083925839931
446,constantfertility,2095,37.8390673693788
446,constantmortality,2095,58.3567915505088
446,highvariant,2095,72.6658485888157
446,instantreplacement,2095,64.0584872907841
446,lowvariant,2095,43.0172483992677
446,mediumvariant,2095,57.5663057470859
446,nochange,2095,38.4369868767741
446,zeromigration,2095,57.6924657815775
446,constantfertility,2100,37.4715471966836
446,constantmortality,2100,58.59062481761
446,highvariant,2100,73.1022125573406
446,instantreplacement,2100,64.0690550822392
446,lowvariant,2100,43.0153538685066
446,mediumvariant,2100,57.774754800974
446,nochange,2100,38.0903742842832
446,zeromigration,2100,57.9876030696171
