variant,country,year,childdependencyratio2564
estimates,104,1950,127.209
estimates,104,1951,128.08
estimates,104,1952,129.437
estimates,104,1953,130.293
estimates,104,1954,130.587
estimates,104,1955,130.698
estimates,104,1956,132.8
estimates,104,1957,133.977
estimates,104,1958,134.911
estimates,104,1959,136.077
estimates,104,1960,137.576
estimates,104,1961,139.123
estimates,104,1962,141.126
estimates,104,1963,143.378
estimates,104,1964,145.565
estimates,104,1965,147.608
estimates,104,1966,150.456
estimates,104,1967,153.086
estimates,104,1968,155.532
estimates,104,1969,157.889
estimates,104,1970,160.159
estimates,104,1971,163.154
estimates,104,1972,165.796
estimates,104,1973,167.945
estimates,104,1974,169.352
estimates,104,1975,169.889
estimates,104,1976,170.082
estimates,104,1977,169.453
estimates,104,1978,168.236
estimates,104,1979,166.749
estimates,104,1980,165.202
estimates,104,1981,164.248
estimates,104,1982,163.144
estimates,104,1983,161.859
estimates,104,1984,160.292
estimates,104,1985,158.375
estimates,104,1986,156.878
estimates,104,1987,154.856
estimates,104,1988,152.449
estimates,104,1989,149.823
estimates,104,1990,147.061
estimates,104,1991,144.122
estimates,104,1992,141.264
estimates,104,1993,138.445
estimates,104,1994,135.627
estimates,104,1995,132.842
estimates,104,1996,130.262
estimates,104,1997,127.703
estimates,104,1998,125.147
estimates,104,1999,122.581
estimates,104,2000,120.001
estimates,104,2001,117.642
estimates,104,2002,115.305
estimates,104,2003,113.001
estimates,104,2004,110.686
estimates,104,2005,108.339
estimates,104,2006,105.613
estimates,104,2007,102.87
estimates,104,2008,100.313
estimates,104,2009,98.108
estimates,104,2010,96.287
estimates,104,2011,94.514
estimates,104,2012,92.899
estimates,104,2013,91.368
estimates,104,2014,89.83
estimates,104,2015,88.258
medium_variant,104,2015,88.258
medium_variant,104,2016,86.639
medium_variant,104,2017,85.025
medium_variant,104,2018,83.404
medium_variant,104,2019,81.772
medium_variant,104,2020,80.131
medium_variant,104,2021,78.814
medium_variant,104,2022,77.4
medium_variant,104,2023,75.92
medium_variant,104,2024,74.403
medium_variant,104,2025,72.862
medium_variant,104,2026,71.408
medium_variant,104,2027,69.923
medium_variant,104,2028,68.453
medium_variant,104,2029,67.043
medium_variant,104,2030,65.726
medium_variant,104,2031,64.645
medium_variant,104,2032,63.635
medium_variant,104,2033,62.704
medium_variant,104,2034,61.864
medium_variant,104,2035,61.116
medium_variant,104,2036,60.592
medium_variant,104,2037,60.139
medium_variant,104,2038,59.731
medium_variant,104,2039,59.325
medium_variant,104,2040,58.895
medium_variant,104,2041,58.566
medium_variant,104,2042,58.201
medium_variant,104,2043,57.801
medium_variant,104,2044,57.376
medium_variant,104,2045,56.931
medium_variant,104,2046,56.595
medium_variant,104,2047,56.221
medium_variant,104,2048,55.814
medium_variant,104,2049,55.379
medium_variant,104,2050,54.921
medium_variant,104,2051,54.572
medium_variant,104,2052,54.194
medium_variant,104,2053,53.791
medium_variant,104,2054,53.364
medium_variant,104,2055,52.917
medium_variant,104,2056,52.592
medium_variant,104,2057,52.236
medium_variant,104,2058,51.866
medium_variant,104,2059,51.5
medium_variant,104,2060,51.15
medium_variant,104,2061,50.934
medium_variant,104,2062,50.722
medium_variant,104,2063,50.518
medium_variant,104,2064,50.326
medium_variant,104,2065,50.15
medium_variant,104,2066,50.105
medium_variant,104,2067,50.061
medium_variant,104,2068,50.023
medium_variant,104,2069,49.996
medium_variant,104,2070,49.985
medium_variant,104,2071,50.095
medium_variant,104,2072,50.205
medium_variant,104,2073,50.305
medium_variant,104,2074,50.379
medium_variant,104,2075,50.418
medium_variant,104,2076,50.531
medium_variant,104,2077,50.602
medium_variant,104,2078,50.63
medium_variant,104,2079,50.613
medium_variant,104,2080,50.55
medium_variant,104,2081,50.552
medium_variant,104,2082,50.499
medium_variant,104,2083,50.404
medium_variant,104,2084,50.284
medium_variant,104,2085,50.15
medium_variant,104,2086,50.104
medium_variant,104,2087,50.034
medium_variant,104,2088,49.946
medium_variant,104,2089,49.846
medium_variant,104,2090,49.737
medium_variant,104,2091,49.725
medium_variant,104,2092,49.695
medium_variant,104,2093,49.652
medium_variant,104,2094,49.606
medium_variant,104,2095,49.56
medium_variant,104,2096,49.605
medium_variant,104,2097,49.641
medium_variant,104,2098,49.669
medium_variant,104,2099,49.689
medium_variant,104,2100,49.7
high_variant,104,2015,92.0856453227808
low_variant,104,2015,92.0856453227808
constant_fertility,104,2015,92.0856453227808
instant_replacement,104,2015,92.0856453227808
zero_migration,104,2015,92.0856453227808
constant_mortality,104,2015,92.0856453227808
no_change,104,2015,92.0856453227808
high_variant,104,2020,86.6505660903099
low_variant,104,2020,82.9661688465083
constant_fertility,104,2020,85.6762487848026
instant_replacement,104,2020,85.3041827791808
zero_migration,104,2020,84.7973869629235
constant_mortality,104,2020,84.7937134379914
no_change,104,2020,85.6585035313337
high_variant,104,2025,82.0166227967342
low_variant,104,2025,72.8243191656924
constant_fertility,104,2025,79.7952858484325
instant_replacement,104,2025,78.9437506681743
zero_migration,104,2025,77.3754391107232
constant_mortality,104,2025,77.3657017967638
no_change,104,2025,79.7273788009372
high_variant,104,2030,77.8854382437596
low_variant,104,2030,62.2493286199334
constant_fertility,104,2030,74.370278849375
instant_replacement,104,2030,72.9885257853158
zero_migration,104,2030,69.9977188793768
constant_mortality,104,2030,69.9371387484818
no_change,104,2030,74.210960300071
high_variant,104,2035,76.5076897643455
low_variant,104,2035,54.6126747932624
constant_fertility,104,2035,72.1135833259023
instant_replacement,104,2035,70.1606679518881
zero_migration,104,2035,65.4757409886778
constant_mortality,104,2035,65.3167576573559
no_change,104,2035,71.8269791490343
high_variant,104,2040,77.8028158114885
low_variant,104,2040,49.3490864070501
constant_fertility,104,2040,72.7281930695322
instant_replacement,104,2040,70.080244665553
zero_migration,104,2040,63.4403067048612
constant_mortality,104,2040,63.1707257206144
no_change,104,2040,72.3007312321906
high_variant,104,2045,77.1688286944819
low_variant,104,2045,46.3243071642317
constant_fertility,104,2045,72.8551770383021
instant_replacement,104,2045,69.824378807071
zero_migration,104,2045,61.6779870622373
constant_mortality,104,2045,61.3612953484526
no_change,104,2045,72.3398622078401
high_variant,104,2050,75.3498688990809
low_variant,104,2050,44.0919397937771
constant_fertility,104,2050,72.2028819918145
instant_replacement,104,2050,68.8129059426199
zero_migration,104,2050,59.7100163267935
constant_mortality,104,2050,59.3817109568222
no_change,104,2050,71.6334812056843
high_variant,104,2055,73.0783568651803
low_variant,104,2055,42.2325621671748
constant_fertility,104,2055,71.0530643238233
instant_replacement,104,2055,67.3047156601507
