variant,country,year,childdependencyratio2564
estimates,854,1950,154.118
estimates,854,1951,154.409
estimates,854,1952,154.563
estimates,854,1953,154.612
estimates,854,1954,154.654
estimates,854,1955,154.772
estimates,854,1956,155.78
estimates,854,1957,156.626
estimates,854,1958,157.358
estimates,854,1959,157.965
estimates,854,1960,158.441
estimates,854,1961,159.92
estimates,854,1962,161.08
estimates,854,1963,162.056
estimates,854,1964,162.985
estimates,854,1965,163.951
estimates,854,1966,165.405
estimates,854,1967,166.75
estimates,854,1968,168.047
estimates,854,1969,169.301
estimates,854,1970,170.519
estimates,854,1971,172.57
estimates,854,1972,174.357
estimates,854,1973,176.018
estimates,854,1974,177.723
estimates,854,1975,179.563
estimates,854,1976,182.059
estimates,854,1977,184.667
estimates,854,1978,187.342
estimates,854,1979,189.951
estimates,854,1980,192.449
estimates,854,1981,195.35
estimates,854,1982,197.786
estimates,854,1983,199.941
estimates,854,1984,201.989
estimates,854,1985,203.988
estimates,854,1986,206.144
estimates,854,1987,207.917
estimates,854,1988,209.389
estimates,854,1989,210.597
estimates,854,1990,211.57
estimates,854,1991,212.729
estimates,854,1992,213.508
estimates,854,1993,213.975
estimates,854,1994,214.204
estimates,854,1995,214.261
estimates,854,1996,215.024
estimates,854,1997,215.432
estimates,854,1998,215.515
estimates,854,1999,215.249
estimates,854,2000,214.628
estimates,854,2001,214.41
estimates,854,2002,213.683
estimates,854,2003,212.585
estimates,854,2004,211.27
estimates,854,2005,209.868
estimates,854,2006,209.076
estimates,854,2007,208.041
estimates,854,2008,206.883
estimates,854,2009,205.646
estimates,854,2010,204.333
estimates,854,2011,203.384
estimates,854,2012,202.163
estimates,854,2013,200.756
estimates,854,2014,199.252
estimates,854,2015,197.692
medium_variant,854,2015,197.692
medium_variant,854,2016,196.202
medium_variant,854,2017,194.67
medium_variant,854,2018,193.051
medium_variant,854,2019,191.274
medium_variant,854,2020,189.326
medium_variant,854,2021,187.668
medium_variant,854,2022,185.772
medium_variant,854,2023,183.689
medium_variant,854,2024,181.476
medium_variant,854,2025,179.164
medium_variant,854,2026,177.034
