variant,continent,year,gender,dependencyratio1564
estimates,909,1998,female,56.912
estimates,909,1999,female,56.615
estimates,909,2000,female,56.354
estimates,909,2001,female,55.976
estimates,909,2002,female,55.616
estimates,909,2003,female,55.284
estimates,909,2004,female,54.983
estimates,909,2005,female,54.73
estimates,909,2006,female,54.416
estimates,909,2007,female,54.172
estimates,909,2008,female,54.027
estimates,909,2009,female,53.982
estimates,909,2010,female,54.021
estimates,909,2011,female,54.299
estimates,909,2012,female,54.529
estimates,909,2013,female,54.754
estimates,909,2014,female,55.024
estimates,909,2015,female,55.354
medium_variant,909,2015,female,55.354
medium_variant,909,2016,female,55.778
medium_variant,909,2017,female,56.271
medium_variant,909,2018,female,56.79
medium_variant,909,2019,female,57.27
medium_variant,909,2020,female,57.686
medium_variant,909,2021,female,58.153
medium_variant,909,2022,female,58.518
medium_variant,909,2023,female,58.822
medium_variant,909,2024,female,59.132
medium_variant,909,2025,female,59.482
medium_variant,909,2026,female,59.812
medium_variant,909,2027,female,60.165
medium_variant,909,2028,female,60.52
medium_variant,909,2029,female,60.833
medium_variant,909,2030,female,61.087
medium_variant,909,2031,female,61.269
medium_variant,909,2032,female,61.379
medium_variant,909,2033,female,61.452
medium_variant,909,2034,female,61.543
medium_variant,909,2035,female,61.688
medium_variant,909,2036,female,61.822
medium_variant,909,2037,female,61.991
medium_variant,909,2038,female,62.176
medium_variant,909,2039,female,62.34
medium_variant,909,2040,female,62.467
medium_variant,909,2041,female,62.518
medium_variant,909,2042,female,62.511
medium_variant,909,2043,female,62.488
medium_variant,909,2044,female,62.514
medium_variant,909,2045,female,62.634
medium_variant,909,2046,female,62.775
medium_variant,909,2047,female,62.965
medium_variant,909,2048,female,63.205
medium_variant,909,2049,female,63.477
medium_variant,909,2050,female,63.772
medium_variant,909,2051,female,64.014
medium_variant,909,2052,female,64.249
medium_variant,909,2053,female,64.482
medium_variant,909,2054,female,64.719
medium_variant,909,2055,female,64.973
medium_variant,909,2056,female,65.154
medium_variant,909,2057,female,65.312
medium_variant,909,2058,female,65.456
medium_variant,909,2059,female,65.6
medium_variant,909,2060,female,65.76
medium_variant,909,2061,female,65.831
medium_variant,909,2062,female,65.882
medium_variant,909,2063,female,65.933
medium_variant,909,2064,female,66.003
medium_variant,909,2065,female,66.106
medium_variant,909,2066,female,66.126
medium_variant,909,2067,female,66.142
medium_variant,909,2068,female,66.178
medium_variant,909,2069,female,66.273
medium_variant,909,2070,female,66.459
medium_variant,909,2071,female,66.588
medium_variant,909,2072,female,66.766
medium_variant,909,2073,female,67.006
medium_variant,909,2074,female,67.303
medium_variant,909,2075,female,67.651
medium_variant,909,2076,female,67.884
medium_variant,909,2077,female,68.125
medium_variant,909,2078,female,68.387
medium_variant,909,2079,female,68.693
medium_variant,909,2080,female,69.074
medium_variant,909,2081,female,69.35
medium_variant,909,2082,female,69.638
medium_variant,909,2083,female,69.957
medium_variant,909,2084,female,70.319
medium_variant,909,2085,female,70.741
medium_variant,909,2086,female,71.016
medium_variant,909,2087,female,71.286
medium_variant,909,2088,female,71.574
