continent,variant,year,sexratio_maleper100female
905,estimates,1950,99.8351292500981
905,estimates,1955,99.0461487655191
905,estimates,1960,98.5303812913748
905,estimates,1965,98.084529060636
905,estimates,1970,97.3465371647596
905,estimates,1975,97.0727467458408
905,estimates,1980,96.4754183968422
905,estimates,1985,96.4935219309587
905,estimates,1990,96.2968725579556
905,estimates,1995,96.7145682903711
905,estimates,2000,97.1642546144716
905,estimates,2005,97.5043065594506
905,estimates,2010,97.6889343409822
905,constant_fertility,2015,97.9560759959395
905,constant_mortality,2015,97.9560759959395
905,estimates,2015,97.9560759959395
905,high_variant,2015,97.9560759959395
905,instant_replacement,2015,97.9560759959395
905,low_variant,2015,97.9560759959395
905,medium_variant,2015,97.9560759959395
905,momentum,2015,97.9560759959395
905,no_change,2015,97.9560759959395
905,zero_migration,2015,97.9560759959395
905,constant_fertility,2020,98.1779041030554
905,constant_mortality,2020,98.1040032392241
905,high_variant,2020,98.2313231580572
905,instant_replacement,2020,98.2261467335244
905,low_variant,2020,98.1264066685003
905,medium_variant,2020,98.179281727451
905,momentum,2020,98.1270085590695
905,no_change,2020,98.1026227437661
905,zero_migration,2020,98.1557021213374
905,constant_fertility,2025,98.3576594881471
905,constant_mortality,2025,98.1255290241523
905,high_variant,2025,98.4933521044487
905,instant_replacement,2025,98.4525749331882
905,low_variant,2025,98.2313732541576
905,medium_variant,2025,98.3650228814537
905,momentum,2025,98.1638796278788
905,no_change,2025,98.1179553780102
905,zero_migration,2025,98.3179394166718
905,constant_fertility,2030,98.5159430921737
905,constant_mortality,2030,98.0594602996007
905,high_variant,2030,98.7446971951444
905,instant_replacement,2030,98.6530496555995
905,low_variant,2030,98.3019553652789
905,medium_variant,2030,98.5311109100628
905,momentum,2030,98.1029902802709
905,no_change,2030,98.0433049912444
905,zero_migration,2030,98.4600970311374
905,constant_fertility,2035,98.7037034088153
905,constant_mortality,2035,97.9710143691458
905,high_variant,2035,99.0135565946664
905,instant_replacement,2035,98.8773997153528
