agebroad,gender,population,continent,variant,year
12_17,female,29921.864,908,estimates,1951
12_18,female,34440.094,908,estimates,1951
13_17,female,24870.356,908,estimates,1951
13_18,female,29388.586,908,estimates,1951
13_19,female,33980.915,908,estimates,1951
15_17,female,14413.723,908,estimates,1951
18_23,female,28924.721,908,estimates,1951
15_24,female,48441.813,908,estimates,1951
15_49,female,152986.712,908,estimates,1951
15_59,female,184311.736,908,estimates,1951
15_64,female,196760.952,908,estimates,1951
20_64,female,173236.67,908,estimates,1951
20_69,female,183423.927,908,estimates,1951
25_49,female,104544.899,908,estimates,1951
25_64,female,148319.139,908,estimates,1951
25_69,female,158506.396,908,estimates,1951
15plus,female,223349.046,908,estimates,1951
16plus,female,218360.935,908,estimates,1951
17plus,female,213550.491,908,estimates,1951
18plus,female,208935.323,908,estimates,1951
20plus,female,199824.764,908,estimates,1951
21plus,female,195055.488,908,estimates,1951
25plus,female,174907.233,908,estimates,1951
50plus,female,70362.334,908,estimates,1951
60plus,female,39037.31,908,estimates,1951
65plus,female,26588.094,908,estimates,1951
70plus,female,16400.837,908,estimates,1951
75plus,female,8770.695,908,estimates,1951
80plus,female,3812.269,908,estimates,1951
85plus,female,1352.435,908,estimates,1951
90plus,female,354.857,908,estimates,1951
total,female,295273.761,908,estimates,1951
0_1,male,12581.039,908,estimates,1951
0_4,male,27955.044,908,estimates,1951
0_14,male,73985.731,908,estimates,1951
0_17,male,88471.956,908,estimates,1951
0_19,male,97484.38,908,estimates,1951
0_24,male,121424.555,908,estimates,1951
3_4,male,9702.266,908,estimates,1951
3_5,male,14040.738,908,estimates,1951
3_6,male,18205.028,908,estimates,1951
4_5,male,8970.299,908,estimates,1951
4_6,male,13134.589,908,estimates,1951
5_14,male,46030.687,908,estimates,1951
5_10,male,25492.845,908,estimates,1951
5_11,male,30281.287,908,estimates,1951
6_9,male,16645.615,908,estimates,1951
6_10,male,21154.373,908,estimates,1951
6_11,male,25942.815,908,estimates,1951
6_12,male,31083.705,908,estimates,1951
7_10,male,16990.083,908,estimates,1951
7_12,male,26919.415,908,estimates,1951
11_16,male,30411.277,908,estimates,1951
11_17,male,35024.067,908,estimates,1951
11_18,male,39509.224,908,estimates,1951
12_14,male,15749.4,908,estimates,1951
12_16,male,25622.835,908,estimates,1951
12_17,male,30235.625,908,estimates,1951
12_18,male,34720.782,908,estimates,1951
13_17,male,25094.735,908,estimates,1951
13_18,male,29579.892,908,estimates,1951
13_19,male,34107.159,908,estimates,1951
15_17,male,14486.225,908,estimates,1951
18_23,male,28193.618,908,estimates,1951
15_24,male,47438.824,908,estimates,1951
15_49,male,134037.033,908,estimates,1951
15_59,male,158164.128,908,estimates,1951
15_64,male,167126.161,908,estimates,1951
20_64,male,143627.512,908,estimates,1951
20_69,male,150859.915,908,estimates,1951
25_49,male,86598.209,908,estimates,1951
