continent,year,variant,gender,agebroad,population
905,1955,estimates,male,5_14,17540.255
905,1955,estimates,female,6_9,7280.364
905,1955,estimates,male,6_9,7624.309
905,1955,estimates,female,6_10,8918.395
905,1955,estimates,male,6_10,9346.374
905,1955,estimates,female,6_11,10479.345
905,1955,estimates,male,6_11,10990.254
905,1955,estimates,female,6_12,11968.481
905,1955,estimates,male,6_12,12557.225
905,1955,estimates,female,7_10,6996.136
905,1955,estimates,male,7_10,7338.057
905,1955,estimates,female,7_12,10046.222
905,1955,estimates,male,7_12,10548.908
905,1955,estimates,female,11_16,8438.722
905,1955,estimates,male,11_16,8781.558
905,1955,estimates,female,11_17,9673.247
905,1955,estimates,male,11_17,10026.638
905,1955,estimates,female,11_18,10888.336
905,1955,estimates,male,11_18,11237.093
905,1955,estimates,female,12_14,4287.252
905,1955,estimates,male,12_14,4484.191
905,1955,estimates,female,12_16,6877.772
905,1955,estimates,male,12_16,7137.678
905,1955,estimates,female,12_17,8112.297
905,1955,estimates,male,12_17,8382.758
905,1955,estimates,female,12_18,9327.386
905,1955,estimates,male,12_18,9593.213
905,1955,estimates,female,13_17,6623.161
905,1955,estimates,male,13_17,6815.787
905,1955,estimates,female,13_18,7838.25
905,1955,estimates,male,13_18,8026.242
905,1955,estimates,female,13_19,9046.934
905,1955,estimates,male,13_19,9215.379
905,1955,estimates,female,15plus,66521.339
905,1955,estimates,male,15plus,64570.934
905,1955,estimates,female,15_17,3825.045
905,1955,estimates,male,15_17,3898.567
905,1955,estimates,female,15_24,12379.726
905,1955,estimates,male,15_24,12204.326
905,1955,estimates,female,15_49,44523.573
905,1955,estimates,male,15_49,44125.465
905,1955,estimates,female,15_59,53731.25
905,1955,estimates,male,15_59,53263.188
905,1955,estimates,female,15_64,57730.615
905,1955,estimates,male,15_64,57062.793
905,1955,estimates,female,16plus,65201.589
905,1955,estimates,male,16plus,63213.025
905,1955,estimates,female,17plus,63930.819
905,1955,estimates,male,17plus,61917.447
905,1955,estimates,female,18plus,62696.294
905,1955,estimates,male,18plus,60672.367
905,1955,estimates,female,18_23,7290.118
905,1955,estimates,male,18_23,7075.632
905,1955,estimates,female,20plus,60272.521
905,1955,estimates,male,20plus,58272.775
905,1955,estimates,female,20_64,51481.797
905,1955,estimates,male,20_64,50764.634
905,1955,estimates,female,20_69,54832.781
905,1955,estimates,male,20_69,53841.513
905,1955,estimates,female,21plus,59066.642
905,1955,estimates,male,21plus,57101.024
905,1955,estimates,female,25plus,54141.613
905,1955,estimates,male,25plus,52366.608
905,1955,estimates,female,25_49,32143.847
905,1955,estimates,male,25_49,31921.139
905,1955,estimates,female,25_64,45350.889
905,1955,estimates,male,25_64,44858.467
905,1955,estimates,female,25_69,48701.873
905,1955,estimates,male,25_69,47935.346
905,1955,estimates,female,50plus,21997.766
905,1955,estimates,male,50plus,20445.469
905,1955,estimates,female,60plus,12790.089
905,1955,estimates,male,60plus,11307.746
905,1955,estimates,female,65plus,8790.724
905,1955,estimates,male,65plus,7508.141
905,1955,estimates,female,70plus,5439.74
905,1955,estimates,male,70plus,4431.262
905,1955,estimates,female,75plus,2934.819
905,1955,estimates,male,75plus,2317.993
905,1955,estimates,female,80plus,1372.79
905,1955,estimates,male,80plus,1010.874
905,1960,estimates,female,total,102747.598
905,1960,estimates,male,total,101419.263
905,1960,estimates,female,0_1,4596.14
905,1960,estimates,male,0_1,4803.076
905,1960,estimates,female,0_4,11255.007
905,1960,estimates,male,0_4,11726.331
905,1960,estimates,female,0_14,31049.335
905,1960,estimates,male,0_14,32371.329
905,1960,estimates,female,0_17,35708.079
905,1960,estimates,male,0_17,37191.209
905,1960,estimates,female,0_19,38502.182
905,1960,estimates,male,0_19,40027.332
905,1960,estimates,female,0_24,44902.566
905,1960,estimates,male,0_24,46351.371
905,1960,estimates,female,3_4,4408.905
905,1960,estimates,male,3_4,4581.386
905,1960,estimates,female,3_5,6567.773
905,1960,estimates,male,3_5,6824.32
905,1960,estimates,female,3_6,8695.005
905,1960,estimates,male,3_6,9035.813
905,1960,estimates,female,4_5,4348.256
905,1960,estimates,male,4_5,4517.325
905,1960,estimates,female,4_6,6475.488
905,1960,estimates,male,4_6,6728.818
905,1960,estimates,female,5_10,12434.519
905,1960,estimates,male,5_10,12950.877
905,1960,estimates,female,5_11,14374.831
905,1960,estimates,male,5_11,14981.767
905,1960,estimates,female,5_14,19794.328
905,1960,estimates,male,5_14,20644.998
905,1960,estimates,female,6_9,8297.192
905,1960,estimates,male,6_9,8640.617
905,1960,estimates,female,6_10,10275.651
905,1960,estimates,male,6_10,10707.943
905,1960,estimates,female,6_11,12215.963
905,1960,estimates,male,6_11,12738.833
905,1960,estimates,female,6_12,14102.874
905,1960,estimates,male,6_12,14714.738
905,1960,estimates,female,7_10,8148.419
905,1960,estimates,male,7_10,8496.45
905,1960,estimates,female,7_12,11975.642
905,1960,estimates,male,7_12,12503.245
905,1960,estimates,female,11_16,10544.318
905,1960,estimates,male,11_16,10996.2
905,1960,estimates,female,11_17,12018.553
905,1960,estimates,male,11_17,12514.001
905,1960,estimates,female,11_18,13436.646
905,1960,estimates,male,11_18,13961.109
905,1960,estimates,female,12_14,5419.497
905,1960,estimates,male,12_14,5663.231
905,1960,estimates,female,12_16,8604.006
905,1960,estimates,male,12_16,8965.31
905,1960,estimates,female,12_17,10078.241
905,1960,estimates,male,12_17,10483.111
905,1960,estimates,female,12_18,11496.334
905,1960,estimates,male,12_18,11930.219
905,1960,estimates,female,13_17,8191.33
905,1960,estimates,male,13_17,8507.206
905,1960,estimates,female,13_18,9609.423
905,1960,estimates,male,13_18,9954.314
905,1960,estimates,female,13_19,10985.433
905,1960,estimates,male,13_19,11343.329
905,1960,estimates,female,15plus,71698.263
905,1960,estimates,male,15plus,69047.934
905,1960,estimates,female,15_17,4658.744
905,1960,estimates,male,15_17,4819.88
905,1960,estimates,female,15_24,13853.231
905,1960,estimates,male,15_24,13980.042
905,1960,estimates,female,15_49,46864.614
905,1960,estimates,male,15_49,46869.268
905,1960,estimates,female,15_59,57248.73
905,1960,estimates,male,15_59,56913.576
905,1960,estimates,female,15_64,61560.221
905,1960,estimates,male,15_64,60780.999
905,1960,estimates,female,16plus,70062.885
905,1960,estimates,male,16plus,67349.553
905,1960,estimates,female,17plus,68513.754
905,1960,estimates,male,17plus,65745.855
905,1960,estimates,female,18plus,67039.519
905,1960,estimates,male,18plus,64228.054
905,1960,estimates,female,18_23,7951.761
905,1960,estimates,male,18_23,7922.535
905,1960,estimates,female,20plus,64245.416
905,1960,estimates,male,20plus,61391.931
905,1960,estimates,female,20_64,54107.374
