agebroad,gender,population,continent,variant,year
"Region, subregion, country or area *",female,AFRICA,903,estimates,1950
0_1,female,8440.004,903,estimates,1950
0_4,female,19214.908,903,estimates,1950
0_14,female,47074.068,903,estimates,1950
0_17,female,54179.286,903,estimates,1950
0_19,female,58640.829,903,estimates,1950
0_24,female,68788.149,903,estimates,1950
3_4,female,6966.592,903,estimates,1950
3_5,female,10185.021,903,estimates,1950
3_6,female,13261.867,903,estimates,1950
4_5,female,6603.924,903,estimates,1950
4_6,female,9680.77,903,estimates,1950
5_14,female,27859.16,903,estimates,1950
5_10,female,17591.346,903,estimates,1950
5_11,female,20244.146,903,estimates,1950
6_9,female,11666.676,903,estimates,1950
6_10,female,14372.917,903,estimates,1950
6_11,female,17025.717,903,estimates,1950
6_12,female,19625.449,903,estimates,1950
7_10,female,11296.071,903,estimates,1950
7_12,female,16548.603,903,estimates,1950
11_16,female,15056.442,903,estimates,1950
11_17,female,17373.032,903,estimates,1950
11_18,female,19633.238,903,estimates,1950
12_14,female,7615.014,903,estimates,1950
12_16,female,12403.642,903,estimates,1950
12_17,female,14720.232,903,estimates,1950
12_18,female,16980.438,903,estimates,1950
13_17,female,12120.5,903,estimates,1950
13_18,female,14380.706,903,estimates,1950
13_19,female,16582.043,903,estimates,1950
15_17,female,7105.218,903,estimates,1950
18_23,female,12697.958,903,estimates,1950
15_24,female,21714.081,903,estimates,1950
15_49,female,54262.736,903,estimates,1950
15_59,female,61395.632,903,estimates,1950
15_64,female,63904.797,903,estimates,1950
20_64,female,52338.036,903,estimates,1950
20_69,female,54179.077,903,estimates,1950
25_49,female,32548.655,903,estimates,1950
25_64,female,42190.716,903,estimates,1950
25_69,female,44031.757,903,estimates,1950
15plus,female,68010.419,903,estimates,1950
16plus,female,65590.735,903,estimates,1950
17plus,female,63221.791,903,estimates,1950
18plus,female,60905.201,903,estimates,1950
20plus,female,56443.658,903,estimates,1950
21plus,female,54299.356,903,estimates,1950
25plus,female,46296.338,903,estimates,1950
50plus,female,13747.683,903,estimates,1950
60plus,female,6614.787,903,estimates,1950
65plus,female,4105.622,903,estimates,1950
70plus,female,2264.581,903,estimates,1950
75plus,female,1049.653,903,estimates,1950
80plus,female,396.111,903,estimates,1950
85plus,female,112.456,903,estimates,1950
90plus,female,24.426,903,estimates,1950
total,female,115084.487,903,estimates,1950
"Region, subregion, country or area *",male,AFRICA,903,estimates,1950
0_1,male,8592.713,903,estimates,1950
0_4,male,19490.141,903,estimates,1950
0_14,male,47449.517,903,estimates,1950
0_17,male,54618.081,903,estimates,1950
0_19,male,59122.37,903,estimates,1950
0_24,male,69323.627,903,estimates,1950
3_4,male,7036.473,903,estimates,1950
3_5,male,10276.438,903,estimates,1950
3_6,male,13368.468,903,estimates,1950
4_5,male,6655.244,903,estimates,1950
4_6,male,9747.274,903,estimates,1950
5_14,male,27959.376,903,estimates,1950
5_10,male,17656.973,903,estimates,1950
5_11,male,20314.965,903,estimates,1950
6_9,male,11705.652,903,estimates,1950
6_10,male,14417.008,903,estimates,1950
6_11,male,17075.0,903,estimates,1950
6_12,male,19681.343,903,estimates,1950
7_10,male,11324.978,903,estimates,1950
7_12,male,16589.313,903,estimates,1950
11_16,male,15130.132,903,estimates,1950
11_17,male,17470.967,903,estimates,1950
11_18,male,19754.279,903,estimates,1950
12_14,male,7644.411,903,estimates,1950
12_16,male,12472.14,903,estimates,1950
12_17,male,14812.975,903,estimates,1950
12_18,male,17096.287,903,estimates,1950
13_17,male,12206.632,903,estimates,1950
13_18,male,14489.944,903,estimates,1950
13_19,male,16710.921,903,estimates,1950
15_17,male,7168.564,903,estimates,1950
18_23,male,12788.539,903,estimates,1950
15_24,male,21874.11,903,estimates,1950
15_49,male,54116.335,903,estimates,1950
15_59,male,60637.562,903,estimates,1950
15_64,male,62814.995,903,estimates,1950
20_64,male,51142.142,903,estimates,1950
20_69,male,52693.174,903,estimates,1950
25_49,male,32242.225,903,estimates,1950
25_64,male,40940.885,903,estimates,1950
25_69,male,42491.917,903,estimates,1950
15plus,male,66136.002,903,estimates,1950
16plus,male,63699.063,903,estimates,1950
17plus,male,61308.273,903,estimates,1950
18plus,male,58967.438,903,estimates,1950
20plus,male,54463.149,903,estimates,1950
21plus,male,52302.343,903,estimates,1950
25plus,male,44261.892,903,estimates,1950
50plus,male,12019.667,903,estimates,1950
60plus,male,5498.44,903,estimates,1950
65plus,male,3321.007,903,estimates,1950
70plus,male,1769.975,903,estimates,1950
75plus,male,786.425,903,estimates,1950
80plus,male,285.999,903,estimates,1950
85plus,male,73.203,903,estimates,1950
90plus,male,13.27,903,estimates,1950
total,male,113585.519,903,estimates,1950
"Region, subregion, country or area *",female,AFRICA,903,estimates,1951
0_1,female,8702.889,903,estimates,1951
0_4,female,19855.629,903,estimates,1951
0_14,female,48310.906,903,estimates,1951
0_17,female,55504.127,903,estimates,1951
0_19,female,60031.195,903,estimates,1951
0_24,female,70346.792,903,estimates,1951
3_4,female,7206.935,903,estimates,1951
3_5,female,10528.505,903,estimates,1951
3_6,female,13697.826,903,estimates,1951
4_5,female,6821.493,903,estimates,1951
4_6,female,9990.814,903,estimates,1951
5_14,female,28455.277,903,estimates,1951
5_10,female,18049.99,903,estimates,1951
5_11,female,20734.85,903,estimates,1951
6_9,female,11975.477,903,estimates,1951
6_10,female,14728.42,903,estimates,1951
6_11,female,17413.28,903,estimates,1951
6_12,female,20043.081,903,estimates,1951
7_10,female,11559.099,903,estimates,1951
7_12,female,16873.76,903,estimates,1951
11_16,female,15253.843,903,estimates,1951
11_17,female,17598.508,903,estimates,1951
11_18,female,19890.269,903,estimates,1951
12_14,female,7720.427,903,estimates,1951
12_16,female,12568.983,903,estimates,1951
12_17,female,14913.648,903,estimates,1951
12_18,female,17205.409,903,estimates,1951
13_17,female,12283.847,903,estimates,1951
13_18,female,14575.608,903,estimates,1951
13_19,female,16810.915,903,estimates,1951
15_17,female,7193.221,903,estimates,1951
18_23,female,12894.901,903,estimates,1951
15_24,female,22035.886,903,estimates,1951
15_49,female,55147.043,903,estimates,1951
15_59,female,62388.618,903,estimates,1951
15_64,female,64924.831,903,estimates,1951
20_64,female,53204.542,903,estimates,1951
20_69,female,55062.626,903,estimates,1951
25_49,female,33111.157,903,estimates,1951
25_64,female,42888.945,903,estimates,1951
25_69,female,44747.029,903,estimates,1951
15plus,female,69098.092,903,estimates,1951
16plus,female,66645.705,903,estimates,1951
17plus,female,64249.536,903,estimates,1951
18plus,female,61904.871,903,estimates,1951
20plus,female,57377.803,903,estimates,1951
21plus,female,55201.135,903,estimates,1951
25plus,female,47062.206,903,estimates,1951
50plus,female,13951.049,903,estimates,1951
60plus,female,6709.474,903,estimates,1951
65plus,female,4173.261,903,estimates,1951
70plus,female,2315.177,903,estimates,1951
75plus,female,1088.03,903,estimates,1951
80plus,female,418.589,903,estimates,1951
85plus,female,123.7,903,estimates,1951
90plus,female,27.151,903,estimates,1951
total,female,117408.998,903,estimates,1951
"Region, subregion, country or area *",male,AFRICA,903,estimates,1951
0_1,male,8847.993,903,estimates,1951
0_4,male,20152.38,903,estimates,1951
0_14,male,48719.53,903,estimates,1951
0_17,male,55958.482,903,estimates,1951
0_19,male,60525.556,903,estimates,1951
0_24,male,70886.181,903,estimates,1951
3_4,male,7295.542,903,estimates,1951
3_5,male,10646.226,903,estimates,1951
3_6,male,13836.675,903,estimates,1951
4_5,male,6889.273,903,estimates,1951
4_6,male,10079.722,903,estimates,1951
5_14,male,28567.15,903,estimates,1951
5_10,male,18136.95,903,estimates,1951
5_11,male,20826.815,903,estimates,1951
6_9,male,12027.778,903,estimates,1951
6_10,male,14786.266,903,estimates,1951
6_11,male,17476.131,903,estimates,1951
6_12,male,20110.975,903,estimates,1951
7_10,male,11595.817,903,estimates,1951
7_12,male,16920.526,903,estimates,1951
11_16,male,15305.528,903,estimates,1951
11_17,male,17669.152,903,estimates,1951
11_18,male,19981.69,903,estimates,1951
12_14,male,7740.335,903,estimates,1951
12_16,male,12615.663,903,estimates,1951
12_17,male,14979.287,903,estimates,1951
12_18,male,17291.825,903,estimates,1951
13_17,male,12344.443,903,estimates,1951
13_18,male,14656.981,903,estimates,1951
13_19,male,16911.517,903,estimates,1951
15_17,male,7238.952,903,estimates,1951
18_23,male,12976.512,903,estimates,1951
15_24,male,22166.651,903,estimates,1951
15_49,male,54946.345,903,estimates,1951
15_59,male,61568.902,903,estimates,1951
15_64,male,63773.551,903,estimates,1951
20_64,male,51967.525,903,estimates,1951
20_69,male,53531.353,903,estimates,1951
25_49,male,32779.694,903,estimates,1951
25_64,male,41606.9,903,estimates,1951
25_69,male,43170.728,903,estimates,1951
15plus,male,67148.52,903,estimates,1951
16plus,male,64684.413,903,estimates,1951
17plus,male,62273.192,903,estimates,1951
18plus,male,59909.568,903,estimates,1951
20plus,male,55342.494,903,estimates,1951
21plus,male,53150.322,903,estimates,1951
25plus,male,44981.869,903,estimates,1951
50plus,male,12202.175,903,estimates,1951
60plus,male,5579.618,903,estimates,1951
65plus,male,3374.969,903,estimates,1951
70plus,male,1811.141,903,estimates,1951
75plus,male,816.597,903,estimates,1951
80plus,male,302.489,903,estimates,1951
85plus,male,82.385,903,estimates,1951
90plus,male,15.239,903,estimates,1951
total,male,115868.05,903,estimates,1951
"Region, subregion, country or area *",female,AFRICA,903,estimates,1952
0_1,female,8894.224,903,estimates,1952
0_4,female,20412.84,903,estimates,1952
0_14,female,49529.772,903,estimates,1952
0_17,female,56834.253,903,estimates,1952
0_19,female,61429.072,903,estimates,1952
0_24,female,71926.449,903,estimates,1952
3_4,female,7441.428,903,estimates,1952
3_5,female,10866.339,903,estimates,1952
3_6,female,14129.618,903,estimates,1952
4_5,female,7037.398,903,estimates,1952
4_6,female,10300.677,903,estimates,1952
5_14,female,29116.932,903,estimates,1952
5_10,female,18547.283,903,estimates,1952
5_11,female,21283.116,903,estimates,1952
6_9,female,12305.505,903,estimates,1952
6_10,female,15122.372,903,estimates,1952
6_11,female,17858.205,903,estimates,1952
6_12,female,20525.874,903,estimates,1952
7_10,female,11859.093,903,estimates,1952
7_12,female,17262.595,903,estimates,1952
11_16,female,15497.616,903,estimates,1952
11_17,female,17874.13,903,estimates,1952
11_18,female,20198.305,903,estimates,1952
12_14,female,7833.816,903,estimates,1952
12_16,female,12761.783,903,estimates,1952
12_17,female,15138.297,903,estimates,1952
12_18,female,17462.472,903,estimates,1952
13_17,female,12470.628,903,estimates,1952
13_18,female,14794.803,903,estimates,1952
13_19,female,17065.447,903,estimates,1952
15_17,female,7304.481,903,estimates,1952
18_23,female,13106.08,903,estimates,1952
15_24,female,22396.677,903,estimates,1952
15_49,female,56145.82,903,estimates,1952
15_59,female,63514.261,903,estimates,1952
15_64,female,66085.527,903,estimates,1952
20_64,female,54186.227,903,estimates,1952
20_69,female,56068.5,903,estimates,1952
25_49,female,33749.143,903,estimates,1952
25_64,female,43688.85,903,estimates,1952
25_69,female,45571.123,903,estimates,1952
15plus,female,70317.598,903,estimates,1952
16plus,female,67822.571,903,estimates,1952
17plus,female,65389.631,903,estimates,1952
18plus,female,63013.117,903,estimates,1952
20plus,female,58418.298,903,estimates,1952
21plus,female,56204.263,903,estimates,1952
25plus,female,47920.921,903,estimates,1952
50plus,female,14171.778,903,estimates,1952
60plus,female,6803.337,903,estimates,1952
65plus,female,4232.071,903,estimates,1952
70plus,female,2349.798,903,estimates,1952
75plus,female,1111.767,903,estimates,1952
80plus,female,429.907,903,estimates,1952
85plus,female,130.627,903,estimates,1952
90plus,female,29.292,903,estimates,1952
total,female,119847.37,903,estimates,1952
"Region, subregion, country or area *",male,AFRICA,903,estimates,1952
0_1,male,9007.431,903,estimates,1952
0_4,male,20705.881,903,estimates,1952
0_14,male,49966.285,903,estimates,1952
0_17,male,57303.298,903,estimates,1952
0_19,male,61932.594,903,estimates,1952
0_24,male,72471.589,903,estimates,1952
3_4,male,7549.181,903,estimates,1952
3_5,male,11012.202,903,estimates,1952
3_6,male,14304.734,903,estimates,1952
4_5,male,7123.723,903,estimates,1952
4_6,male,10416.255,903,estimates,1952
5_14,male,29260.404,903,estimates,1952
5_10,male,18667.313,903,estimates,1952
5_11,male,21409.107,903,estimates,1952
6_9,male,12380.49,903,estimates,1952
6_10,male,15204.292,903,estimates,1952
6_11,male,17946.086,903,estimates,1952
6_12,male,20619.265,903,estimates,1952
7_10,male,11911.76,903,estimates,1952
7_12,male,17326.733,903,estimates,1952
11_16,male,15540.174,903,estimates,1952
11_17,male,17930.104,903,estimates,1952
11_18,male,20270.902,903,estimates,1952
12_14,male,7851.297,903,estimates,1952
12_16,male,12798.38,903,estimates,1952
12_17,male,15188.31,903,estimates,1952
12_18,male,17529.108,903,estimates,1952
13_17,male,12515.131,903,estimates,1952
13_18,male,14855.929,903,estimates,1952
13_19,male,17144.427,903,estimates,1952
15_17,male,7337.013,903,estimates,1952
18_23,male,13180.95,903,estimates,1952
15_24,male,22505.304,903,estimates,1952
15_49,male,55897.862,903,estimates,1952
15_59,male,62640.663,903,estimates,1952
15_64,male,64881.43,903,estimates,1952
20_64,male,52915.121,903,estimates,1952
20_69,male,54495.859,903,estimates,1952
25_49,male,33392.558,903,estimates,1952
25_64,male,42376.126,903,estimates,1952
25_69,male,43956.864,903,estimates,1952
15plus,male,68299.441,903,estimates,1952
16plus,male,65796.061,903,estimates,1952
17plus,male,63352.358,903,estimates,1952
18plus,male,60962.428,903,estimates,1952
20plus,male,56333.132,903,estimates,1952
21plus,male,54103.212,903,estimates,1952
25plus,male,45794.137,903,estimates,1952
50plus,male,12401.579,903,estimates,1952
60plus,male,5658.778,903,estimates,1952
65plus,male,3418.011,903,estimates,1952
70plus,male,1837.273,903,estimates,1952
75plus,male,833.887,903,estimates,1952
80plus,male,309.42,903,estimates,1952
85plus,male,88.433,903,estimates,1952
90plus,male,16.927,903,estimates,1952
total,male,118265.726,903,estimates,1952
"Region, subregion, country or area *",female,AFRICA,903,estimates,1953
0_1,female,9141.474,903,estimates,1953
0_4,female,20919.144,903,estimates,1953
0_14,female,50738.201,903,estimates,1953
0_17,female,58172.006,903,estimates,1953
0_19,female,62839.143,903,estimates,1953
0_24,female,73530.439,903,estimates,1953
3_4,female,7658.015,903,estimates,1953
3_5,female,11181.01,903,estimates,1953
3_6,female,14535.692,903,estimates,1953
4_5,female,7240.36,903,estimates,1953
4_6,female,10595.042,903,estimates,1953
5_14,female,29819.057,903,estimates,1953
5_10,female,19043.989,903,estimates,1953
5_11,female,21846.481,903,estimates,1953
6_9,female,12631.921,903,estimates,1953
6_10,female,15520.994,903,estimates,1953
6_11,female,18323.486,903,estimates,1953
6_12,female,21046.034,903,estimates,1953
7_10,female,12166.312,903,estimates,1953
7_12,female,17691.352,903,estimates,1953
11_16,female,15791.955,903,estimates,1953
11_17,female,18208.873,903,estimates,1953
11_18,female,20569.068,903,estimates,1953
12_14,female,7972.576,903,estimates,1953
12_16,female,12989.463,903,estimates,1953
12_17,female,15406.381,903,estimates,1953
12_18,female,17766.576,903,estimates,1953
13_17,female,12683.833,903,estimates,1953
13_18,female,15044.028,903,estimates,1953
13_19,female,17350.97,903,estimates,1953
15_17,female,7433.805,903,estimates,1953
18_23,female,13333.614,903,estimates,1953
15_24,female,22792.238,903,estimates,1953
15_49,female,57246.552,903,estimates,1953
15_59,female,64759.417,903,estimates,1953
15_64,female,67375.963,903,estimates,1953
20_64,female,55275.021,903,estimates,1953
20_69,female,57189.013,903,estimates,1953
25_49,female,34454.314,903,estimates,1953
25_64,female,44583.725,903,estimates,1953
25_69,female,46497.717,903,estimates,1953
15plus,female,71659.405,903,estimates,1953
16plus,female,69120.846,903,estimates,1953
17plus,female,66642.518,903,estimates,1953
18plus,female,64225.6,903,estimates,1953
20plus,female,59558.463,903,estimates,1953
21plus,female,57305.747,903,estimates,1953
25plus,female,48867.167,903,estimates,1953
50plus,female,14412.853,903,estimates,1953
60plus,female,6899.988,903,estimates,1953
65plus,female,4283.442,903,estimates,1953
70plus,female,2369.45,903,estimates,1953
75plus,female,1118.691,903,estimates,1953
80plus,female,428.239,903,estimates,1953
85plus,female,131.034,903,estimates,1953
90plus,female,30.01,903,estimates,1953
total,female,122397.606,903,estimates,1953
"Region, subregion, country or area *",male,AFRICA,903,estimates,1953
0_1,male,9249.116,903,estimates,1953
0_4,male,21206.823,903,estimates,1953
0_14,male,51211.363,903,estimates,1953
0_17,male,58669.835,903,estimates,1953
0_19,male,63363.145,903,estimates,1953
0_24,male,74094.944,903,estimates,1953
3_4,male,7780.423,903,estimates,1953
3_5,male,11350.002,903,estimates,1953
3_6,male,14742.334,903,estimates,1953
4_5,male,7343.095,903,estimates,1953
4_6,male,10735.427,903,estimates,1953
5_14,male,30004.54,903,estimates,1953
5_10,male,19203.922,903,estimates,1953
5_11,male,22013.446,903,estimates,1953
6_9,male,12735.705,903,estimates,1953
6_10,male,15634.343,903,estimates,1953
6_11,male,18443.867,903,estimates,1953
6_12,male,21172.84,903,estimates,1953
7_10,male,12242.011,903,estimates,1953
7_12,male,17780.508,903,estimates,1953
11_16,male,15832.333,903,estimates,1953
11_17,male,18259.09,903,estimates,1953
11_18,male,20631.112,903,estimates,1953
12_14,male,7991.094,903,estimates,1953
12_16,male,13022.809,903,estimates,1953
12_17,male,15449.566,903,estimates,1953
12_18,male,17821.588,903,estimates,1953
13_17,male,12720.593,903,estimates,1953
13_18,male,15092.615,903,estimates,1953
13_19,male,17413.903,903,estimates,1953
15_17,male,7458.472,903,estimates,1953
18_23,male,13400.065,903,estimates,1953
15_24,male,22883.581,903,estimates,1953
15_49,male,56951.441,903,estimates,1953
15_59,male,63832.195,903,estimates,1953
15_64,male,66117.377,903,estimates,1953
20_64,male,53965.595,903,estimates,1953
20_69,male,55568.671,903,estimates,1953
25_49,male,34067.86,903,estimates,1953
25_64,male,43233.796,903,estimates,1953
25_69,male,44836.872,903,estimates,1953
15plus,male,69568.839,903,estimates,1953
16plus,male,67023.562,903,estimates,1953
17plus,male,64537.124,903,estimates,1953
18plus,male,62110.367,903,estimates,1953
20plus,male,57417.057,903,estimates,1953
21plus,male,55149.357,903,estimates,1953
25plus,male,46685.258,903,estimates,1953
50plus,male,12617.398,903,estimates,1953
60plus,male,5736.644,903,estimates,1953
65plus,male,3451.462,903,estimates,1953
70plus,male,1848.386,903,estimates,1953
75plus,male,835.901,903,estimates,1953
80plus,male,305.584,903,estimates,1953
85plus,male,89.183,903,estimates,1953
90plus,male,17.601,903,estimates,1953
total,male,120780.202,903,estimates,1953
"Region, subregion, country or area *",female,AFRICA,903,estimates,1954
0_1,female,9395.256,903,estimates,1954
0_4,female,21425.925,903,estimates,1954
0_14,female,51948.859,903,estimates,1954
0_17,female,59521.8,903,estimates,1954
0_19,female,64272.023,903,estimates,1954
0_24,female,75168.285,903,estimates,1954
3_4,female,7790.827,903,estimates,1954
3_5,female,11400.36,903,estimates,1954
3_6,female,14837.492,903,estimates,1954
4_5,female,7417.527,903,estimates,1954
4_6,female,10854.659,903,estimates,1954
5_14,female,30522.934,903,estimates,1954
5_10,female,19501.591,903,estimates,1954
5_11,female,22375.333,903,estimates,1954
6_9,female,12934.124,903,estimates,1954
6_10,female,15892.058,903,estimates,1954
6_11,female,18765.8,903,estimates,1954
6_12,female,21557.156,903,estimates,1954
7_10,female,12454.926,903,estimates,1954
7_12,female,18120.024,903,estimates,1954
11_16,female,16129.824,903,estimates,1954
11_17,female,18594.284,903,estimates,1954
11_18,female,20997.936,903,estimates,1954
12_14,female,8147.601,903,estimates,1954
12_16,female,13256.082,903,estimates,1954
12_17,female,15720.542,903,estimates,1954
12_18,female,18124.194,903,estimates,1954
13_17,female,12929.186,903,estimates,1954
13_18,female,15332.838,903,estimates,1954
13_19,female,17679.409,903,estimates,1954
15_17,female,7572.941,903,estimates,1954
18_23,female,13581.822,903,estimates,1954
15_24,female,23219.426,903,estimates,1954
15_49,female,58433.259,903,estimates,1954
15_59,female,66107.479,903,estimates,1954
15_64,female,68782.296,903,estimates,1954
20_64,female,56459.132,903,estimates,1954
20_69,female,58411.939,903,estimates,1954
25_49,female,35213.833,903,estimates,1954
25_64,female,45562.87,903,estimates,1954
25_69,female,47515.677,903,estimates,1954
15plus,female,73109.883,903,estimates,1954
16plus,female,70526.243,903,estimates,1954
17plus,female,68001.402,903,estimates,1954
18plus,female,65536.942,903,estimates,1954
20plus,female,60786.719,903,estimates,1954
21plus,female,58494.387,903,estimates,1954
25plus,female,49890.457,903,estimates,1954
50plus,female,14676.624,903,estimates,1954
60plus,female,7002.404,903,estimates,1954
65plus,female,4327.587,903,estimates,1954
70plus,female,2374.78,903,estimates,1954
75plus,female,1107.037,903,estimates,1954
80plus,female,412.136,903,estimates,1954
85plus,female,122.3,903,estimates,1954
90plus,female,27.565,903,estimates,1954
total,female,125058.742,903,estimates,1954
"Region, subregion, country or area *",male,AFRICA,903,estimates,1954
0_1,male,9504.796,903,estimates,1954
0_4,male,21715.261,903,estimates,1954
0_14,male,52469.644,903,estimates,1954
0_17,male,60063.795,903,estimates,1954
0_19,male,64833.079,903,estimates,1954
0_24,male,75767.884,903,estimates,1954
3_4,male,7910.809,903,estimates,1954
3_5,male,11573.044,903,estimates,1954
3_6,male,15055.071,903,estimates,1954
4_5,male,7530.599,903,estimates,1954
4_6,male,11012.626,903,estimates,1954
5_14,male,30754.383,903,estimates,1954
5_10,male,19703.114,903,estimates,1954
5_11,male,22586.308,903,estimates,1954
6_9,male,13068.101,903,estimates,1954
6_10,male,16040.879,903,estimates,1954
6_11,male,18924.073,903,estimates,1954
6_12,male,21722.515,903,estimates,1954
7_10,male,12558.852,903,estimates,1954
7_12,male,18240.488,903,estimates,1954
11_16,male,16173.152,903,estimates,1954
11_17,male,18645.42,903,estimates,1954
11_18,male,21057.946,903,estimates,1954
12_14,male,8168.075,903,estimates,1954
12_16,male,13289.958,903,estimates,1954
12_17,male,15762.226,903,estimates,1954
12_18,male,18174.752,903,estimates,1954
13_17,male,12963.784,903,estimates,1954
13_18,male,15376.31,903,estimates,1954
13_19,male,17733.068,903,estimates,1954
15_17,male,7594.151,903,estimates,1954
18_23,male,13638.972,903,estimates,1954
15_24,male,23298.24,903,estimates,1954
15_49,male,58093.626,903,estimates,1954
15_59,male,65129.751,903,estimates,1954
15_64,male,67466.982,903,estimates,1954
