continent,year,variant,gender,freq,age1yearinterval,lifeexpectancy
903,1950,estimates,female,5yearly,0,38.7462220792226
903,1950,estimates,male,5yearly,0,36.2215091184237
903,1950,estimates,female,5yearly,1,45.9977480357575
903,1950,estimates,male,5yearly,1,44.1602711773441
903,1950,estimates,female,5yearly,5,49.918521426468
903,1950,estimates,male,5yearly,5,47.8090302947429
903,1950,estimates,female,5yearly,10,47.7522327053513
903,1950,estimates,male,5yearly,10,45.5194854397828
903,1950,estimates,female,5yearly,15,43.9642644984032
903,1950,estimates,male,5yearly,15,41.6430574387629
903,1950,estimates,female,5yearly,20,40.3629140683455
903,1950,estimates,male,5yearly,20,38.0329834887175
903,1950,estimates,female,5yearly,25,36.9468650621404
903,1950,estimates,male,5yearly,25,34.7445457030937
903,1950,estimates,female,5yearly,30,33.58112519699
903,1950,estimates,male,5yearly,30,31.4638087462545
903,1950,estimates,female,5yearly,35,30.2277717308094
903,1950,estimates,male,5yearly,35,28.0849565475412
903,1950,estimates,female,5yearly,40,26.856464824727
903,1950,estimates,male,5yearly,40,24.7200058493675
903,1950,estimates,female,5yearly,45,23.3907690585223
903,1950,estimates,male,5yearly,45,21.4178537378184
903,1950,estimates,female,5yearly,50,19.8597886329224
903,1950,estimates,male,5yearly,50,18.1959207356368
903,1950,estimates,female,5yearly,55,16.4028798182409
903,1950,estimates,male,5yearly,55,15.0949277606931
903,1950,estimates,female,5yearly,60,13.1678579728782
903,1950,estimates,male,5yearly,60,12.1818207368284
903,1950,estimates,female,5yearly,65,10.2835243633784
903,1950,estimates,male,5yearly,65,9.54205363613582
903,1950,estimates,female,5yearly,70,7.83452284615725
903,1950,estimates,male,5yearly,70,7.26148914316298
903,1950,estimates,female,5yearly,75,5.85820838443544
903,1950,estimates,male,5yearly,75,5.42920933243898
903,1950,estimates,female,5yearly,80,4.3426593198706
903,1950,estimates,male,5yearly,80,4.03750610722163
903,1950,estimates,female,5yearly,85,3.23260761829961
903,1950,estimates,male,5yearly,85,3.02607075329818
903,1950,estimates,female,5yearly,90,2.45393602445176
903,1950,estimates,male,5yearly,90,2.32033645924918
903,1950,estimates,female,5yearly,95,1.92794489255438
903,1950,estimates,male,5yearly,95,1.84481368672529
903,1950,estimates,female,5yearly,100plus,1.58332175307899
903,1950,estimates,male,5yearly,100plus,1.53320194668654
903,1955,estimates,female,5yearly,0,41.290182998814
903,1955,estimates,male,5yearly,0,38.6563136381097
903,1955,estimates,female,5yearly,1,48.1270059101658
903,1955,estimates,male,5yearly,1,46.1660298527163
903,1955,estimates,female,5yearly,5,51.4142318548221
903,1955,estimates,male,5yearly,5,49.2128754485602
903,1955,estimates,female,5yearly,10,48.9661407326024
