variant,region,year,under_five_mortality
estimates,923,1950,146.107
estimates,923,1951,139.485
estimates,923,1952,126.694
estimates,923,1953,114.811
estimates,923,1954,103.835
estimates,923,1955,93.768
estimates,923,1956,84.615
estimates,923,1957,76.373
estimates,923,1958,69.04
estimates,923,1959,62.619
estimates,923,1960,57.101
estimates,923,1961,52.464
estimates,923,1962,48.656
estimates,923,1963,45.591
estimates,923,1964,43.149
estimates,923,1965,41.19
estimates,923,1966,39.581
estimates,923,1967,38.223
estimates,923,1968,37.025
estimates,923,1969,35.913
estimates,923,1970,34.877
estimates,923,1971,33.963
estimates,923,1972,33.245
estimates,923,1973,32.753
estimates,923,1974,32.447
estimates,923,1975,32.259
estimates,923,1976,32.101
estimates,923,1977,31.894
estimates,923,1978,31.58
estimates,923,1979,31.132
estimates,923,1980,30.551
estimates,923,1981,29.869
estimates,923,1982,29.152
estimates,923,1983,28.453
estimates,923,1984,27.79
estimates,923,1985,27.168
estimates,923,1986,26.579
estimates,923,1987,26.002
estimates,923,1988,25.424
estimates,923,1989,24.845
estimates,923,1990,24.278
estimates,923,1991,23.742
estimates,923,1992,23.247
estimates,923,1993,22.789
estimates,923,1994,22.358
estimates,923,1995,21.928
estimates,923,1996,21.469
estimates,923,1997,20.954
estimates,923,1998,20.362
estimates,923,1999,19.685
estimates,923,2000,18.915
estimates,923,2001,18.054
estimates,923,2002,17.127
estimates,923,2003,16.163
estimates,923,2004,15.186
estimates,923,2005,14.226
estimates,923,2006,13.306
estimates,923,2007,12.445
estimates,923,2008,11.655
estimates,923,2009,10.95
estimates,923,2010,10.338
estimates,923,2011,9.818
estimates,923,2012,9.374
estimates,923,2013,8.99
estimates,923,2014,8.657
estimates,923,2015,8.365
medium_variant,923,2015,8.365
medium_variant,923,2016,8.108
medium_variant,923,2017,7.878
medium_variant,923,2018,7.67
medium_variant,923,2019,7.475
medium_variant,923,2020,7.289
medium_variant,923,2021,7.107
medium_variant,923,2022,6.933
medium_variant,923,2023,6.767
medium_variant,923,2024,6.606
medium_variant,923,2025,6.451
medium_variant,923,2026,6.301
medium_variant,923,2027,6.156
medium_variant,923,2028,6.018
medium_variant,923,2029,5.886
medium_variant,923,2030,5.759
medium_variant,923,2031,5.638
medium_variant,923,2032,5.521
medium_variant,923,2033,5.408
medium_variant,923,2034,5.301
medium_variant,923,2035,5.199
medium_variant,923,2036,5.103
medium_variant,923,2037,5.015
medium_variant,923,2038,4.935
medium_variant,923,2039,4.861
medium_variant,923,2040,4.794
medium_variant,923,2041,4.732
medium_variant,923,2042,4.674
medium_variant,923,2043,4.618
medium_variant,923,2044,4.563
medium_variant,923,2045,4.509
medium_variant,923,2046,4.456
medium_variant,923,2047,4.404
medium_variant,923,2048,4.352
medium_variant,923,2049,4.301
medium_variant,923,2050,4.252
medium_variant,923,2051,4.203
medium_variant,923,2052,4.155
medium_variant,923,2053,4.108
medium_variant,923,2054,4.062
medium_variant,923,2055,4.018
medium_variant,923,2056,3.974
medium_variant,923,2057,3.932
medium_variant,923,2058,3.891
medium_variant,923,2059,3.852
medium_variant,923,2060,3.813
medium_variant,923,2061,3.775
medium_variant,923,2062,3.737
medium_variant,923,2063,3.701
medium_variant,923,2064,3.665
medium_variant,923,2065,3.629
medium_variant,923,2066,3.595
medium_variant,923,2067,3.561
medium_variant,923,2068,3.529
medium_variant,923,2069,3.497
medium_variant,923,2070,3.466
medium_variant,923,2071,3.436
medium_variant,923,2072,3.407
medium_variant,923,2073,3.378
medium_variant,923,2074,3.349
medium_variant,923,2075,3.321
medium_variant,923,2076,3.293
medium_variant,923,2077,3.266
medium_variant,923,2078,3.239
medium_variant,923,2079,3.213
medium_variant,923,2080,3.187
medium_variant,923,2081,3.162
medium_variant,923,2082,3.137
medium_variant,923,2083,3.114
medium_variant,923,2084,3.09
medium_variant,923,2085,3.067
medium_variant,923,2086,3.045
medium_variant,923,2087,3.023
medium_variant,923,2088,3.002
medium_variant,923,2089,2.981
medium_variant,923,2090,2.961
medium_variant,923,2091,2.941
medium_variant,923,2092,2.923
medium_variant,923,2093,2.905
medium_variant,923,2094,2.889
medium_variant,923,2095,2.874
medium_variant,923,2096,2.86
medium_variant,923,2097,2.847
medium_variant,923,2098,2.835
medium_variant,923,2099,2.825
