variant,region,year,under_five_mortality
estimates,916,1950,217.929
estimates,916,1951,214.301
estimates,916,1952,207.176
estimates,916,1953,200.317
estimates,916,1954,193.722
estimates,916,1955,187.395
estimates,916,1956,181.342
estimates,916,1957,175.565
estimates,916,1958,170.073
estimates,916,1959,164.886
estimates,916,1960,160.018
estimates,916,1961,155.478
estimates,916,1962,151.257
estimates,916,1963,147.319
estimates,916,1964,143.601
estimates,916,1965,140.016
estimates,916,1966,136.472
estimates,916,1967,132.888
estimates,916,1968,129.195
estimates,916,1969,125.342
estimates,916,1970,121.287
estimates,916,1971,117.013
estimates,916,1972,112.576
estimates,916,1973,108.045
estimates,916,1974,103.474
estimates,916,1975,98.926
estimates,916,1976,94.467
estimates,916,1977,90.15
estimates,916,1978,86.023
estimates,916,1979,82.123
estimates,916,1980,78.475
estimates,916,1981,75.084
estimates,916,1982,71.913
estimates,916,1983,68.922
estimates,916,1984,66.091
estimates,916,1985,63.395
estimates,916,1986,60.81
estimates,916,1987,58.315
estimates,916,1988,55.898
estimates,916,1989,53.544
estimates,916,1990,51.254
estimates,916,1991,49.037
estimates,916,1992,46.908
estimates,916,1993,44.874
estimates,916,1994,42.932
estimates,916,1995,41.056
estimates,916,1996,39.214
estimates,916,1997,37.394
estimates,916,1998,35.604
estimates,916,1999,33.869
estimates,916,2000,32.249
estimates,916,2001,30.822
estimates,916,2002,29.638
estimates,916,2003,28.716
estimates,916,2004,28.047
estimates,916,2005,27.591
estimates,916,2006,27.289
estimates,916,2007,27.055
estimates,916,2008,26.814
estimates,916,2009,26.521
estimates,916,2010,26.143
estimates,916,2011,25.673
estimates,916,2012,25.139
estimates,916,2013,24.566
estimates,916,2014,23.961
estimates,916,2015,23.333
medium_variant,916,2015,23.333
medium_variant,916,2016,22.691
medium_variant,916,2017,22.048
medium_variant,916,2018,21.414
medium_variant,916,2019,20.797
medium_variant,916,2020,20.204
medium_variant,916,2021,19.635
medium_variant,916,2022,19.088
medium_variant,916,2023,18.558
medium_variant,916,2024,18.046
medium_variant,916,2025,17.55
medium_variant,916,2026,17.071
medium_variant,916,2027,16.607
medium_variant,916,2028,16.156
medium_variant,916,2029,15.717
medium_variant,916,2030,15.292
medium_variant,916,2031,14.879
medium_variant,916,2032,14.479
medium_variant,916,2033,14.093
medium_variant,916,2034,13.721
medium_variant,916,2035,13.362
medium_variant,916,2036,13.016
medium_variant,916,2037,12.683
medium_variant,916,2038,12.362
medium_variant,916,2039,12.054
medium_variant,916,2040,11.757
medium_variant,916,2041,11.473
medium_variant,916,2042,11.2
medium_variant,916,2043,10.94
medium_variant,916,2044,10.69
medium_variant,916,2045,10.449
medium_variant,916,2046,10.216
medium_variant,916,2047,9.99
medium_variant,916,2048,9.771
medium_variant,916,2049,9.557
medium_variant,916,2050,9.349
medium_variant,916,2051,9.149
medium_variant,916,2052,8.956
medium_variant,916,2053,8.772
medium_variant,916,2054,8.596
medium_variant,916,2055,8.427
medium_variant,916,2056,8.263
medium_variant,916,2057,8.104
medium_variant,916,2058,7.949
medium_variant,916,2059,7.796
medium_variant,916,2060,7.645
medium_variant,916,2061,7.497
medium_variant,916,2062,7.351
medium_variant,916,2063,7.209
medium_variant,916,2064,7.07
medium_variant,916,2065,6.934
medium_variant,916,2066,6.801
medium_variant,916,2067,6.67
medium_variant,916,2068,6.542
medium_variant,916,2069,6.417
medium_variant,916,2070,6.294
medium_variant,916,2071,6.173
medium_variant,916,2072,6.055
medium_variant,916,2073,5.939
medium_variant,916,2074,5.825
medium_variant,916,2075,5.714
medium_variant,916,2076,5.606
medium_variant,916,2077,5.501
medium_variant,916,2078,5.399
medium_variant,916,2079,5.301
medium_variant,916,2080,5.207
medium_variant,916,2081,5.115
medium_variant,916,2082,5.026
medium_variant,916,2083,4.94
medium_variant,916,2084,4.855
medium_variant,916,2085,4.772
medium_variant,916,2086,4.689
medium_variant,916,2087,4.607
medium_variant,916,2088,4.526
medium_variant,916,2089,4.445
medium_variant,916,2090,4.365
medium_variant,916,2091,4.286
medium_variant,916,2092,4.209
medium_variant,916,2093,4.133
medium_variant,916,2094,4.06
medium_variant,916,2095,3.989
medium_variant,916,2096,3.921
medium_variant,916,2097,3.855
medium_variant,916,2098,3.792
medium_variant,916,2099,3.731
