variant,region,year,under_five_mortality
estimates,931,1950,190.91
estimates,931,1951,188.997
estimates,931,1952,185.19
estimates,931,1953,181.423
estimates,931,1954,177.696
estimates,931,1955,174.009
estimates,931,1956,170.365
estimates,931,1957,166.765
estimates,931,1958,163.211
estimates,931,1959,159.71
estimates,931,1960,156.268
estimates,931,1961,152.887
estimates,931,1962,149.567
estimates,931,1963,146.299
estimates,931,1964,143.066
estimates,931,1965,139.841
estimates,931,1966,136.595
estimates,931,1967,133.304
estimates,931,1968,129.951
estimates,931,1969,126.526
estimates,931,1970,123.028
estimates,931,1971,119.465
estimates,931,1972,115.86
estimates,931,1973,112.233
estimates,931,1974,108.593
estimates,931,1975,104.944
estimates,931,1976,101.281
estimates,931,1977,97.603
estimates,931,1978,93.916
estimates,931,1979,90.237
estimates,931,1980,86.576
estimates,931,1981,82.944
estimates,931,1982,79.356
estimates,931,1983,75.832
estimates,931,1984,72.397
estimates,931,1985,69.068
estimates,931,1986,65.857
estimates,931,1987,62.773
estimates,931,1988,59.826
estimates,931,1989,57.032
estimates,931,1990,54.417
estimates,931,1991,52.005
estimates,931,1992,49.794
estimates,931,1993,47.772
estimates,931,1994,45.921
estimates,931,1995,44.212
estimates,931,1996,42.61
estimates,931,1997,41.078
estimates,931,1998,39.583
estimates,931,1999,38.102
estimates,931,2000,36.617
estimates,931,2001,35.123
estimates,931,2002,33.638
estimates,931,2003,32.182
estimates,931,2004,30.764
estimates,931,2005,29.402
estimates,931,2006,28.115
estimates,931,2007,26.916
estimates,931,2008,25.812
estimates,931,2009,24.805
estimates,931,2010,23.89
estimates,931,2011,23.059
estimates,931,2012,22.293
estimates,931,2013,21.575
estimates,931,2014,20.895
estimates,931,2015,20.244
medium_variant,931,2015,20.244
medium_variant,931,2016,19.621
medium_variant,931,2017,19.026
medium_variant,931,2018,18.46
medium_variant,931,2019,17.918
medium_variant,931,2020,17.398
medium_variant,931,2021,16.896
medium_variant,931,2022,16.412
medium_variant,931,2023,15.947
medium_variant,931,2024,15.498
medium_variant,931,2025,15.066
medium_variant,931,2026,14.651
medium_variant,931,2027,14.255
medium_variant,931,2028,13.877
medium_variant,931,2029,13.518
medium_variant,931,2030,13.174
medium_variant,931,2031,12.845
medium_variant,931,2032,12.527
medium_variant,931,2033,12.221
medium_variant,931,2034,11.923
medium_variant,931,2035,11.635
medium_variant,931,2036,11.354
medium_variant,931,2037,11.083
medium_variant,931,2038,10.822
medium_variant,931,2039,10.57
medium_variant,931,2040,10.325
medium_variant,931,2041,10.089
medium_variant,931,2042,9.859
medium_variant,931,2043,9.635
medium_variant,931,2044,9.418
medium_variant,931,2045,9.207
medium_variant,931,2046,9.003
medium_variant,931,2047,8.807
medium_variant,931,2048,8.619
medium_variant,931,2049,8.437
medium_variant,931,2050,8.263
medium_variant,931,2051,8.096
medium_variant,931,2052,7.934
medium_variant,931,2053,7.777
medium_variant,931,2054,7.624
medium_variant,931,2055,7.474
medium_variant,931,2056,7.329
medium_variant,931,2057,7.187
medium_variant,931,2058,7.049
medium_variant,931,2059,6.914
medium_variant,931,2060,6.782
medium_variant,931,2061,6.654
medium_variant,931,2062,6.529
medium_variant,931,2063,6.407
medium_variant,931,2064,6.288
medium_variant,931,2065,6.173
medium_variant,931,2066,6.06
medium_variant,931,2067,5.951
medium_variant,931,2068,5.845
medium_variant,931,2069,5.742
medium_variant,931,2070,5.642
medium_variant,931,2071,5.543
medium_variant,931,2072,5.448
medium_variant,931,2073,5.354
medium_variant,931,2074,5.262
medium_variant,931,2075,5.172
medium_variant,931,2076,5.084
medium_variant,931,2077,4.998
medium_variant,931,2078,4.915
medium_variant,931,2079,4.833
medium_variant,931,2080,4.753
medium_variant,931,2081,4.675
medium_variant,931,2082,4.599
medium_variant,931,2083,4.523
medium_variant,931,2084,4.449
medium_variant,931,2085,4.376
medium_variant,931,2086,4.304
medium_variant,931,2087,4.234
medium_variant,931,2088,4.166
medium_variant,931,2089,4.1
medium_variant,931,2090,4.035
medium_variant,931,2091,3.97
medium_variant,931,2092,3.907
medium_variant,931,2093,3.844
medium_variant,931,2094,3.782
medium_variant,931,2095,3.719
medium_variant,931,2096,3.657
medium_variant,931,2097,3.595
medium_variant,931,2098,3.533
medium_variant,931,2099,3.471
