variant,region,year,under_five_mortality
estimates,928,1950,230.957
estimates,928,1951,228.225
estimates,928,1952,222.863
estimates,928,1953,217.705
estimates,928,1954,212.751
estimates,928,1955,207.998
estimates,928,1956,203.431
estimates,928,1957,199.032
estimates,928,1958,194.763
estimates,928,1959,190.56
estimates,928,1960,186.352
estimates,928,1961,182.063
estimates,928,1962,177.626
estimates,928,1963,173.004
estimates,928,1964,168.205
estimates,928,1965,163.28
estimates,928,1966,158.313
estimates,928,1967,153.415
estimates,928,1968,148.67
estimates,928,1969,144.121
estimates,928,1970,139.777
estimates,928,1971,135.617
estimates,928,1972,131.583
estimates,928,1973,127.634
estimates,928,1974,123.762
estimates,928,1975,119.944
estimates,928,1976,116.16
estimates,928,1977,112.429
estimates,928,1978,108.795
estimates,928,1979,105.306
estimates,928,1980,102.067
estimates,928,1981,99.194
estimates,928,1982,96.744
estimates,928,1983,94.721
estimates,928,1984,93.089
estimates,928,1985,91.753
estimates,928,1986,90.581
estimates,928,1987,89.43
estimates,928,1988,88.184
estimates,928,1989,86.788
estimates,928,1990,85.229
estimates,928,1991,83.54
estimates,928,1992,81.814
estimates,928,1993,80.124
estimates,928,1994,78.491
estimates,928,1995,76.925
estimates,928,1996,75.418
estimates,928,1997,73.95
estimates,928,1998,72.507
estimates,928,1999,71.089
estimates,928,2000,69.702
estimates,928,2001,68.352
estimates,928,2002,67.048
estimates,928,2003,65.797
estimates,928,2004,64.604
estimates,928,2005,63.476
estimates,928,2006,62.42
estimates,928,2007,61.431
estimates,928,2008,60.499
estimates,928,2009,59.613
estimates,928,2010,58.751
estimates,928,2011,57.894
estimates,928,2012,57.023
estimates,928,2013,56.13
estimates,928,2014,55.21
estimates,928,2015,54.265
medium_variant,928,2015,54.265
medium_variant,928,2016,53.306
medium_variant,928,2017,52.351
medium_variant,928,2018,51.416
medium_variant,928,2019,50.507
medium_variant,928,2020,49.629
medium_variant,928,2021,48.782
medium_variant,928,2022,47.961
medium_variant,928,2023,47.159
medium_variant,928,2024,46.373
medium_variant,928,2025,45.597
medium_variant,928,2026,44.826
medium_variant,928,2027,44.056
medium_variant,928,2028,43.286
medium_variant,928,2029,42.518
medium_variant,928,2030,41.756
medium_variant,928,2031,41.004
medium_variant,928,2032,40.27
medium_variant,928,2033,39.558
medium_variant,928,2034,38.868
medium_variant,928,2035,38.2
medium_variant,928,2036,37.548
medium_variant,928,2037,36.909
medium_variant,928,2038,36.277
medium_variant,928,2039,35.652
medium_variant,928,2040,35.034
medium_variant,928,2041,34.425
medium_variant,928,2042,33.829
medium_variant,928,2043,33.247
medium_variant,928,2044,32.68
medium_variant,928,2045,32.128
medium_variant,928,2046,31.591
medium_variant,928,2047,31.068
medium_variant,928,2048,30.556
medium_variant,928,2049,30.056
medium_variant,928,2050,29.566
medium_variant,928,2051,29.086
medium_variant,928,2052,28.618
medium_variant,928,2053,28.158
medium_variant,928,2054,27.706
medium_variant,928,2055,27.259
medium_variant,928,2056,26.813
medium_variant,928,2057,26.368
medium_variant,928,2058,25.923
medium_variant,928,2059,25.478
medium_variant,928,2060,25.034
medium_variant,928,2061,24.594
medium_variant,928,2062,24.161
medium_variant,928,2063,23.738
medium_variant,928,2064,23.324
medium_variant,928,2065,22.922
medium_variant,928,2066,22.53
medium_variant,928,2067,22.147
medium_variant,928,2068,21.77
medium_variant,928,2069,21.4
medium_variant,928,2070,21.034
medium_variant,928,2071,20.668
medium_variant,928,2072,20.303
medium_variant,928,2073,19.939
medium_variant,928,2074,19.578
medium_variant,928,2075,19.224
medium_variant,928,2076,18.881
medium_variant,928,2077,18.553
medium_variant,928,2078,18.242
medium_variant,928,2079,17.948
medium_variant,928,2080,17.669
medium_variant,928,2081,17.402
medium_variant,928,2082,17.143
medium_variant,928,2083,16.886
medium_variant,928,2084,16.631
medium_variant,928,2085,16.376
medium_variant,928,2086,16.12
medium_variant,928,2087,15.865
medium_variant,928,2088,15.613
medium_variant,928,2089,15.364
medium_variant,928,2090,15.116
medium_variant,928,2091,14.871
medium_variant,928,2092,14.628
medium_variant,928,2093,14.386
medium_variant,928,2094,14.146
medium_variant,928,2095,13.907
medium_variant,928,2096,13.67
medium_variant,928,2097,13.434
medium_variant,928,2098,13.2
medium_variant,928,2099,12.967
