variant,continent,year,infantmortalityper1000livebirth
estimates,909,1950,61.159
estimates,909,1951,60.373
estimates,909,1952,58.853
estimates,909,1953,57.438
estimates,909,1954,56.129
estimates,909,1955,54.925
estimates,909,1956,53.822
estimates,909,1957,52.816
estimates,909,1958,51.894
estimates,909,1959,51.042
estimates,909,1960,50.236
estimates,909,1961,49.456
estimates,909,1962,48.677
estimates,909,1963,47.879
estimates,909,1964,47.054
estimates,909,1965,46.195
estimates,909,1966,45.307
estimates,909,1967,44.408
estimates,909,1968,43.521
estimates,909,1969,42.656
estimates,909,1970,41.84
estimates,909,1971,41.103
estimates,909,1972,40.448
estimates,909,1973,39.863
estimates,909,1974,39.328
estimates,909,1975,38.787
estimates,909,1976,38.17
estimates,909,1977,37.436
estimates,909,1978,36.568
estimates,909,1979,35.58
estimates,909,1980,34.529
estimates,909,1981,33.494
estimates,909,1982,32.555
estimates,909,1983,31.762
estimates,909,1984,31.129
estimates,909,1985,30.626
estimates,909,1986,30.194
estimates,909,1987,29.761
estimates,909,1988,29.28
estimates,909,1989,28.743
estimates,909,1990,28.176
estimates,909,1991,27.627
estimates,909,1992,27.151
estimates,909,1993,26.784
estimates,909,1994,26.529
estimates,909,1995,26.377
estimates,909,1996,26.303
estimates,909,1997,26.259
estimates,909,1998,26.203
estimates,909,1999,26.105
estimates,909,2000,25.936
estimates,909,2001,25.671
estimates,909,2002,25.317
estimates,909,2003,24.886
estimates,909,2004,24.391
estimates,909,2005,23.856
estimates,909,2006,23.314
estimates,909,2007,22.795
estimates,909,2008,22.323
estimates,909,2009,21.904
estimates,909,2010,21.537
estimates,909,2011,21.204
estimates,909,2012,20.879
estimates,909,2013,20.544
estimates,909,2014,20.194
estimates,909,2015,19.83
medium_variant,909,2015,19.83
medium_variant,909,2016,19.462
medium_variant,909,2017,19.101
medium_variant,909,2018,18.76
medium_variant,909,2019,18.441
medium_variant,909,2020,18.145
medium_variant,909,2021,17.874
medium_variant,909,2022,17.62
medium_variant,909,2023,17.378
medium_variant,909,2024,17.144
medium_variant,909,2025,16.914
medium_variant,909,2026,16.683
medium_variant,909,2027,16.449
medium_variant,909,2028,16.212
medium_variant,909,2029,15.968
medium_variant,909,2030,15.718
medium_variant,909,2031,15.463
medium_variant,909,2032,15.203
medium_variant,909,2033,14.943
medium_variant,909,2034,14.681
medium_variant,909,2035,14.419
medium_variant,909,2036,14.156
medium_variant,909,2037,13.891
medium_variant,909,2038,13.625
medium_variant,909,2039,13.359
medium_variant,909,2040,13.094
medium_variant,909,2041,12.833
medium_variant,909,2042,12.576
medium_variant,909,2043,12.325
medium_variant,909,2044,12.082
medium_variant,909,2045,11.847
medium_variant,909,2046,11.622
medium_variant,909,2047,11.405
medium_variant,909,2048,11.195
medium_variant,909,2049,10.994
medium_variant,909,2050,10.799
medium_variant,909,2051,10.612
medium_variant,909,2052,10.432
medium_variant,909,2053,10.257
medium_variant,909,2054,10.087
medium_variant,909,2055,9.92
medium_variant,909,2056,9.754
medium_variant,909,2057,9.589
medium_variant,909,2058,9.425
medium_variant,909,2059,9.26
medium_variant,909,2060,9.095
medium_variant,909,2061,8.931
medium_variant,909,2062,8.768
medium_variant,909,2063,8.607
medium_variant,909,2064,8.447
medium_variant,909,2065,8.29
medium_variant,909,2066,8.135
medium_variant,909,2067,7.981
medium_variant,909,2068,7.828
medium_variant,909,2069,7.676
medium_variant,909,2070,7.524
medium_variant,909,2071,7.373
medium_variant,909,2072,7.222
medium_variant,909,2073,7.072
medium_variant,909,2074,6.923
medium_variant,909,2075,6.778
medium_variant,909,2076,6.638
medium_variant,909,2077,6.504
medium_variant,909,2078,6.376
medium_variant,909,2079,6.254
medium_variant,909,2080,6.138
medium_variant,909,2081,6.027
medium_variant,909,2082,5.921
medium_variant,909,2083,5.817
medium_variant,909,2084,5.714
medium_variant,909,2085,5.613
medium_variant,909,2086,5.514
medium_variant,909,2087,5.415
medium_variant,909,2088,5.319
medium_variant,909,2089,5.224
medium_variant,909,2090,5.13
medium_variant,909,2091,5.037
medium_variant,909,2092,4.945
medium_variant,909,2093,4.853
medium_variant,909,2094,4.762
medium_variant,909,2095,4.671
medium_variant,909,2096,4.58
medium_variant,909,2097,4.49
medium_variant,909,2098,4.401
medium_variant,909,2099,4.311
