variant,continent,year,infantmortalityper1000livebirth
estimates,908,1950,82.366
estimates,908,1951,79.534
estimates,908,1952,74.044
estimates,908,1953,68.9
estimates,908,1954,64.105
estimates,908,1955,59.656
estimates,908,1956,55.555
estimates,908,1957,51.798
estimates,908,1958,48.379
estimates,908,1959,45.292
estimates,908,1960,42.525
estimates,908,1961,40.061
estimates,908,1962,37.876
estimates,908,1963,35.938
estimates,908,1964,34.211
estimates,908,1965,32.662
estimates,908,1966,31.264
estimates,908,1967,29.999
estimates,908,1968,28.847
estimates,908,1969,27.785
estimates,908,1970,26.802
estimates,908,1971,25.903
estimates,908,1972,25.095
estimates,908,1973,24.374
estimates,908,1974,23.72
estimates,908,1975,23.107
estimates,908,1976,22.506
estimates,908,1977,21.899
estimates,908,1978,21.274
estimates,908,1979,20.623
estimates,908,1980,19.953
estimates,908,1981,19.281
estimates,908,1982,18.629
estimates,908,1983,18.014
estimates,908,1984,17.436
estimates,908,1985,16.887
estimates,908,1986,16.354
estimates,908,1987,15.821
estimates,908,1988,15.276
estimates,908,1989,14.717
estimates,908,1990,14.147
estimates,908,1991,13.573
estimates,908,1992,13.008
estimates,908,1993,12.462
estimates,908,1994,11.94
estimates,908,1995,11.445
estimates,908,1996,10.979
estimates,908,1997,10.536
estimates,908,1998,10.111
estimates,908,1999,9.703
estimates,908,2000,9.305
estimates,908,2001,8.911
estimates,908,2002,8.52
estimates,908,2003,8.13
estimates,908,2004,7.744
estimates,908,2005,7.368
estimates,908,2006,7.009
estimates,908,2007,6.675
estimates,908,2008,6.37
estimates,908,2009,6.095
estimates,908,2010,5.848
estimates,908,2011,5.621
estimates,908,2012,5.409
estimates,908,2013,5.204
estimates,908,2014,5.004
estimates,908,2015,4.811
medium_variant,908,2015,4.811
medium_variant,908,2016,4.625
medium_variant,908,2017,4.452
medium_variant,908,2018,4.295
medium_variant,908,2019,4.151
medium_variant,908,2020,4.021
medium_variant,908,2021,3.901
medium_variant,908,2022,3.789
medium_variant,908,2023,3.682
medium_variant,908,2024,3.578
medium_variant,908,2025,3.478
medium_variant,908,2026,3.38
medium_variant,908,2027,3.286
medium_variant,908,2028,3.198
medium_variant,908,2029,3.115
medium_variant,908,2030,3.036
medium_variant,908,2031,2.963
medium_variant,908,2032,2.895
medium_variant,908,2033,2.832
medium_variant,908,2034,2.772
medium_variant,908,2035,2.717
medium_variant,908,2036,2.667
medium_variant,908,2037,2.62
medium_variant,908,2038,2.578
medium_variant,908,2039,2.538
medium_variant,908,2040,2.501
medium_variant,908,2041,2.466
medium_variant,908,2042,2.433
medium_variant,908,2043,2.4
medium_variant,908,2044,2.367
medium_variant,908,2045,2.334
medium_variant,908,2046,2.3
medium_variant,908,2047,2.266
medium_variant,908,2048,2.232
medium_variant,908,2049,2.198
medium_variant,908,2050,2.164
medium_variant,908,2051,2.13
medium_variant,908,2052,2.096
medium_variant,908,2053,2.063
medium_variant,908,2054,2.03
medium_variant,908,2055,1.998
medium_variant,908,2056,1.967
medium_variant,908,2057,1.936
medium_variant,908,2058,1.907
medium_variant,908,2059,1.879
medium_variant,908,2060,1.851
medium_variant,908,2061,1.825
medium_variant,908,2062,1.8
medium_variant,908,2063,1.776
medium_variant,908,2064,1.752
medium_variant,908,2065,1.73
medium_variant,908,2066,1.709
medium_variant,908,2067,1.69
medium_variant,908,2068,1.671
medium_variant,908,2069,1.653
medium_variant,908,2070,1.635
medium_variant,908,2071,1.618
medium_variant,908,2072,1.601
medium_variant,908,2073,1.585
medium_variant,908,2074,1.568
medium_variant,908,2075,1.552
medium_variant,908,2076,1.535
medium_variant,908,2077,1.519
medium_variant,908,2078,1.502
medium_variant,908,2079,1.485
medium_variant,908,2080,1.468
medium_variant,908,2081,1.452
medium_variant,908,2082,1.435
medium_variant,908,2083,1.418
medium_variant,908,2084,1.401
medium_variant,908,2085,1.385
medium_variant,908,2086,1.368
medium_variant,908,2087,1.352
medium_variant,908,2088,1.336
medium_variant,908,2089,1.321
medium_variant,908,2090,1.306
medium_variant,908,2091,1.291
medium_variant,908,2092,1.278
medium_variant,908,2093,1.265
medium_variant,908,2094,1.253
medium_variant,908,2095,1.242
medium_variant,908,2096,1.232
medium_variant,908,2097,1.223
medium_variant,908,2098,1.215
medium_variant,908,2099,1.207
