variant,continent,year,infantmortalityper1000livebirth
estimates,905,1950,32.352
estimates,905,1951,31.958
estimates,905,1952,31.191
estimates,905,1953,30.465
estimates,905,1954,29.781
estimates,905,1955,29.139
estimates,905,1956,28.537
estimates,905,1957,27.974
estimates,905,1958,27.444
estimates,905,1959,26.942
estimates,905,1960,26.459
estimates,905,1961,25.983
estimates,905,1962,25.502
estimates,905,1963,25.001
estimates,905,1964,24.466
estimates,905,1965,23.879
estimates,905,1966,23.224
estimates,905,1967,22.5
estimates,905,1968,21.714
estimates,905,1969,20.875
estimates,905,1970,19.996
estimates,905,1971,19.093
estimates,905,1972,18.188
estimates,905,1973,17.303
estimates,905,1974,16.454
estimates,905,1975,15.65
estimates,905,1976,14.896
estimates,905,1977,14.186
estimates,905,1978,13.518
estimates,905,1979,12.899
estimates,905,1980,12.339
estimates,905,1981,11.849
estimates,905,1982,11.431
estimates,905,1983,11.08
estimates,905,1984,10.785
estimates,905,1985,10.53
estimates,905,1986,10.294
estimates,905,1987,10.059
estimates,905,1988,9.809
estimates,905,1989,9.539
estimates,905,1990,9.245
estimates,905,1991,8.933
estimates,905,1992,8.618
estimates,905,1993,8.315
estimates,905,1994,8.03
estimates,905,1995,7.773
estimates,905,1996,7.549
estimates,905,1997,7.36
estimates,905,1998,7.203
estimates,905,1999,7.078
estimates,905,2000,6.984
estimates,905,2001,6.919
estimates,905,2002,6.876
estimates,905,2003,6.844
estimates,905,2004,6.817
estimates,905,2005,6.782
estimates,905,2006,6.731
estimates,905,2007,6.659
estimates,905,2008,6.564
estimates,905,2009,6.444
estimates,905,2010,6.302
estimates,905,2011,6.142
estimates,905,2012,5.973
estimates,905,2013,5.804
estimates,905,2014,5.637
estimates,905,2015,5.476
medium_variant,905,2015,5.476
medium_variant,905,2016,5.322
medium_variant,905,2017,5.173
medium_variant,905,2018,5.026
medium_variant,905,2019,4.884
medium_variant,905,2020,4.746
medium_variant,905,2021,4.613
medium_variant,905,2022,4.484
medium_variant,905,2023,4.36
medium_variant,905,2024,4.24
medium_variant,905,2025,4.125
medium_variant,905,2026,4.014
medium_variant,905,2027,3.907
medium_variant,905,2028,3.805
medium_variant,905,2029,3.705
medium_variant,905,2030,3.61
medium_variant,905,2031,3.517
medium_variant,905,2032,3.427
medium_variant,905,2033,3.34
medium_variant,905,2034,3.256
medium_variant,905,2035,3.174
medium_variant,905,2036,3.094
medium_variant,905,2037,3.016
medium_variant,905,2038,2.94
medium_variant,905,2039,2.867
medium_variant,905,2040,2.796
medium_variant,905,2041,2.728
medium_variant,905,2042,2.662
medium_variant,905,2043,2.599
medium_variant,905,2044,2.54
medium_variant,905,2045,2.482
medium_variant,905,2046,2.427
medium_variant,905,2047,2.375
medium_variant,905,2048,2.324
medium_variant,905,2049,2.276
medium_variant,905,2050,2.229
medium_variant,905,2051,2.183
medium_variant,905,2052,2.139
medium_variant,905,2053,2.096
medium_variant,905,2054,2.055
medium_variant,905,2055,2.015
medium_variant,905,2056,1.977
medium_variant,905,2057,1.94
medium_variant,905,2058,1.905
medium_variant,905,2059,1.872
medium_variant,905,2060,1.839
medium_variant,905,2061,1.808
medium_variant,905,2062,1.777
medium_variant,905,2063,1.746
medium_variant,905,2064,1.715
medium_variant,905,2065,1.684
medium_variant,905,2066,1.654
medium_variant,905,2067,1.624
medium_variant,905,2068,1.595
medium_variant,905,2069,1.567
medium_variant,905,2070,1.539
medium_variant,905,2071,1.513
medium_variant,905,2072,1.487
medium_variant,905,2073,1.462
medium_variant,905,2074,1.437
medium_variant,905,2075,1.412
medium_variant,905,2076,1.388
medium_variant,905,2077,1.364
medium_variant,905,2078,1.34
medium_variant,905,2079,1.316
medium_variant,905,2080,1.293
medium_variant,905,2081,1.269
medium_variant,905,2082,1.247
medium_variant,905,2083,1.225
medium_variant,905,2084,1.204
medium_variant,905,2085,1.184
medium_variant,905,2086,1.163
medium_variant,905,2087,1.144
medium_variant,905,2088,1.124
medium_variant,905,2089,1.104
medium_variant,905,2090,1.084
medium_variant,905,2091,1.064
medium_variant,905,2092,1.045
medium_variant,905,2093,1.026
medium_variant,905,2094,1.007
medium_variant,905,2095,0.989
medium_variant,905,2096,0.972
medium_variant,905,2097,0.955
medium_variant,905,2098,0.938
medium_variant,905,2099,0.923
