variant,continent,year,infantmortalityper1000livebirth
estimates,903,1950,195.752
estimates,903,1951,193.857
estimates,903,1952,190.116
estimates,903,1953,186.473
estimates,903,1954,182.93
estimates,903,1955,179.486
estimates,903,1956,176.142
estimates,903,1957,172.897
estimates,903,1958,169.754
estimates,903,1959,166.712
estimates,903,1960,163.773
estimates,903,1961,160.938
estimates,903,1962,158.203
estimates,903,1963,155.564
estimates,903,1964,153.012
estimates,903,1965,150.546
estimates,903,1966,148.168
estimates,903,1967,145.868
estimates,903,1968,143.627
estimates,903,1969,141.421
estimates,903,1970,139.206
estimates,903,1971,136.938
estimates,903,1972,134.598
estimates,903,1973,132.184
estimates,903,1974,129.706
estimates,903,1975,127.195
estimates,903,1976,124.694
estimates,903,1977,122.255
estimates,903,1978,119.926
estimates,903,1979,117.732
estimates,903,1980,115.681
estimates,903,1981,113.759
estimates,903,1982,111.943
estimates,903,1983,110.224
estimates,903,1984,108.614
estimates,903,1985,107.17
estimates,903,1986,105.967
estimates,903,1987,105.024
estimates,903,1988,104.316
estimates,903,1989,103.78
estimates,903,1990,103.309
estimates,903,1991,102.771
estimates,903,1992,102.048
estimates,903,1993,101.048
estimates,903,1994,99.726
estimates,903,1995,98.069
estimates,903,1996,96.112
estimates,903,1997,93.952
estimates,903,1998,91.674
estimates,903,1999,89.32
estimates,903,2000,86.916
estimates,903,2001,84.47
estimates,903,2002,81.976
estimates,903,2003,79.441
estimates,903,2004,76.893
estimates,903,2005,74.349
estimates,903,2006,71.824
estimates,903,2007,69.333
estimates,903,2008,66.893
estimates,903,2009,64.532
estimates,903,2010,62.277
estimates,903,2011,60.152
estimates,903,2012,58.161
estimates,903,2013,56.307
estimates,903,2014,54.588
estimates,903,2015,53
medium_variant,903,2015,53
medium_variant,903,2016,51.532
medium_variant,903,2017,50.161
medium_variant,903,2018,48.865
medium_variant,903,2019,47.628
medium_variant,903,2020,46.435
medium_variant,903,2021,45.281
medium_variant,903,2022,44.163
medium_variant,903,2023,43.08
medium_variant,903,2024,42.025
medium_variant,903,2025,40.995
medium_variant,903,2026,39.989
medium_variant,903,2027,39.01
medium_variant,903,2028,38.059
medium_variant,903,2029,37.135
medium_variant,903,2030,36.235
medium_variant,903,2031,35.359
medium_variant,903,2032,34.506
medium_variant,903,2033,33.675
medium_variant,903,2034,32.866
medium_variant,903,2035,32.08
medium_variant,903,2036,31.319
medium_variant,903,2037,30.583
medium_variant,903,2038,29.874
medium_variant,903,2039,29.191
medium_variant,903,2040,28.534
medium_variant,903,2041,27.902
medium_variant,903,2042,27.295
medium_variant,903,2043,26.709
medium_variant,903,2044,26.142
medium_variant,903,2045,25.59
medium_variant,903,2046,25.049
medium_variant,903,2047,24.517
medium_variant,903,2048,23.994
medium_variant,903,2049,23.478
medium_variant,903,2050,22.971
medium_variant,903,2051,22.476
medium_variant,903,2052,21.994
medium_variant,903,2053,21.53
medium_variant,903,2054,21.083
medium_variant,903,2055,20.654
medium_variant,903,2056,20.244
medium_variant,903,2057,19.85
medium_variant,903,2058,19.472
medium_variant,903,2059,19.108
medium_variant,903,2060,18.756
medium_variant,903,2061,18.416
medium_variant,903,2062,18.085
medium_variant,903,2063,17.765
medium_variant,903,2064,17.453
medium_variant,903,2065,17.15
medium_variant,903,2066,16.856
medium_variant,903,2067,16.572
medium_variant,903,2068,16.298
medium_variant,903,2069,16.033
medium_variant,903,2070,15.777
medium_variant,903,2071,15.53
medium_variant,903,2072,15.29
medium_variant,903,2073,15.057
medium_variant,903,2074,14.831
medium_variant,903,2075,14.611
medium_variant,903,2076,14.398
medium_variant,903,2077,14.192
medium_variant,903,2078,13.993
medium_variant,903,2079,13.801
medium_variant,903,2080,13.615
medium_variant,903,2081,13.435
medium_variant,903,2082,13.259
medium_variant,903,2083,13.088
medium_variant,903,2084,12.921
medium_variant,903,2085,12.757
medium_variant,903,2086,12.596
medium_variant,903,2087,12.438
medium_variant,903,2088,12.283
medium_variant,903,2089,12.13
medium_variant,903,2090,11.98
medium_variant,903,2091,11.833
medium_variant,903,2092,11.689
medium_variant,903,2093,11.548
medium_variant,903,2094,11.411
medium_variant,903,2095,11.277
medium_variant,903,2096,11.146
medium_variant,903,2097,11.019
medium_variant,903,2098,10.896
medium_variant,903,2099,10.776
