agebroad,gender,percentagetotalpopulation,country,variant,year
0_1,female,7.316,768,estimates,1950
0_4,female,16.733,768,estimates,1950
0_14,female,41.014,768,estimates,1950
0_17,female,47.046,768,estimates,1950
0_19,female,50.799,768,estimates,1950
0_24,female,59.298,768,estimates,1950
3_4,female,6.097,768,estimates,1950
3_5,female,8.921,768,estimates,1950
3_6,female,11.622,768,estimates,1950
4_5,female,5.79,768,estimates,1950
4_6,female,8.491,768,estimates,1950
5_14,female,24.281,768,estimates,1950
5_10,female,15.411,768,estimates,1950
5_11,female,17.717,768,estimates,1950
6_9,female,10.227,768,estimates,1950
6_10,female,12.587,768,estimates,1950
6_11,female,14.893,768,estimates,1950
6_12,female,17.145,768,estimates,1950
7_10,female,9.886,768,estimates,1950
7_12,female,14.444,768,estimates,1950
11_16,female,12.945,768,estimates,1950
11_17,female,14.902,768,estimates,1950
11_18,female,16.805,768,estimates,1950
12_14,female,6.564,768,estimates,1950
12_16,female,10.639,768,estimates,1950
12_17,female,12.596,768,estimates,1950
12_18,female,14.499,768,estimates,1950
13_17,female,10.345,768,estimates,1950
13_18,female,12.248,768,estimates,1950
13_19,female,14.097,768,estimates,1950
15_17,female,6.032,768,estimates,1950
18_23,female,10.647,768,estimates,1950
15_24,female,18.284,768,estimates,1950
15_49,female,46.218,768,estimates,1950
15_59,female,52.37,768,estimates,1950
15_64,female,54.782,768,estimates,1950
20_64,female,44.998,768,estimates,1950
20_69,female,46.841,768,estimates,1950
25_49,female,27.935,768,estimates,1950
25_64,female,36.498,768,estimates,1950
25_69,female,38.342,768,estimates,1950
15plus,female,58.986,768,estimates,1950
16plus,female,56.921,768,estimates,1950
17plus,female,54.911,768,estimates,1950
18plus,female,52.954,768,estimates,1950
20plus,female,49.201,768,estimates,1950
21plus,female,47.404,768,estimates,1950
25plus,female,40.702,768,estimates,1950
50plus,female,12.767,768,estimates,1950
60plus,female,6.615,768,estimates,1950
65plus,female,4.204,768,estimates,1950
70plus,female,2.36,768,estimates,1950
75plus,female,1.078,768,estimates,1950
80plus,female,0.366,768,estimates,1950
