agebroad,gender,percentagetotalpopulation,country,variant,year
0_1,female,7.249,270,estimates,1950
0_4,female,16.485,270,estimates,1950
0_14,female,40.421,270,estimates,1950
0_17,female,46.511,270,estimates,1950
0_19,female,50.337,270,estimates,1950
0_24,female,59.113,270,estimates,1950
3_4,female,5.97,270,estimates,1950
3_5,female,8.728,270,estimates,1950
3_6,female,11.365,270,estimates,1950
4_5,female,5.659,270,estimates,1950
4_6,female,8.296,270,estimates,1950
5_14,female,23.937,270,estimates,1950
5_10,female,15.096,270,estimates,1950
5_11,female,17.381,270,estimates,1950
6_9,female,10.011,270,estimates,1950
6_10,female,12.338,270,estimates,1950
6_11,female,14.623,270,estimates,1950
6_12,female,16.864,270,estimates,1950
7_10,female,9.701,270,estimates,1950
7_12,female,14.227,270,estimates,1950
11_16,female,12.947,270,estimates,1950
11_17,female,14.93,270,estimates,1950
11_18,female,16.866,270,estimates,1950
12_14,female,6.555,270,estimates,1950
12_16,female,10.662,270,estimates,1950
12_17,female,12.645,270,estimates,1950
12_18,female,14.581,270,estimates,1950
13_17,female,10.404,270,estimates,1950
13_18,female,12.34,270,estimates,1950
13_19,female,14.23,270,estimates,1950
15_17,female,6.09,270,estimates,1950
18_23,female,10.934,270,estimates,1950
15_24,female,18.692,270,estimates,1950
15_49,female,47.959,270,estimates,1950
15_59,female,54.291,270,estimates,1950
15_64,female,56.474,270,estimates,1950
20_64,female,46.559,270,estimates,1950
20_69,female,48.088,270,estimates,1950
25_49,female,29.268,270,estimates,1950
25_64,female,37.782,270,estimates,1950
25_69,female,39.311,270,estimates,1950
15plus,female,59.579,270,estimates,1950
16plus,female,57.502,270,estimates,1950
17plus,female,55.472,270,estimates,1950
18plus,female,53.489,270,estimates,1950
20plus,female,49.663,270,estimates,1950
21plus,female,47.82,270,estimates,1950
25plus,female,40.887,270,estimates,1950
50plus,female,11.619,270,estimates,1950
60plus,female,5.287,270,estimates,1950
65plus,female,3.105,270,estimates,1950
70plus,female,1.575,270,estimates,1950
75plus,female,0.649,270,estimates,1950
80plus,female,0.2,270,estimates,1950
85plus,female,0.027,270,estimates,1950
90plus,female,0.002,270,estimates,1950
total,female,100,270,estimates,1950
0_1,male,7.528,270,estimates,1950
0_4,male,17.054,270,estimates,1950
0_14,male,41.599,270,estimates,1950
0_17,male,47.852,270,estimates,1950
0_19,male,51.774,270,estimates,1950
0_24,male,60.716,270,estimates,1950
3_4,male,6.149,270,estimates,1950
3_5,male,8.982,270,estimates,1950
3_6,male,11.688,270,estimates,1950
4_5,male,5.817,270,estimates,1950
4_6,male,8.523,270,estimates,1950
5_14,male,24.545,270,estimates,1950
5_10,male,15.476,270,estimates,1950
5_11,male,17.818,270,estimates,1950
6_9,male,10.258,270,estimates,1950
6_10,male,12.643,270,estimates,1950
6_11,male,14.986,270,estimates,1950
6_12,male,17.284,270,estimates,1950
7_10,male,9.938,270,estimates,1950
7_12,male,14.579,270,estimates,1950
11_16,male,13.286,270,estimates,1950
11_17,male,15.322,270,estimates,1950
11_18,male,17.309,270,estimates,1950
12_14,male,6.727,270,estimates,1950
12_16,male,10.943,270,estimates,1950
