agebroad,gender,percentagetotalpopulation,country,variant,year
"Region, subregion, country or area *",female,Bahamas,44,estimates,1950
0_1,female,6.192,44,estimates,1950
0_4,female,14.346,44,estimates,1950
0_14,female,36.621,44,estimates,1950
0_17,female,42.537,44,estimates,1950
0_19,female,46.353,44,estimates,1950
0_24,female,55.419,44,estimates,1950
3_4,female,5.305,44,estimates,1950
3_5,female,7.797,44,estimates,1950
3_6,female,10.204,44,estimates,1950
4_5,female,5.086,44,estimates,1950
4_6,female,7.493,44,estimates,1950
5_14,female,22.275,44,estimates,1950
5_10,female,13.904,44,estimates,1950
5_11,female,16.05,44,estimates,1950
6_9,female,9.234,44,estimates,1950
6_10,female,11.412,44,estimates,1950
6_11,female,13.558,44,estimates,1950
6_12,female,15.67,44,estimates,1950
7_10,female,9.005,44,estimates,1950
7_12,female,13.263,44,estimates,1950
11_16,female,12.345,44,estimates,1950
11_17,female,14.287,44,estimates,1950
11_18,female,16.205,44,estimates,1950
12_14,female,6.225,44,estimates,1950
12_16,female,10.199,44,estimates,1950
12_17,female,12.142,44,estimates,1950
12_18,female,14.06,44,estimates,1950
13_17,female,10.029,44,estimates,1950
13_18,female,11.948,44,estimates,1950
13_19,female,13.845,44,estimates,1950
15_17,female,5.916,44,estimates,1950
18_23,female,11.158,44,estimates,1950
15_24,female,18.799,44,estimates,1950
15_49,female,49.786,44,estimates,1950
15_59,female,56.227,44,estimates,1950
15_64,female,58.537,44,estimates,1950
20_64,female,48.805,44,estimates,1950
20_69,female,50.662,44,estimates,1950
25_49,female,30.988,44,estimates,1950
25_64,female,39.738,44,estimates,1950
25_69,female,41.595,44,estimates,1950
15plus,female,63.379,44,estimates,1950
16plus,female,61.376,44,estimates,1950
17plus,female,59.405,44,estimates,1950
18plus,female,57.463,44,estimates,1950
20plus,female,53.647,44,estimates,1950
21plus,female,51.771,44,estimates,1950
25plus,female,44.581,44,estimates,1950
50plus,female,13.593,44,estimates,1950
60plus,female,7.153,44,estimates,1950
65plus,female,4.842,44,estimates,1950
70plus,female,2.985,44,estimates,1950
75plus,female,1.581,44,estimates,1950
80plus,female,0.668,44,estimates,1950
85plus,female,0.234,44,estimates,1950
90plus,female,0.057,44,estimates,1950
total,female,100,44,estimates,1950
"Region, subregion, country or area *",male,Bahamas,44,estimates,1950
0_1,male,7.016,44,estimates,1950
0_4,male,16.292,44,estimates,1950
0_14,male,42.283,44,estimates,1950
0_17,male,48.068,44,estimates,1950
0_19,male,51.518,44,estimates,1950
0_24,male,59.689,44,estimates,1950
3_4,male,6.049,44,estimates,1950
3_5,male,8.92,44,estimates,1950
3_6,male,11.714,44,estimates,1950
4_5,male,5.837,44,estimates,1950
4_6,male,8.631,44,estimates,1950
5_14,male,25.991,44,estimates,1950
5_10,male,16.3,44,estimates,1950
5_11,male,18.871,44,estimates,1950
6_9,male,10.837,44,estimates,1950
6_10,male,13.43,44,estimates,1950
6_11,male,16.001,44,estimates,1950
6_12,male,18.512,44,estimates,1950
7_10,male,10.635,44,estimates,1950
7_12,male,15.718,44,estimates,1950
11_16,male,13.678,44,estimates,1950
11_17,male,15.475,44,estimates,1950
11_18,male,17.213,44,estimates,1950
12_14,male,7.119,44,estimates,1950
12_16,male,11.107,44,estimates,1950
12_17,male,12.904,44,estimates,1950
12_18,male,14.642,44,estimates,1950
13_17,male,10.393,44,estimates,1950
13_18,male,12.131,44,estimates,1950
13_19,male,13.844,44,estimates,1950
15_17,male,5.785,44,estimates,1950
18_23,male,10.044,44,estimates,1950
15_24,male,17.406,44,estimates,1950
15_49,male,46.205,44,estimates,1950
15_59,male,51.668,44,estimates,1950
15_64,male,53.722,44,estimates,1950
20_64,male,44.486,44,estimates,1950
20_69,male,46.12,44,estimates,1950
25_49,male,28.799,44,estimates,1950
25_64,male,36.316,44,estimates,1950
25_69,male,37.95,44,estimates,1950
15plus,male,57.717,44,estimates,1950
16plus,male,55.647,44,estimates,1950
17plus,male,53.73,44,estimates,1950
18plus,male,51.932,44,estimates,1950
20plus,male,48.482,44,estimates,1950
21plus,male,46.796,44,estimates,1950
25plus,male,40.311,44,estimates,1950
50plus,male,11.512,44,estimates,1950
60plus,male,6.049,44,estimates,1950
65plus,male,3.995,44,estimates,1950
70plus,male,2.361,44,estimates,1950
75plus,male,1.196,44,estimates,1950
80plus,male,0.447,44,estimates,1950
85plus,male,0.136,44,estimates,1950
90plus,male,0.025,44,estimates,1950
total,male,100,44,estimates,1950
"Region, subregion, country or area *",female,Bahamas,44,estimates,1951
0_1,female,5.886,44,estimates,1951
0_4,female,14.34,44,estimates,1951
0_14,female,36.688,44,estimates,1951
0_17,female,42.59,44,estimates,1951
0_19,female,46.368,44,estimates,1951
0_24,female,55.359,44,estimates,1951
3_4,female,5.494,44,estimates,1951
3_5,female,8.054,44,estimates,1951
3_6,female,10.501,44,estimates,1951
4_5,female,5.24,44,estimates,1951
4_6,female,7.688,44,estimates,1951
5_14,female,22.347,44,estimates,1951
5_10,female,13.986,44,estimates,1951
5_11,female,16.119,44,estimates,1951
6_9,female,9.261,44,estimates,1951
6_10,female,11.427,44,estimates,1951
6_11,female,13.559,44,estimates,1951
6_12,female,15.667,44,estimates,1951
7_10,female,8.979,44,estimates,1951
7_12,female,13.219,44,estimates,1951
11_16,female,12.331,44,estimates,1951
11_17,female,14.263,44,estimates,1951
11_18,female,16.166,44,estimates,1951
12_14,female,6.228,44,estimates,1951
12_16,female,10.198,44,estimates,1951
12_17,female,12.131,44,estimates,1951
12_18,female,14.033,44,estimates,1951
13_17,female,10.023,44,estimates,1951
13_18,female,11.925,44,estimates,1951
13_19,female,13.802,44,estimates,1951
15_17,female,5.902,44,estimates,1951
18_23,female,11.042,44,estimates,1951
15_24,female,18.671,44,estimates,1951
