agebroad,gender,percentagetotalpopulation,country,variant,year
"Region, subregion, country or area *",female,Cuba,192,estimates,1950
0_1,female,5.44,192,estimates,1950
0_4,female,13.229,192,estimates,1950
0_14,female,36.853,192,estimates,1950
0_17,female,42.925,192,estimates,1950
0_19,female,46.714,192,estimates,1950
0_24,female,55.52,192,estimates,1950
3_4,female,5.149,192,estimates,1950
3_5,female,7.666,192,estimates,1950
3_6,female,10.15,192,estimates,1950
4_5,female,5.072,192,estimates,1950
4_6,female,7.556,192,estimates,1950
5_14,female,23.625,192,estimates,1950
5_10,female,14.618,192,estimates,1950
5_11,female,16.947,192,estimates,1950
6_9,female,9.743,192,estimates,1950
6_10,female,12.1,192,estimates,1950
6_11,female,14.429,192,estimates,1950
6_12,female,16.718,192,estimates,1950
7_10,female,9.616,192,estimates,1950
7_12,female,14.234,192,estimates,1950
11_16,female,13.119,192,estimates,1950
11_17,female,15.079,192,estimates,1950
11_18,female,16.992,192,estimates,1950
12_14,female,6.678,192,estimates,1950
12_16,female,10.79,192,estimates,1950
12_17,female,12.75,192,estimates,1950
12_18,female,14.663,192,estimates,1950
13_17,female,10.461,192,estimates,1950
13_18,female,12.374,192,estimates,1950
13_19,female,14.25,192,estimates,1950
15_17,female,6.072,192,estimates,1950
18_23,female,10.915,192,estimates,1950
15_24,female,18.666,192,estimates,1950
15_49,female,50.959,192,estimates,1950
15_59,female,56.641,192,estimates,1950
15_64,female,58.964,192,estimates,1950
20_64,female,49.103,192,estimates,1950
20_69,female,50.768,192,estimates,1950
25_49,female,32.293,192,estimates,1950
25_64,female,40.298,192,estimates,1950
25_69,female,41.963,192,estimates,1950
15plus,female,63.147,192,estimates,1950
16plus,female,61.056,192,estimates,1950
17plus,female,59.034,192,estimates,1950
18plus,female,57.075,192,estimates,1950
20plus,female,53.286,192,estimates,1950
21plus,female,51.447,192,estimates,1950
25plus,female,44.48,192,estimates,1950
50plus,female,12.187,192,estimates,1950
60plus,female,6.505,192,estimates,1950
65plus,female,4.182,192,estimates,1950
70plus,female,2.517,192,estimates,1950
75plus,female,1.371,192,estimates,1950
80plus,female,0.677,192,estimates,1950
85plus,female,0.284,192,estimates,1950
90plus,female,0.093,192,estimates,1950
total,female,100,192,estimates,1950
"Region, subregion, country or area *",male,Cuba,192,estimates,1950
0_1,male,5.36,192,estimates,1950
0_4,male,12.995,192,estimates,1950
0_14,male,35.886,192,estimates,1950
0_17,male,41.697,192,estimates,1950
0_19,male,45.305,192,estimates,1950
0_24,male,53.633,192,estimates,1950
3_4,male,5.042,192,estimates,1950
3_5,male,7.501,192,estimates,1950
3_6,male,9.922,192,estimates,1950
4_5,male,4.957,192,estimates,1950
4_6,male,7.378,192,estimates,1950
5_14,male,22.891,192,estimates,1950
5_10,male,14.211,192,estimates,1950
5_11,male,16.461,192,estimates,1950
6_9,male,9.471,192,estimates,1950
6_10,male,11.752,192,estimates,1950
6_11,male,14.003,192,estimates,1950
6_12,male,16.21,192,estimates,1950
7_10,male,9.331,192,estimates,1950
7_12,male,13.789,192,estimates,1950
11_16,male,12.619,192,estimates,1950
11_17,male,14.491,192,estimates,1950
